,Date,Weights,Profit,Base Profit,KAMN,LAWS,WLFC,HDSN,BCRX,TTNP,TECH,NBIX,SUP,STRT,DORM,MOD,cash
0,2014-01-06,"[0.07682267 0.         0.         0.         0.10491326 0.19395313
 0.13321613 0.         0.11323878 0.         0.17291848 0.
 0.20493755]",0.9999999999907683,0.9999999999917246,0.0,0.0,0.0,0.10491325558589462,0.19395313204185713,0.1332161333348669,0.0,0.113238780007766,0.0,0.17291847862245857,0.0,0.20493755048165427,0.0768226699255026
1,2014-01-07,"[0.         0.         0.         0.         0.10669443 0.21629338
 0.14085142 0.         0.1158893  0.         0.18920915 0.
 0.23106233]",1.0133687791789154,1.0075546674870663,0.0,0.0,0.0,0.10669442710013362,0.21629337618806954,0.14085141789203215,0.0,0.11588929953153737,0.0,0.1892091522683555,0.0,0.23106232701987195,0.0
2,2014-01-08,"[0.         0.         0.         0.         0.10508458 0.21774137
 0.14012859 0.         0.11426725 0.         0.18930674 0.
 0.23347148]",1.0952733800421222,1.0521228666367803,0.0,0.0,0.0,0.10508457850074188,0.21774136669556343,0.1401285850782431,0.0,0.11426724674661404,0.0,0.18930674075988288,0.0,0.23347148221895472,0.0
3,2014-01-09,"[0.         0.         0.         0.         0.1055228  0.21749308
 0.13958365 0.         0.1126061  0.         0.19097407 0.
 0.23382031]",1.1130545751004584,1.0682236448490432,0.0,0.0,0.0,0.1055228034640316,0.2174930771181662,0.13958364595644548,0.0,0.11260609874905457,0.0,0.19097406789235077,0.0,0.23382030681995136,0.0
4,2014-01-10,"[0.         0.         0.         0.         0.10533391 0.21748471
 0.13973857 0.         0.11250061 0.         0.19106084 0.
 0.23388135]",1.1389055690143057,1.0792224243779907,0.0,0.0,0.0,0.10533391231947252,0.21748471215733917,0.13973857036802834,0.0,0.11250061038608933,0.0,0.19106084197767373,0.0,0.23388135279139702,0.0
5,2014-01-13,"[0.         0.         0.         0.         0.10518883 0.21747658
 0.13997773 0.         0.112458   0.         0.19102844 0.
 0.23387043]",1.1454050055591916,1.0845439704577462,0.0,0.0,0.0,0.1051888298445844,0.21747657887753344,0.13997772834637592,0.0,0.11245799531250232,0.0,0.19102844256655124,0.0,0.23387042505245267,0.0
6,2014-01-14,"[0.         0.         0.         0.         0.10517326 0.21741815
 0.13998206 0.         0.11238324 0.         0.19120078 0.
 0.23384252]",1.156998217469192,1.094285701081689,0.0,0.0,0.0,0.10517325502528665,0.21741814890664624,0.13998205590333887,0.0,0.11238324336517518,0.0,0.1912007783954339,0.0,0.23384251840411913,0.0
7,2014-01-15,"[0.         0.         0.         0.         0.10506688 0.21743072
 0.1401709  0.         0.11237812 0.         0.19112128 0.
 0.2338321 ]",1.163573920112878,1.0937143039976598,0.0,0.0,0.0,0.10506688431897573,0.21743072209233508,0.14017089900120552,0.0,0.11237811809546763,0.0,0.1911212795606122,0.0,0.23383209693140378,0.0
8,2014-01-16,"[0.         0.         0.         0.         0.1050078  0.21743541
 0.14017883 0.         0.11236698 0.         0.19117601 0.
 0.23383497]",1.204111957175081,1.1128488557233076,0.0,0.0,0.0,0.10500779956520036,0.21743540926046842,0.14017882781522173,0.0,0.11236698435293421,0.0,0.19117601264687126,0.0,0.233834966359304,0.0
9,2014-01-17,"[0.         0.         0.         0.         0.10502555 0.21741076
 0.14033779 0.         0.1122336  0.         0.19118465 0.
 0.23380765]",1.1723099683999985,1.1033269961320065,0.0,0.0,0.0,0.10502555264381158,0.21741075531665421,0.1403377856480061,0.0,0.11223360178840561,0.0,0.19118465292921505,0.0,0.23380765167390738,0.0
10,2014-01-21,"[0.         0.         0.         0.         0.10513307 0.21736211
 0.14036848 0.         0.11198394 0.         0.1913609  0.
 0.23379151]",1.1690845595085722,1.1046968583873709,0.0,0.0,0.0,0.10513306881646706,0.21736210503598355,0.14036847785165202,0.0,0.11198394245485846,0.0,0.19136089596712424,0.0,0.2337915098739148,0.0
11,2014-01-22,"[0.         0.         0.         0.         0.10509282 0.21733579
 0.14049217 0.         0.11194762 0.         0.19136727 0.
 0.23376433]",1.1826491381838569,1.1134133986508732,0.0,0.0,0.0,0.10509282038924576,0.21733578508667648,0.1404921699701982,0.0,0.11194762418210599,0.0,0.1913672656470621,0.0,0.23376433472471145,0.0
12,2014-01-23,"[0.         0.         0.         0.         0.10500931 0.21735776
 0.14045545 0.         0.11208026 0.         0.19132909 0.
 0.23376812]",1.2026328174297223,1.1204419970850679,0.0,0.0,0.0,0.10500931340319965,0.21735775874848404,0.1404554544546584,0.0,0.11208026337305448,0.0,0.1913290878609189,0.0,0.23376812215968457,0.0
13,2014-01-24,"[0.         0.         0.         0.         0.10491699 0.21738953
 0.14047117 0.         0.11215235 0.         0.19129683 0.
 0.23377313]",1.233763726069288,1.1306821030567629,0.0,0.0,0.0,0.10491699354254418,0.21738953253336746,0.14047116673767635,0.0,0.11215234918900649,0.0,0.19129683035219744,0.0,0.23377312764520816,0.0
14,2014-01-27,"[0.         0.         0.         0.         0.10491906 0.21737747
 0.14055795 0.         0.11200345 0.         0.19138039 0.
 0.2337617 ]",1.262215152947493,1.138102106904812,0.0,0.0,0.0,0.10491905885569046,0.21737746569117727,0.14055794542414865,0.0,0.11200344744872062,0.0,0.19138038596640136,0.0,0.23376169661386167,0.0
