,Date,Weights,Profit,Base Profit,AVX,HUBB,IIN,MRCY,WAT,BIO,COHR,PKI,ASYS,IVAC,TRT,VECO,cash
0,2014-01-06,"[0.07921448 0.         0.         0.10998979 0.08680226 0.12657897
 0.07989288 0.08543653 0.12598049 0.11305664 0.         0.08705642
 0.10599155]",0.9999999999907921,0.9999999999917246,0.0,0.0,0.10998978604442775,0.08680226449174651,0.12657896678275052,0.07989287671392747,0.08543653259905705,0.12598048858151709,0.11305663768832525,0.0,0.0870564161441115,0.10599154994881656,0.07921448100532047
1,2014-01-07,"[0.         0.         0.         0.12001295 0.09268908 0.14046003
 0.08537366 0.0913639  0.13966101 0.12308594 0.         0.09268036
 0.11467307]",1.013353196594586,1.0089587232941122,0.0,0.0,0.12001295056816264,0.09268908434195407,0.14046003152938813,0.08537365916165719,0.09136390096246472,0.13966100696082442,0.12308593505866955,0.0,0.09268036170514812,0.11467306971173113,0.0
2,2014-01-08,"[0.         0.         0.         0.12021165 0.09271281 0.14114627
 0.08486348 0.09075508 0.14056068 0.12211098 0.         0.09225231
 0.11538674]",1.0115272248124394,1.0068242589933876,0.0,0.0,0.12021164852059435,0.09271281208360177,0.14114626859535204,0.08486348092335165,0.09075508315631671,0.14056068259692928,0.12211097760141139,0.0,0.09225230539748046,0.11538674112496244,0.0
3,2014-01-09,"[0.         0.         0.         0.11994141 0.09266956 0.14114673
 0.08471431 0.09052883 0.14047654 0.12206805 0.         0.09284738
 0.11560719]",1.026128675774238,1.01979122399874,0.0,0.0,0.1199414082943426,0.09266955534928298,0.14114673375641057,0.08471430865741135,0.09052883179927805,0.1404765433436433,0.1220680468588628,0.0,0.0928473825781383,0.11560718936263006,0.0
4,2014-01-10,"[0.         0.         0.         0.11935593 0.09337409 0.14109539
 0.08452167 0.08982721 0.14051697 0.12053287 0.         0.09402006
 0.11675579]",1.044946618081088,1.033206686219632,0.0,0.0,0.11935593361858568,0.09337409488193263,0.14109539326443538,0.08452167439188606,0.08982720501756336,0.1405169696198121,0.12053287250012792,0.0,0.09402006480899497,0.11675579189666208,0.0
5,2014-01-13,"[0.         0.         0.         0.11886261 0.09414611 0.14108635
 0.0838896  0.08889229 0.14077499 0.11866201 0.         0.0951298
 0.11855624]",1.0539537046433405,1.0416833486194141,0.0,0.0,0.11886261091366375,0.09414610897775416,0.14108635191371147,0.08388959925212627,0.08889228529693843,0.14077499444912503,0.11866201416438184,0.0,0.09512979984277693,0.1185562351895222,0.0
6,2014-01-14,"[0.         0.         0.         0.11898488 0.09441944 0.14108892
 0.08352798 0.08848839 0.14104326 0.11756547 0.         0.09521397
 0.11966769]",1.0595073827647612,1.0448670559078352,0.0,0.0,0.11898487772404477,0.09441944380828907,0.14108891877932644,0.08352798393680587,0.08848838961712321,0.14104326050761984,0.11756547377086303,0.0,0.09521396513075661,0.11966768672517121,0.0
7,2014-01-15,"[0.         0.         0.         0.11899905 0.09452886 0.14097301
 0.08357816 0.08835593 0.14097461 0.11720799 0.         0.09545665
 0.11992574]",1.0439513184520581,1.0349958136615935,0.0,0.0,0.11899904880789898,0.0945288598143918,0.1409730054995989,0.08357816459543156,0.08835593468252305,0.1409746102570856,0.11720798581006332,0.0,0.09545664616009296,0.11992574437291374,0.0
8,2014-01-16,"[0.         0.         0.         0.11890483 0.09456587 0.14094149
 0.0835096  0.08822869 0.14092628 0.11693147 0.         0.09577083
 0.12022093]",1.068323782294553,1.0525367153182315,0.0,0.0,0.1189048272027903,0.09456587208039288,0.14094149359429223,0.08350960122301379,0.08822868859104703,0.14092627998140927,0.1169314719725405,0.0,0.09577083335102775,0.12022093200348623,0.0
9,2014-01-17,"[0.         0.         0.         0.11857605 0.09512809 0.14095538
 0.08319969 0.08764622 0.14105736 0.11561405 0.         0.0964889
 0.12133425]",1.0821963194729907,1.0633816978551398,0.0,0.0,0.11857605217140836,0.09512808841553097,0.140955384025271,0.08319969267933161,0.08764622486658079,0.141057359621497,0.11561404844881747,0.0,0.09648889692805157,0.12133425284351121,0.0
10,2014-01-21,"[0.         0.         0.         0.11846739 0.09543865 0.14092908
 0.08302622 0.08730937 0.14119436 0.11486314 0.         0.09674912
 0.12202267]",1.0836901548620688,1.064927074468666,0.0,0.0,0.11846738863480827,0.09543865160147252,0.14092908293289047,0.08302621590251048,0.08730937039944157,0.14119436045286082,0.11486313800889526,0.0,0.09674912339553346,0.1220226686715871,0.0
11,2014-01-22,"[0.         0.         0.         0.11855311 0.09529863 0.14099183
 0.08296229 0.0874244  0.14131543 0.11497952 0.         0.0964759
 0.12199889]",1.0895667470081318,1.0727124810481174,0.0,0.0,0.11855310803337281,0.09529863200729247,0.14099183171616314,0.0829622930152323,0.08742439984864442,0.1413154250102698,0.1149795235686463,0.0,0.09647589624479537,0.12199889055558327,0.0
12,2014-01-23,"[0.         0.         0.         0.11859783 0.09548179 0.14101564
 0.0827872  0.08716803 0.14140661 0.11423668 0.         0.09664548
 0.12266074]",1.0927169721219139,1.0738894028628,0.0,0.0,0.11859782754788986,0.09548179297083277,0.1410156413579207,0.0827871975531638,0.08716803070897552,0.1414066074383511,0.11423668263019741,0.0,0.09664547511909409,0.12266074467357461,0.0
13,2014-01-24,"[0.         0.         0.         0.1184859  0.09569107 0.14095192
 0.08286682 0.08700639 0.14125603 0.11388775 0.         0.09704192
 0.12281221]",1.105014606319546,1.0801507238095072,0.0,0.0,0.11848590189027368,0.09569106867490046,0.14095191808557514,0.0828668163583745,0.08700638525614525,0.1412560300168912,0.11388774691030516,0.0,0.09704192117163808,0.1228122116358967,0.0
