,Date,Weights,Profit,Base Profit,SPXC,PFIN,CVR,LECO,ITT,IEX,GGG,FLS,COHR,PKI,BIO,WAT,cash
0,2014-01-06,"[0.09736855 0.24340785 0.12663551 0.12027314 0.10134892 0.
 0.13038419 0.         0.         0.         0.         0.
 0.18058184]",0.9999999999909737,0.9999999999917246,0.24340785220085903,0.1266355056568489,0.12027314013116451,0.10134891891554561,0.0,0.13038419079673688,0.0,0.0,0.0,0.0,0.0,0.18058183953580847,0.09736855276303659
1,2014-01-07,"[0.         0.29127265 0.13440684 0.12749326 0.10302988 0.
 0.14094828 0.         0.         0.         0.         0.
 0.20284909]",1.0075050526523446,1.0076852878661375,0.29127265445960554,0.1344068396883754,0.12749325520894944,0.10302987980050886,0.0,0.1409482818562902,0.0,0.0,0.0,0.0,0.0,0.2028490889862707,0.0
2,2014-01-08,"[0.         0.29884138 0.13255738 0.12558855 0.10123567 0.
 0.13902599 0.         0.         0.         0.         0.
 0.20275104]",1.0065315393239243,1.0054283112967874,0.2988413778030017,0.13255738148057852,0.1255885481149993,0.10123566630026624,0.0,0.1390259868896592,0.0,0.0,0.0,0.0,0.0,0.202751039411495,0.0
3,2014-01-09,"[0.         0.30060182 0.1321972  0.12508623 0.10147082 0.
 0.1382577  0.         0.         0.         0.         0.
 0.20238623]",1.0170926671269707,1.0133254776569909,0.3006018189457689,0.13219719630898477,0.12508623036312677,0.10147082471251326,0.0,0.13825769941144544,0.0,0.0,0.0,0.0,0.0,0.2023862302581609,0.0
4,2014-01-10,"[0.         0.30086029 0.1323467  0.12478127 0.10284748 0.
 0.13709882 0.         0.         0.         0.         0.
 0.20206545]",1.023015156245801,1.0173671660948622,0.30086029155832955,0.13234669700996776,0.12478126788772238,0.10284747757739963,0.0,0.13709881910151966,0.0,0.0,0.0,0.0,0.0,0.20206544686506098,0.0
5,2014-01-13,"[0.         0.30066913 0.13259159 0.12452917 0.10421377 0.
 0.13619548 0.         0.         0.         0.         0.
 0.20180086]",1.023303337654536,1.0215577756595091,0.3006691319191207,0.13259159244502353,0.1245291699269656,0.1042137658849515,0.0,0.13619547820822933,0.0,0.0,0.0,0.0,0.0,0.20180086161570943,0.0
6,2014-01-14,"[0.         0.30038207 0.13276988 0.12431271 0.10527802 0.
 0.13560402 0.         0.         0.         0.         0.
 0.2016533 ]",1.0225093698713668,1.0203377446619297,0.3003820720741606,0.1327698776608523,0.12431271466600925,0.1052780196490528,0.0,0.13560401550362497,0.0,0.0,0.0,0.0,0.0,0.20165330044629998,0.0
7,2014-01-15,"[0.         0.3003964  0.13283252 0.12434245 0.10478703 0.
 0.13590365 0.         0.         0.         0.         0.
 0.20173796]",1.0068318649052135,1.0070300649574409,0.30039639687277636,0.13283251558762704,0.12434245012611529,0.10478702646132461,0.0,0.1359036460512313,0.0,0.0,0.0,0.0,0.0,0.20173796490092535,0.0
8,2014-01-16,"[0.         0.30037048 0.13277257 0.12431244 0.10496537 0.
 0.13581973 0.         0.         0.         0.         0.
 0.20175942]",1.0430156729640105,1.0286028059939702,0.3003704836860346,0.13277256831952344,0.12431243560944474,0.10496536804558045,0.0,0.13581972916390017,0.0,0.0,0.0,0.0,0.0,0.20175941517551657,0.0
9,2014-01-17,"[0.         0.30043071 0.13272021 0.12440987 0.10414031 0.
 0.13645527 0.         0.         0.         0.         0.
 0.20184363]",1.0463476250385408,1.0296928321770065,0.30043070985774933,0.13272021343651463,0.12440986769324489,0.10414030694087306,0.0,0.13645527398033527,0.0,0.0,0.0,0.0,0.0,0.20184362809128284,0.0
