,Date,Weights,Profit,Base Profit,FLEX,SANM,CTS,IEC,CLB,HLX,ENSV,RES,VSAT,SCON,MSI,BKTI,cash
0,2014-01-06,"[0.06900083 0.         0.         0.09476263 0.14955017 0.07308101
 0.09257949 0.1265037  0.         0.11134132 0.11135053 0.
 0.17183032]",0.99999999999069,0.9999999999917246,0.0,0.0,0.0947626294358421,0.14955017184101338,0.07308100905737469,0.09257948707152122,0.12650370151636803,0.0,0.1113413242005963,0.11135052935122143,0.0,0.1718303199892993,0.06900082753676368
1,2014-01-07,"[0.         0.         0.         0.09829756 0.16500886 0.07465288
 0.09630272 0.13609284 0.         0.11808809 0.11784296 0.
 0.19371409]",1.0022346586061754,1.0045759455875982,0.0,0.0,0.09829755744469816,0.16500885708422566,0.07465288176806956,0.0963027214704958,0.13609283913168255,0.0,0.11808808800607223,0.11784296270515458,0.0,0.19371409238960147,0.0
2,2014-01-08,"[0.         0.         0.         0.09765171 0.1654255  0.07423142
 0.09545869 0.13672092 0.         0.11722179 0.11747212 0.
 0.19581785]",1.0481035899562883,1.0265580375556154,0.0,0.0,0.09765171336755306,0.16542549826427502,0.07423141776074076,0.09545868958025129,0.13672092424869645,0.0,0.11722178672338882,0.1174721169004312,0.0,0.19581785315466355,0.0
3,2014-01-09,"[0.         0.         0.         0.09733048 0.16540045 0.07451286
 0.09506729 0.13734718 0.         0.11687558 0.11735778 0.
 0.19610838]",1.029179268158594,1.017901442384787,0.0,0.0,0.09733048206990916,0.1654004494171858,0.07451286108320458,0.09506728793006024,0.13734717655384918,0.0,0.11687557575594684,0.11735778315327113,0.0,0.1961083840365731,0.0
4,2014-01-10,"[0.         0.         0.         0.09680833 0.16565445 0.07500402
 0.0947624  0.13794872 0.         0.11668619 0.11703311 0.
 0.19610279]",1.0547968756796327,1.0309784607771058,0.0,0.0,0.09680833235583661,0.16565444931671236,0.07500401543557027,0.09476239897730589,0.1379487219891148,0.0,0.11668619118140622,0.11703310573263538,0.0,0.19610278501141845,0.0
5,2014-01-13,"[0.         0.         0.         0.09576323 0.16674366 0.07578746
 0.09437401 0.13832256 0.         0.11679362 0.11618712 0.
 0.19602832]",1.0296251960081657,1.0175147683573966,0.0,0.0,0.09576323415566623,0.16674366372098795,0.07578746421194663,0.09437401197190813,0.138322562049079,0.0,0.11679362319265836,0.11618711631019583,0.0,0.1960283243875579,0.0
6,2014-01-14,"[0.         0.         0.         0.09373336 0.16912616 0.07687674
 0.09377322 0.13829947 0.         0.11754083 0.11453447 0.
 0.19611575]",1.0276390630061516,1.0144076302134264,0.0,0.0,0.09373336284918908,0.16912616152523416,0.07687673541903423,0.09377321862885883,0.1382994697176932,0.0,0.117540830939706,0.11453447166872968,0.0,0.19611574925155484,0.0
7,2014-01-15,"[0.         0.         0.         0.09059011 0.17309777 0.07797618
 0.09307501 0.13749968 0.         0.11959434 0.11179902 0.
 0.19636789]",1.035368366207826,1.014027350645643,0.0,0.0,0.0905901081081568,0.17309777060893256,0.07797618094427686,0.09307500957898036,0.137499681166158,0.0,0.11959433844662869,0.1117990163457968,0.0,0.19636789480106986,0.0
8,2014-01-16,"[0.         0.         0.         0.0849234  0.1788888  0.07893215
 0.09159397 0.13497494 0.         0.12453389 0.10861841 0.
 0.19753445]",1.0413140515272634,1.0202742553620185,0.0,0.0,0.08492339754144898,0.17888879654902673,0.07893215324511763,0.09159396837362888,0.13497493507713693,0.0,0.12453389085161422,0.10861841032207581,0.0,0.19753444803995074,0.0
9,2014-01-17,"[0.         0.         0.         0.08044868 0.18182642 0.07912337
 0.09316051 0.132197   0.         0.1304497  0.10633226 0.
 0.19646206]",1.06000886682521,1.0319152368135347,0.0,0.0,0.08044867775607559,0.1818264159126291,0.0791233721563086,0.09316051113399523,0.1321970020868224,0.0,0.13044970182156115,0.10633226228202013,0.0,0.19646205685058776,0.0
