,Date,Weights,Profit,Base Profit,BMY,ABT,JNJ,PFE,EBIX,JKHY,UIS,STRM,SUP,STRT,MOD,DORM,cash
0,2014-01-06,"[0.14717828 0.20869461 0.21734911 0.         0.         0.
 0.         0.         0.         0.         0.         0.24462577
 0.18215222]",0.9999999999914718,0.9999999999917246,0.2086946148226159,0.21734910818202458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24462576782866718,0.1821522247184057,0.14717828444828676
1,2014-01-07,"[0.         0.21365388 0.22836857 0.         0.         0.
 0.         0.         0.         0.         0.1185391  0.25904551
 0.18039295]",1.0036430508753345,1.0045701763422226,0.21365387849826145,0.22836856687197238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11853909903961338,0.25904550527322306,0.18039295031692965,0.0
2,2014-01-08,"[0.         0.2106854  0.22584238 0.         0.         0.
 0.         0.         0.         0.         0.13015464 0.25662566
 0.17669191]",0.9985232246438983,1.002134598132587,0.2106854039360972,0.2258423849444913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13015464027917817,0.25662565933654385,0.17669191150368946,0.0
3,2014-01-09,"[0.         0.20972598 0.22538438 0.         0.         0.
 0.         0.         0.         0.         0.13185789 0.25690129
 0.17613047]",1.0010827650851553,1.0070444185282172,0.2097259767648354,0.2253843829098246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13185788800463172,0.25690128586550653,0.17613046645520167,0.0
4,2014-01-10,"[0.         0.20929699 0.22529075 0.         0.         0.
 0.         0.         0.         0.         0.13243342 0.25723875
 0.17574009]",1.008681056211721,1.013051533659621,0.2092969876375374,0.2252907476151489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13243341672853276,0.2572387538745229,0.17574009414425829,0.0
5,2014-01-13,"[0.         0.20991783 0.22511996 0.         0.         0.
 0.         0.         0.         0.         0.13136311 0.25698969
 0.1766094 ]",1.0113078673688782,1.0103387810647966,0.2099178264336419,0.22511996297198883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13136311428764097,0.25698969175930314,0.17660940454742505,0.0
6,2014-01-14,"[0.         0.21042313 0.22564099 0.         0.         0.
 0.         0.         0.         0.         0.13111395 0.25613929
 0.17668265]",1.0079350032317007,1.0033529536245371,0.21042312828267085,0.2256409878389945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13111394824967484,0.2561392891393717,0.17668264648928814,0.0
7,2014-01-15,"[0.         0.21101669 0.22591997 0.         0.         0.
 0.         0.         0.         0.         0.13041969 0.25544294
 0.17720071]",1.0075776748337706,1.000238519191828,0.2110166914144001,0.22591996934984832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13041968723361136,0.2554429393881809,0.17720071261395914,0.0
8,2014-01-16,"[0.         0.21089416 0.22538855 0.         0.         0.
 0.         0.         0.         0.         0.13062711 0.25587796
 0.17721223]",1.0055587892694244,1.0065729545458406,0.2108941631348989,0.22538854582531487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13062710548292053,0.25587795750962267,0.17721222804724315,0.0
9,2014-01-17,"[0.         0.21144254 0.22525443 0.         0.         0.
 0.         0.         0.         0.         0.13009707 0.25550229
 0.17770368]",0.9959244048462925,1.0004854677754311,0.21144253971762714,0.2252544268883223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13009706669707283,0.2555022888350149,0.177703677861963,0.0
10,2014-01-21,"[0.         0.21162278 0.22522357 0.         0.         0.
 0.         0.         0.         0.         0.12984668 0.25539466
 0.17791231]",0.9961576174614488,1.0026876827030544,0.21162277824226655,0.22522357317217204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12984667767882704,0.25539466124288496,0.1779123096638494,0.0
11,2014-01-22,"[0.         0.21247637 0.22523314 0.         0.         0.
 0.         0.         0.         0.         0.12860576 0.25472685
 0.17895789]",0.9834810970128502,0.9991882921574261,0.212476366928973,0.22523313689073066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12860575641401278,0.2547268532573886,0.17895788650889483,0.0
12,2014-01-23,"[0.         0.21238082 0.2251717  0.         0.         0.
 0.         0.         0.         0.         0.12887966 0.25487797
 0.17868986]",0.9800970976506859,0.9967887631371032,0.21238081713573193,0.225171696166218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1288796569854342,0.2548779657351001,0.17868986397751588,0.0
13,2014-01-24,"[0.         0.210849   0.22520385 0.         0.         0.
 0.         0.         0.         0.         0.13040652 0.25633678
 0.17720385]",0.9827322461201189,0.999663585061186,0.210848999338846,0.225203847998294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1304065228071374,0.2563367800051372,0.17720384985058538,0.0
14,2014-01-27,"[0.         0.21090001 0.22558823 0.         0.         0.
 0.         0.         0.         0.         0.1305193  0.25616133
 0.17683113]",0.9910781602453865,0.9983750836771357,0.2109000091314818,0.22558822542259918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1305193046842525,0.2561613291689464,0.1768311315927202,0.0
15,2014-01-28,"[0.         0.21115539 0.22648634 0.         0.         0.
 0.         0.         0.         0.         0.13120465 0.25510795
 0.17604567]",0.955564230003873,0.9693340510688288,0.21115539242071069,0.2264863403892332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13120465224876465,0.25510794601096465,0.17604566893032692,0.0
16,2014-01-29,"[0.         0.21104174 0.2267123  0.         0.         0.
 0.         0.         0.         0.         0.1328651  0.25470434
 0.17467652]",0.9530813452425365,0.9652104889904843,0.21104174306887238,0.22671230036711013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13286509991479212,0.25470433863796516,0.17467651801126002,0.0
17,2014-01-30,"[0.         0.20989666 0.22660467 0.         0.         0.
 0.         0.         0.         0.         0.13435065 0.25582102
 0.17332701]",0.9745402490278042,0.9747837171199784,0.2098966605037963,0.22660466765122744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13435064730436555,0.25582101735220786,0.17332700718840277,0.0
18,2014-01-31,"[0.         0.21075075 0.2268324  0.         0.         0.
 0.         0.         0.         0.         0.1337003  0.25502402
 0.17369252]",0.9794096736794979,0.9716049671122183,0.2107507499334557,0.22683240466774493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13370030166918134,0.2550240241663624,0.17369251956325563,0.0
19,2014-02-03,"[0.         0.21039459 0.22665259 0.         0.         0.
 0.         0.         0.         0.         0.13381702 0.2554692
 0.1736666 ]",0.9685716507954356,0.9743378095766596,0.21039458550788237,0.22665259446943065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13381702114181895,0.25546920200448553,0.17366659687638245,0.0
