,Date,Weights,Profit,Base Profit,Volume,BZH,NVR,MTH,PHM,MXIM,KOPN,XLNX,INTC,AMS,PMD,LH,DGX,cash
0,2014-01-06,"[0.         0.         0.09652248 0.         0.10482074 0.08624572
 0.1065845  0.09039599 0.09086843 0.08996985 0.13367775 0.09701422
 0.10390032]",1.0000000074405806,0.9999999999900002,1.0000000074505806,0.0,0.09652248024940491,0.0,0.10482074320316315,0.08624571561813354,0.10658450424671173,0.09039599448442459,0.09086842834949493,0.08996985107660294,0.13367775082588196,0.09701421856880188,0.10390032082796097,0.0
1,2014-01-07,"[0.         0.         0.10551374 0.         0.11365117 0.
 0.11870063 0.09905144 0.09990524 0.09876591 0.14531563 0.10447416
 0.11462209]",1.0128098712489837,1.00851459783773,0.17249143123454222,0.0,0.10551373660564423,0.0,0.11365117132663727,0.0,0.11870063096284866,0.09905143827199936,0.09990523755550385,0.09876590967178345,0.14531563222408295,0.10447415709495544,0.1146220862865448,0.0
2,2014-01-08,"[0.         0.         0.10501231 0.         0.1131471  0.
 0.11997729 0.09932456 0.09972555 0.09903306 0.14534774 0.1042179
 0.11421448]",1.0084926001219752,1.0044330929169836,0.01042812471015443,0.0,0.10501231253147125,0.0,0.11314710229635239,0.0,0.11997728794813156,0.09932456165552139,0.09972555190324783,0.09903305768966675,0.1453477442264557,0.10421790182590485,0.11421447992324829,0.0
3,2014-01-09,"[0.         0.         0.10497424 0.         0.1133242  0.
 0.11929677 0.09924023 0.09979754 0.0994845  0.14533028 0.10535114
 0.11320113]",1.0066343166256548,0.9971170012576827,0.01230312329759548,0.0,0.10497424006462097,0.0,0.11332420259714127,0.0,0.11929676681756973,0.09924022853374481,0.09979753941297531,0.09948450326919556,0.1453302800655365,0.10535114258527756,0.11320113390684128,0.0
4,2014-01-10,"[0.         0.         0.10502622 0.         0.11299366 0.
 0.11981199 0.0992753  0.10004174 0.09950363 0.14511321 0.10495846
 0.1132758 ]",1.0072509879910034,0.9993342148445149,0.015610740095458542,0.0,0.10502621531486511,0.0,0.11299365758895874,0.0,0.11981198936700821,0.09927529841661453,0.10004173964262009,0.09950362890958786,0.14511321485042572,0.10495845973491669,0.11327579617500305,0.0
5,2014-01-13,"[0.         0.         0.10513376 0.         0.11301135 0.
 0.11934535 0.09918243 0.10014833 0.09978274 0.14504431 0.10550842
 0.11284333]",1.0032409879603514,0.9931735828187703,0.012175197860385107,0.0,0.10513375699520111,0.0,0.11301135271787643,0.0,0.11934535205364227,0.09918243438005447,0.10014832764863968,0.09978274255990982,0.14504431188106537,0.10550842434167862,0.11284332722425461,0.0
6,2014-01-14,"[0.         0.         0.10554668 0.         0.11300169 0.
 0.11937235 0.09903686 0.1001254  0.09932823 0.1450917  0.10433341
 0.11416363]",1.006078974120535,0.995154259083285,0.007216888844515235,0.0,0.10554668307304382,0.0,0.11300168931484222,0.0,0.11937235295772552,0.09903685748577118,0.10012540221214294,0.09932823479175568,0.1450916975736618,0.10433340817689896,0.11416362971067429,0.0
7,2014-01-15,"[0.         0.         0.10526828 0.         0.11286546 0.
 0.11995839 0.09914832 0.10008894 0.09940412 0.14498788 0.10444095
 0.11383763]",1.012240946351062,0.9952138005285962,0.009969424311230272,0.0,0.10526827722787857,0.0,0.11286546289920807,0.0,0.11995838582515717,0.09914831817150116,0.1000889390707016,0.09940411895513535,0.14498788118362427,0.10444094985723495,0.11383762955665588,0.0
8,2014-01-16,"[0.         0.08524004 0.09604979 0.         0.10329496 0.
 0.11023676 0.09077182 0.09169646 0.09085651 0.13268232 0.09510888
 0.10406247]",1.0300293611242677,1.011624741617589,0.17256690237791583,0.08524004369974136,0.09604979306459427,0.0,0.10329496115446091,0.0,0.1102367639541626,0.09077181667089462,0.09169645607471466,0.09085651487112045,0.13268232345581055,0.09510888159275055,0.10406246781349182,0.0
9,2014-01-17,"[0.         0.         0.1049732  0.         0.11311784 0.
 0.11995756 0.09912112 0.10034038 0.09977233 0.14495814 0.10488194
 0.11287744]",1.0303940379877439,1.0103848816899434,0.17489049087781172,0.0,0.104973204433918,0.0,0.11311783641576767,0.0,0.11995755881071091,0.09912112355232239,0.10034038126468658,0.09977233409881592,0.14495813846588135,0.10488194227218628,0.11287744343280792,0.0
10,2014-01-21,"[0.         0.08526563 0.09624995 0.         0.10326473 0.
 0.10984544 0.09059982 0.09190834 0.09110064 0.13251731 0.09547455
 0.10377357]",1.0256936422704408,1.0078160138426766,0.17571440687444526,0.0852656289935112,0.09624995291233063,0.0,0.10326472669839859,0.0,0.10984544456005096,0.09059982001781464,0.09190834313631058,0.09110064059495926,0.13251730799674988,0.09547454863786697,0.1037735715508461,0.0
11,2014-01-22,"[0.         0.         0.10530759 0.         0.11287133 0.
 0.11945926 0.09904375 0.10036034 0.10005244 0.14471546 0.10565133
 0.1125385 ]",1.0257714278821561,1.00939410386783,0.17532444253866133,0.0,0.10530759394168854,0.0,0.11287133395671844,0.0,0.11945926398038864,0.09904374927282333,0.10036034137010574,0.10005243867635727,0.14471545815467834,0.10565133392810822,0.11253850162029266,0.0
12,2014-01-23,"[0.         0.08527587 0.09647962 0.         0.10288857 0.
 0.11013032 0.09064478 0.09194076 0.09098194 0.13233091 0.09525725
 0.10406995]",1.023347609350934,1.0063153627023451,0.17494713970417727,0.08527587354183197,0.0964796245098114,0.0,0.1028885692358017,0.0,0.11013031750917435,0.09064477682113647,0.09194076061248779,0.09098193794488907,0.13233090937137604,0.09525725245475769,0.10406994819641113,0.0
