,Date,Weights,Profit,Base Profit,Volume,TECH,NBIX,TTNP,BCRX,C,TCF,JPM,UMBF,PKI,COHR,BIO,WAT,cash
0,2014-01-06,"[0.07814489 0.         0.08309522 0.13950345 0.12657549 0.09336068
 0.         0.10594773 0.11216042 0.09221905 0.         0.09031634
 0.07867671]",0.9999999999907813,0.9999999999917251,0.9218551066326717,0.0,0.08309522485547886,0.13950345207505258,0.1265754933119546,0.09336067709618416,0.0,0.10594773457594937,0.11216042447821309,0.09221904852813596,0.0,0.09031633676136301,0.07867671495034005,0.07814489336732812
1,2014-01-07,"[0.         0.         0.0891952  0.15378318 0.14049699 0.10128377
 0.         0.11320318 0.12212561 0.10012426 0.         0.09577404
 0.08401377]",1.0170871720366266,1.0112937754768463,0.07814489336660778,0.0,0.08919520451589241,0.15378318112954528,0.14049699275279767,0.1012837666287512,0.0,0.11320317629444905,0.1221256054328281,0.10012426449562331,0.0,0.09577404321247532,0.0840137655376377,0.0
2,2014-01-08,"[0.         0.         0.08892006 0.15427271 0.14185961 0.10113341
 0.         0.11299565 0.1221072  0.10003131 0.         0.09509115
 0.08358889]",1.0809010596335789,1.0581043377004358,0.011699772666366574,0.0,0.08892006464583453,0.15427271078661253,0.1418596071159402,0.10113340764253986,0.0,0.11299565205221226,0.12210720415525862,0.10003131376328087,0.0,0.09509115431086528,0.08358888552745579,0.0
3,2014-01-09,"[0.         0.         0.09279691 0.15302249 0.14175918 0.10125829
 0.         0.11300925 0.12017454 0.09955208 0.         0.09477388
 0.08365338]",1.0928607368909888,1.0750151744475258,0.09155183230594216,0.0,0.09279690864029112,0.15302248508695662,0.14175918351247638,0.10125828905917617,0.0,0.11300925441579503,0.12017453682883941,0.09955208314660072,0.0,0.09477387720657891,0.08365338210328556,0.0
4,2014-01-10,"[0.         0.         0.09019823 0.15269808 0.14229633 0.10167413
 0.         0.11325205 0.12063724 0.10001187 0.         0.09519677
 0.0840353 ]",1.113820719824676,1.0860664294944473,0.03272107700163238,0.0,0.09019823304077008,0.15269807793349255,0.14229632554185923,0.10167413084808088,0.0,0.11325205491768525,0.12063723782293699,0.10001186806248323,0.0,0.0951967690078017,0.08403530282489002,0.0
5,2014-01-13,"[0.         0.         0.08866176 0.15268108 0.14406608 0.1017836
 0.         0.1134871  0.12031294 0.09998545 0.         0.09507787
 0.08394412]",1.126641059000116,1.0941290934666568,0.01983296816083422,0.0,0.08866175813967332,0.1526810763660638,0.14406608041067265,0.10178360484324292,0.0,0.11348709942998196,0.12031293906735174,0.09998545295226284,0.0,0.0950778695538145,0.08394411923693637,0.0
6,2014-01-14,"[0.         0.         0.08868045 0.15225847 0.14427701 0.10230411
 0.         0.11331412 0.11974952 0.10009709 0.         0.09532637
 0.08399287]",1.141036900697027,1.1018083762555133,0.01927953387198718,0.0,0.08868044664648773,0.15225846535939927,0.14427701083354408,0.10230411208841787,0.0,0.11331412378982672,0.11974951902470868,0.10009709029509206,0.0,0.09532636672151364,0.0839928652410099,0.0
7,2014-01-15,"[0.         0.         0.08892057 0.15350967 0.14325421 0.10195378
 0.         0.11346725 0.11962582 0.0999911  0.         0.09519237
 0.08408522]",1.1367246099324102,1.0974460434924946,0.0186909392410311,0.0,0.08892056976943702,0.1535096722994927,0.14325421360422877,0.10195377976984146,0.0,0.11346725416791494,0.11962581611108837,0.09999110107663647,0.0,0.09519237138596989,0.08408522181539033,0.0
8,2014-01-16,"[0.         0.         0.08860367 0.15231408 0.14432584 0.10241489
 0.         0.11352297 0.1197728  0.09990701 0.         0.09487614
 0.0842626 ]",1.1726163979808963,1.122678025755321,0.010825578837048246,0.0,0.08860367451679438,0.15231407905746575,0.14432584397059864,0.10241489001889045,0.0,0.11352296876850217,0.11977279555548691,0.0999070125172416,0.0,0.09487613547255438,0.08426260012246563,0.0
9,2014-01-17,"[0.         0.         0.08870135 0.15223378 0.14528784 0.10185939
 0.         0.11324577 0.11964526 0.0998298  0.         0.09474809
 0.08444872]",1.153203068235927,1.1114408093531767,0.03216068169664486,0.0,0.08870134757614762,0.15223378189032258,0.14528783869329512,0.10185939212023687,0.0,0.11324576914535446,0.11964526012196902,0.09982979555227958,0.0,0.09474809411253238,0.08444872078786252,0.0
10,2014-01-21,"[0.         0.         0.08898687 0.15177574 0.14187491 0.10208365
 0.         0.11430859 0.1204162  0.1004154  0.         0.09513195
 0.0850067 ]",1.1529311988618485,1.1129669767008274,0.019912225652092275,0.0,0.08898686791177861,0.1517757387645705,0.14187491074872866,0.1020836457759609,0.0,0.11430859331298775,0.12041619778410194,0.10041539594317703,0.0,0.0951319462584972,0.08500670350019747,0.0
11,2014-01-22,"[0.         0.         0.08907634 0.15191238 0.14249781 0.1017168
 0.         0.11430546 0.12027348 0.10039139 0.         0.09489387
 0.08493248]",1.1647565931615702,1.1221825254632216,0.010034456578752488,0.0,0.0890763359701663,0.15191237905402447,0.1424978084257232,0.10171679916422646,0.0,0.11430545665336551,0.12027348316309053,0.10039139179464013,0.0,0.09489386608374874,0.08493247969101446,0.0
12,2014-01-23,"[0.         0.         0.08876085 0.15174005 0.14348831 0.10156819
 0.         0.11379329 0.12100276 0.09998928 0.         0.09492619
 0.08473108]",1.1798419466959285,1.1273774419706712,0.015194664467792982,0.0,0.08876085479987329,0.15174005270160518,0.14348830538647125,0.10156819108456733,0.0,0.11379329247788633,0.1210027559002068,0.09998928452861355,0.0,0.09492618603108596,0.08473107708969045,0.0
