,Date,Weights,Profit,Base Profit,PYX,STKL,UVV,ANDE,CTO,TRC,FRPH,CIGI,MCD,JACK,EAT,PZZA,cash
0,2014-01-06,"[0.07299969 0.07454734 0.08088407 0.07575331 0.07822986 0.07537747
 0.07871629 0.07580585 0.07994255 0.07684798 0.07671172 0.07671979
 0.07746409]",0.99999999999073,0.9999999999917246,0.07454734413393656,0.08088406725140608,0.0757533110578855,0.07822985953281654,0.07537746843301629,0.07871629170069311,0.07580584612945651,0.07994254757513426,0.0768479757682956,0.07671172044365263,0.07671979110977631,0.07746409184635294,0.07299968501757768
1,2014-01-07,"[0.         0.08145245 0.08415861 0.08367682 0.08274963 0.08320218
 0.08240902 0.08115077 0.0861572  0.08360735 0.08441617 0.08214874
 0.08487104]",1.0095205391443647,1.0085348592343328,0.08145245133791297,0.08415860871497262,0.08367682001899393,0.08274963474659146,0.08320217931231136,0.08240902499468647,0.08115077427093328,0.08615719660799874,0.08360735479170064,0.08441617364682799,0.08214874087546724,0.08487104068160319,0.0
2,2014-01-08,"[0.         0.08323803 0.08466798 0.08342909 0.08331538 0.08301736
 0.08156054 0.08185592 0.08472643 0.08378729 0.0828135  0.0824306
 0.08515787]",0.9932626810037032,0.9948804370213379,0.08323802864743098,0.08466798423186886,0.0834290859984933,0.08331538385459147,0.08301736288503016,0.08156054186525014,0.08185591792690024,0.08472642889517029,0.08378728583556234,0.08281350479622675,0.08243060488612837,0.08515787017734698,0.0
3,2014-01-09,"[0.         0.08309378 0.08531401 0.08266777 0.08264001 0.08182585
 0.0836409  0.0814347  0.0842916  0.08374658 0.08377326 0.08250746
 0.0850641 ]",0.9958183398970182,0.9969716340322597,0.08309377783193278,0.08531401299617594,0.08266776875797376,0.08264000586643545,0.08182584913232681,0.08364089743534839,0.08143469728603622,0.08429159616441671,0.0837465773734436,0.08377325925999735,0.0825074550200632,0.08506410287584983,0.0
4,2014-01-10,"[0.         0.08336085 0.08356195 0.08352928 0.08243567 0.08224914
 0.08239921 0.08190876 0.08506967 0.0833749  0.08418663 0.08232599
 0.08559795]",0.9981102773299488,0.9987784751398391,0.08336085450245859,0.08356195111310527,0.08352927745957588,0.08243567107142863,0.0822491434433705,0.08239921163170658,0.08190876337115889,0.08506966767595761,0.08337489800442838,0.08418662511107587,0.08232598545331818,0.08559795116241566,0.0
5,2014-01-13,"[0.         0.08221007 0.08259056 0.08395114 0.08332171 0.0831777
 0.08260851 0.08324058 0.08339855 0.08452066 0.08359127 0.08275046
 0.0846388 ]",0.9964376908674215,0.9973837690776622,0.08221006737924527,0.08259055589539906,0.08395113897329004,0.08332170933091611,0.08317769752422445,0.08260851476638323,0.08324058277441448,0.08339854580822076,0.08452065537910952,0.08359126721855496,0.08275046180507273,0.08463880314516957,0.0
6,2014-01-14,"[0.         0.0825788  0.08415914 0.08336367 0.08355698 0.08330593
 0.08144415 0.08247698 0.0847116  0.08348206 0.08327025 0.08219197
 0.08545847]",0.9852581753256515,0.9881009043836619,0.08257879695445308,0.08415913902673147,0.08336367486346782,0.08355697580863103,0.08330593212436842,0.08144415388807477,0.08247698037181603,0.08471159702463212,0.08348206198910188,0.08327025476938496,0.08219196561111258,0.0854584675682257,0.0
7,2014-01-15,"[0.         0.08235746 0.08391723 0.08323735 0.08323999 0.08306479
 0.08351576 0.08190227 0.08344773 0.08432271 0.08475028 0.08222724
 0.08401718]",0.9777902389233348,0.9819144728357467,0.08235745690396656,0.08391722959162827,0.08323735189776818,0.08323998976466154,0.08306478789488045,0.08351576476623168,0.08190227480684137,0.08344773475860835,0.0843227107595005,0.0847502812404674,0.08222724089580334,0.0840171767196425,0.0
8,2014-01-16,"[0.         0.08191653 0.08412835 0.08409782 0.083286   0.08176487
 0.08209056 0.08219174 0.08498778 0.08324956 0.0837867  0.08312248
 0.08537762]",0.9834841030084236,0.9865595685633646,0.08191652773323477,0.08412834587977973,0.08409782059928664,0.08328599799155634,0.08176486922359252,0.08209055533157257,0.08219174330194015,0.08498778000697538,0.08324955754947404,0.08378670144071643,0.08312248186493966,0.08537761907693184,0.0
9,2014-01-17,"[0.         0.08293175 0.08314515 0.08351553 0.08280886 0.08255823
 0.08346806 0.08212928 0.08318905 0.08496784 0.0842705  0.08244154
 0.08457422]",0.9979266764472112,0.9984475828211496,0.08293174735191407,0.08314515273827601,0.08351552827687783,0.08280886310811514,0.08255822513578871,0.0834680564725856,0.08212928289821363,0.08318905402217491,0.08496783675585023,0.08427049700360671,0.08244153624138006,0.08457421999521697,0.0
