,Date,Weights,Profit,Base Profit,VSAT,SCON,MSI,BKTI,OSK,PCAR,SPAR,F,PYX,STKL,ANDE,UVV,cash
0,2014-01-06,"[0.07929433 0.         0.         0.11990007 0.1176099  0.
 0.13027209 0.0928788  0.         0.12402779 0.         0.14682156
 0.18919546]",0.9999999999907929,0.9999999999917246,0.0,0.0,0.11990007467991207,0.11760989988743559,0.0,0.13027209229155515,0.09287880385804573,0.0,0.12402778703037068,0.0,0.14682155640543093,0.18919545539656096,0.07929433045068895
1,2014-01-07,"[0.         0.         0.         0.12847786 0.12481511 0.
 0.13960619 0.0961293  0.         0.13287978 0.         0.16143176
 0.21666001]",1.0124528668018513,1.0096491002468833,0.0,0.0,0.12847786393885183,0.12481510534447982,0.0,0.13960618669493285,0.09612929523240372,0.0,0.1328797804844917,0.0,0.16143175745019187,0.21666001085464806,0.0
2,2014-01-08,"[0.         0.         0.         0.12803797 0.12395344 0.
 0.13875117 0.09500935 0.         0.13247084 0.         0.16188571
 0.21989151]",0.9992594810388356,1.0221147756864828,0.0,0.0,0.12803796662700148,0.12395344190687466,0.0,0.1387511716314921,0.09500935468834346,0.0,0.13247084332235362,0.0,0.16188571243279848,0.2198915093911362,0.0
3,2014-01-09,"[0.         0.         0.         0.12792418 0.12381236 0.
 0.1386729  0.09493977 0.         0.13228966 0.         0.16184774
 0.22051339]",0.9896786391216972,1.0143362549517787,0.0,0.0,0.12792417645466667,0.1238123597907721,0.0,0.13867290015608216,0.09493977402672114,0.0,0.13228965835435827,0.0,0.16184773729859614,0.22051339391880362,0.0
4,2014-01-10,"[0.         0.         0.         0.12782397 0.12370095 0.
 0.13872954 0.09491254 0.         0.13238775 0.         0.1618327
 0.22061254]",0.9922968005267241,1.0263380372147732,0.0,0.0,0.12782397394260345,0.12370094881443151,0.0,0.138729536737868,0.0949125406624083,0.0,0.1323877545242795,0.0,0.16183270128852145,0.2206125440298878,0.0
5,2014-01-13,"[0.         0.         0.         0.12768862 0.12376921 0.
 0.13896321 0.09501721 0.         0.13233223 0.         0.16168954
 0.22053996]",0.9898019575105295,1.0201692993694944,0.0,0.0,0.12768862360267483,0.12376921331364739,0.0,0.13896321336331005,0.09501721314182658,0.0,0.1323322331320045,0.0,0.1616895447328727,0.2205399587136639,0.0
6,2014-01-14,"[0.         0.         0.         0.1275087  0.12378352 0.
 0.13928537 0.09513789 0.         0.13233145 0.         0.16153304
 0.22042003]",0.9755616642701536,1.0161862512561128,0.0,0.0,0.12750870358707156,0.12378351809698498,0.0,0.13928536751497683,0.09513788763754967,0.0,0.13233144558170595,0.0,0.16153304455935258,0.22042003302235846,0.0
7,2014-01-15,"[0.         0.         0.         0.12745718 0.12377879 0.
 0.13942592 0.09519899 0.         0.13230161 0.         0.16147108
 0.22036643]",0.9733294051299672,1.0081512610973764,0.0,0.0,0.12745718096235145,0.12377878875178343,0.0,0.1394259161458529,0.09519899344707547,0.0,0.13230161248332095,0.0,0.16147107885461953,0.22036642935499626,0.0
8,2014-01-16,"[0.         0.         0.         0.12739161 0.12387607 0.
 0.13958916 0.09529811 0.         0.13219312 0.         0.16136751
 0.22028442]",0.9785472227963323,1.0151555408103647,0.0,0.0,0.12739161267818327,0.12387606677731391,0.0,0.1395891573259086,0.09529810756160297,0.0,0.13219312407814318,0.0,0.1613675128918251,0.22028441868702284,0.0
9,2014-01-17,"[0.         0.         0.         0.12739567 0.1238609  0.
 0.13954704 0.09524933 0.         0.13226174 0.         0.16140474
 0.22028058]",0.9859549122761742,1.0293312267662216,0.0,0.0,0.1273956737615949,0.12386089764716716,0.0,0.13954703548742806,0.09524932841089882,0.0,0.13226173728735527,0.0,0.1614047430254928,0.22028058438006282,0.0
10,2014-01-21,"[0.         0.         0.         0.12745052 0.12383037 0.
 0.13944788 0.09520501 0.         0.13228921 0.         0.16145955
 0.22031746]",0.9956083799985014,1.0346872970781724,0.0,0.0,0.12745051872945248,0.12383037442502094,0.0,0.13944787745961862,0.0952050070789575,0.0,0.13228921140200028,0.0,0.16145955217910896,0.2203174587258411,0.0
11,2014-01-22,"[0.         0.         0.         0.12747881 0.12374593 0.
 0.13938552 0.09516097 0.         0.13235844 0.         0.16150273
 0.2203676 ]",0.9984428356331901,1.032984285273795,0.0,0.0,0.1274788098592435,0.12374593297513838,0.0,0.13938552431498016,0.09516096637849361,0.0,0.13235844088161144,0.0,0.16150272665715912,0.22036759893337377,0.0
12,2014-01-23,"[0.         0.         0.         0.12748223 0.12376748 0.
 0.13937244 0.09516405 0.         0.13234022 0.         0.16150715
 0.22036643]",0.9908609612140175,1.03217660658238,0.0,0.0,0.12748222899553247,0.12376748069295095,0.0,0.13937244162351656,0.09516405458260033,0.0,0.1323402166427644,0.0,0.16150714693169402,0.2203664305309413,0.0
13,2014-01-24,"[0.         0.         0.         0.12747175 0.12381851 0.
 0.13942188 0.09521004 0.         0.13226895 0.         0.16147088
 0.22033799]",0.992877868085651,1.0292825389288665,0.0,0.0,0.12747174686540266,0.12381851206157908,0.0,0.1394218834377629,0.09521004270257125,0.0,0.13226894590171082,0.0,0.1614708804302069,0.22033798860076645,0.0
14,2014-01-27,"[0.         0.         0.         0.1274269  0.12388589 0.
 0.13951564 0.09526061 0.         0.13220718 0.         0.16141096
 0.22029281]",0.9841902950051635,1.0186569570294994,0.0,0.0,0.12742690328498546,0.123885888289932,0.0,0.13951563914359416,0.09526061452218554,0.0,0.13220718254711825,0.0,0.16141096297768628,0.22029280923449843,0.0
