,Date,Weights,Profit,Base Profit,Volume,PCAR,F,SPAR,OSK,TTNP,NBIX,TECH,BCRX,COHR,BIO,WAT,PKI,cash
0,2014-01-06,"[0.09116571 0.12238765 0.10938738 0.0821862  0.09603291 0.10453735
 0.08312999 0.14680748 0.         0.         0.08749364 0.07687172
 0.        ]",1.0000000297932339,0.9999999999900002,0.9088343232870102,0.12238764762878418,0.10938738286495209,0.08218619972467422,0.09603291004896164,0.10453735291957855,0.08312999457120895,0.1468074768781662,0.0,0.0,0.08749363571405411,0.07687172293663025,0.0,0.0911657065153122
1,2014-01-07,"[0.09108188 0.12283439 0.10925951 0.08182503 0.09521676 0.10386308
 0.08299978 0.14654762 0.         0.         0.08875978 0.07761215
 0.        ]",1.0066379754415606,1.0131856119227978,0.00482286272922429,0.12283439189195633,0.10925950855016708,0.08182502537965775,0.09521675854921341,0.10386307537555695,0.08299978077411652,0.1465476155281067,0.0,0.0,0.08875977993011475,0.07761215418577194,0.0,0.0910818800330162
2,2014-01-08,"[0.09101466 0.12273686 0.10923072 0.08202215 0.09529281 0.10393017
 0.08297887 0.14659384 0.         0.         0.08871643 0.07748348
 0.        ]",1.0580704676681867,1.0674650834793789,0.0070954279855601566,0.1227368637919426,0.10923071950674057,0.08202214539051056,0.09529281407594681,0.10393016785383224,0.08297887444496155,0.14659383893013,0.0,0.0,0.08871643245220184,0.07748348265886307,0.0,0.09101466089487076
3,2014-01-09,"[0.0911658  0.12299483 0.10923157 0.08076527 0.09494092 0.1042184
 0.0826005  0.14686678 0.         0.         0.08960829 0.07760765
 0.        ]",1.069287977040032,1.0885230539826203,0.09020338342568529,0.12299483269453049,0.10923156887292862,0.0807652696967125,0.0949409231543541,0.10421840101480484,0.08260050415992737,0.1468667834997177,0.0,0.0,0.08960828930139542,0.0776076465845108,0.0,0.09116579592227936
4,2014-01-10,"[0.0911364  0.12298588 0.10924929 0.08081509 0.0949968  0.10421537
 0.08261433 0.14680624 0.         0.         0.08957839 0.07760219
 0.        ]",1.0762322368497637,1.1034357165009332,0.02431537035252279,0.12298587709665298,0.1092492863535881,0.08081509172916412,0.09499679505825043,0.10421536862850189,0.08261433243751526,0.1468062400817871,0.0,0.0,0.08957839012145996,0.07760219275951385,0.0,0.0911364033818245
5,2014-01-13,"[0.09098633 0.12298454 0.10922881 0.08080561 0.09487675 0.10418452
 0.08249485 0.14678791 0.         0.         0.08986531 0.07778536
 0.        ]",1.0814688903914849,1.1144941011937701,0.005541327693679752,0.12298454344272614,0.10922881215810776,0.08080560714006424,0.09487675130367279,0.10418452322483063,0.08249485492706299,0.14678791165351868,0.0,0.0,0.0898653119802475,0.07778535783290863,0.0,0.09098633378744125
6,2014-01-14,"[0.09105559 0.12317508 0.10929109 0.08038443 0.09472751 0.10405682
 0.08254834 0.14666872 0.         0.         0.09004901 0.07804339
 0.        ]",1.0961948888856865,1.1294806469744574,0.01114229698146855,0.12317507714033127,0.10929109156131744,0.08038442581892014,0.09472750872373581,0.10405682027339935,0.0825483426451683,0.1466687172651291,0.0,0.0,0.09004900604486465,0.0780433863401413,0.0,0.09105559438467026
7,2014-01-15,"[0.09128689 0.12325606 0.10934486 0.08036702 0.0947379  0.10387356
 0.08274418 0.14659078 0.         0.         0.08973899 0.07805976
 0.        ]",1.0842510616448389,1.1194456438342697,0.018448918210542675,0.12325606495141983,0.10934486240148544,0.08036702126264572,0.09473790228366852,0.10387355834245682,0.08274418115615845,0.14659078419208527,0.0,0.0,0.08973898738622665,0.07805975526571274,0.0,0.09128689020872116
8,2014-01-16,"[0.09130486 0.12325635 0.10936761 0.08023094 0.09471284 0.10394581
 0.08272729 0.14659233 0.         0.         0.08974163 0.07812034
 0.        ]",1.1030749663605934,1.1547400988092926,0.007128924340378009,0.12325634807348251,0.10936760902404785,0.08023093640804291,0.09471283853054047,0.10394581407308578,0.08272729068994522,0.14659233391284943,0.0,0.0,0.08974163234233856,0.07812033593654633,0.0,0.09130486100912094
9,2014-01-17,"[0.09139218 0.12338011 0.10940824 0.08005866 0.09468051 0.10389002
 0.08277954 0.14652771 0.         0.         0.08973996 0.07814305
 0.        ]",1.102045653374341,1.1439150225192998,0.010732623107409541,0.12338010966777802,0.10940824449062347,0.08005865663290024,0.09468051046133041,0.10389001667499542,0.08277954161167145,0.1465277075767517,0.0,0.0,0.08973996341228485,0.07814305275678635,0.0,0.09139218181371689
10,2014-01-21,"[0.09146958 0.12341005 0.10943216 0.08000567 0.09477063 0.10391796
 0.08279826 0.14654368 0.         0.         0.08964104 0.07801095
 0.        ]",1.1070623476409225,1.1500922742359676,0.010671514855716104,0.12341004610061646,0.1094321608543396,0.08000566810369492,0.0947706326842308,0.10391796380281448,0.08279825747013092,0.1465436816215515,0.0,0.0,0.0896410420536995,0.07801095396280289,0.0,0.09146957844495773
11,2014-01-22,"[0.09139473 0.12337086 0.10939956 0.08009205 0.09478741 0.10394042
 0.08277459 0.14656416 0.         0.         0.08970807 0.07796814
 0.        ]",1.1118498950556635,1.1625404222654319,0.006074682047373814,0.12337086349725723,0.10939956456422806,0.08009205013513565,0.09478741139173508,0.10394041985273361,0.08277459442615509,0.14656415581703186,0.0,0.0,0.08970807492733002,0.07796813547611237,0.0,0.09139472991228104
12,2014-01-23,"[0.09132217 0.1232269  0.1093868  0.08020186 0.09489322 0.10411572
 0.08282414 0.14655772 0.         0.         0.08957992 0.0778916
 0.        ]",1.1127168776917646,1.1639639971711175,0.006634796038956066,0.12322689592838287,0.10938680171966553,0.08020185679197311,0.09489322453737259,0.10411571711301804,0.08282414078712463,0.14655771851539612,0.0,0.0,0.08957991749048233,0.07789159566164017,0.0,0.0913221687078476
