,Date,Weights,Profit,Base Profit,SPXC,CVR,LECO,PFIN,EAT,MCD,PZZA,JACK,TRT,ASYS,VECO,IVAC,cash
0,2014-01-06,"[0.12301877 0.         0.         0.         0.15515858 0.23442016
 0.         0.15917573 0.1415547  0.         0.         0.18667206
 0.        ]",0.9999999999912302,0.9999999999917246,0.0,0.0,0.0,0.15515857621861157,0.2344201632984408,0.0,0.1591757289276578,0.1415547016215441,0.0,0.0,0.18667206028971195,0.0,0.12301876964403381
1,2014-01-07,"[0.         0.         0.         0.         0.17105199 0.28230099
 0.         0.17621379 0.15468265 0.         0.         0.21575059
 0.        ]",1.0016577010824805,1.0075863867434998,0.0,0.0,0.0,0.17105199036212543,0.28230098905814155,0.0,0.17621378847972632,0.1546826450184397,0.0,0.0,0.2157505870815669,0.0,0.0
2,2014-01-08,"[0.         0.         0.         0.         0.16838694 0.28867115
 0.         0.17362629 0.15270024 0.         0.         0.21661539
 0.        ]",0.9961668117442979,1.0019331664562152,0.0,0.0,0.0,0.1683869385297902,0.2886711478364603,0.0,0.17362628541056258,0.1527002418792501,0.0,0.0,0.21661538634393682,0.0,0.0
3,2014-01-09,"[0.         0.         0.         0.         0.16777032 0.2900828
 0.         0.17293927 0.15235254 0.         0.         0.21685506
 0.        ]",1.0082412236768015,1.0156028709154103,0.0,0.0,0.0,0.16777031823741376,0.2900828036170006,0.0,0.17293927480539062,0.1523525394166022,0.0,0.0,0.21685506392359283,0.0,0.0
4,2014-01-10,"[0.         0.         0.         0.         0.16911015 0.28988626
 0.         0.17348551 0.15048548 0.         0.         0.2170326
 0.        ]",1.0198687005492921,1.0308163332827665,0.0,0.0,0.0,0.16911015114236277,0.2898862608685577,0.0,0.17348551181647776,0.15048547958997016,0.0,0.0,0.21703259658263166,0.0,0.0
5,2014-01-13,"[0.         0.         0.         0.         0.16975327 0.28953884
 0.         0.17334408 0.14948694 0.         0.         0.21787688
 0.        ]",1.022249590967247,1.0344681494415962,0.0,0.0,0.0,0.16975326796836704,0.28953884142272396,0.0,0.17334407737107743,0.1494869382249025,0.0,0.0,0.21787687501292907,0.0,0.0
6,2014-01-14,"[0.         0.         0.         0.         0.16870366 0.29015531
 0.         0.17204206 0.1502193  0.         0.         0.21887967
 0.        ]",1.0175281869798203,1.0309739999811598,0.0,0.0,0.0,0.1687036586374047,0.29015531396397404,0.0,0.17204205606490558,0.15021930264717986,0.0,0.0,0.218879668686536,0.0,0.0
7,2014-01-15,"[0.         0.         0.         0.         0.16847972 0.29066937
 0.         0.17169741 0.15017633 0.         0.         0.21897717
 0.        ]",1.015680597732897,1.0191955096279943,0.0,0.0,0.0,0.1684797206043457,0.2906693669289017,0.0,0.1716974122709902,0.15017632944512566,0.0,0.0,0.2189771707506368,0.0,0.0
8,2014-01-16,"[0.         0.         0.         0.         0.16783566 0.29114563
 0.         0.17104757 0.15063956 0.         0.         0.21933159
 0.        ]",1.0293533309668448,1.0459823783406343,0.0,0.0,0.0,0.16783565570252895,0.29114562964956986,0.0,0.17104756540344715,0.1506395640759578,0.0,0.0,0.2193315851684962,0.0,0.0
9,2014-01-17,"[0.         0.         0.         0.         0.16769997 0.29125642
 0.         0.1704073  0.15056257 0.         0.         0.22007375
 0.        ]",1.035666760493835,1.0517252296061317,0.0,0.0,0.0,0.16769997248035715,0.2912564155542336,0.0,0.17040729636513788,0.1505625677627898,0.0,0.0,0.22007374783748163,0.0,0.0
10,2014-01-21,"[0.         0.         0.         0.         0.16736925 0.29162367
 0.         0.16990262 0.15069664 0.         0.         0.22040782
 0.        ]",1.0329634406166264,1.0526596742124172,0.0,0.0,0.0,0.16736925161787228,0.2916236652822557,0.0,0.16990262409458934,0.15069663834185398,0.0,0.0,0.22040782066342876,0.0,0.0
11,2014-01-22,"[0.         0.         0.         0.         0.16635144 0.2922397
 0.         0.16930762 0.1517203  0.         0.         0.22038094
 0.        ]",1.0426214267513498,1.0583728746620793,0.0,0.0,0.0,0.1663514402386556,0.2922397006902999,0.0,0.1693076212407874,0.15172029784703925,0.0,0.0,0.22038093998321778,0.0,0.0
12,2014-01-23,"[0.         0.         0.         0.         0.16599606 0.29261583
 0.         0.16890184 0.15185694 0.         0.         0.22062933
 0.        ]",1.0684858056892979,1.0660045937058706,0.0,0.0,0.0,0.1659960599632429,0.2926158284981629,0.0,0.16890184053805257,0.15185693994234117,0.0,0.0,0.2206293310582005,0.0,0.0
13,2014-01-24,"[0.         0.         0.         0.         0.16584961 0.29281695
 0.         0.16874907 0.15173116 0.         0.         0.22085322
 0.        ]",1.085026352487011,1.0731540274746818,0.0,0.0,0.0,0.16584960774718754,0.2928169467701432,0.0,0.1687490670754955,0.15173115582817065,0.0,0.0,0.22085322257900303,0.0,0.0
14,2014-01-27,"[0.         0.         0.         0.         0.16623854 0.29271516
 0.         0.16863279 0.15105961 0.         0.         0.2213539
 0.        ]",1.0790338393737005,1.0656667475588562,0.0,0.0,0.0,0.16623854406016955,0.29271515870319087,0.0,0.16863278754118222,0.1510596113466424,0.0,0.0,0.22135389834881494,0.0,0.0
15,2014-01-28,"[0.         0.         0.         0.         0.16604814 0.29305452
 0.         0.16831606 0.15120512 0.         0.         0.22137616
 0.        ]",1.0695251750726222,1.0540388705470969,0.0,0.0,0.0,0.16604814079280658,0.29305451571318303,0.0,0.16831606130394774,0.1512051192058174,0.0,0.0,0.22137616298424528,0.0,0.0
