,Date,Weights,Profit,Base Profit,Volume,TCF,UMBF,C,JPM,UVV,PYX,STKL,ANDE,EBIX,UIS,STRM,JKHY,cash
0,2014-01-06,"[0.10661918 0.11250812 0.12697952 0.11485261 0.13654251 0.
 0.         0.         0.11519128 0.17377273 0.         0.11353404
 0.        ]",0.999999999991066,0.9999999999917251,0.8933808196930565,0.11250812383273574,0.12697952287894967,0.11485261437158342,0.13654250542826538,0.0,0.0,0.0,0.11519127644886022,0.17377273288731399,0.0,0.11353404384534804,0.0,0.10661918030694344
1,2014-01-07,"[0.         0.12360191 0.14144369 0.12638683 0.15358923 0.
 0.         0.         0.12716611 0.20318986 0.         0.12462236
 0.        ]",1.0099443851439414,1.0101538792448965,0.106619180305991,0.12360191223437698,0.14144369299976478,0.12638683106800136,0.15358923041581932,0.0,0.0,0.0,0.12716610569495795,0.20318986417486648,0.0,0.12462236341221326,0.0,0.0
2,2014-01-08,"[0.         0.12295384 0.1410418  0.12600328 0.1538375  0.
 0.         0.         0.12674225 0.20540786 0.         0.12401346
 0.        ]",1.0056489584105435,1.0034584914681932,0.010698266446957799,0.12295383935814722,0.14104180035367228,0.1260032848753198,0.15383750203473,0.0,0.0,0.0,0.1267422490825837,0.2054078643494889,0.0,0.12401345994605806,0.0,0.0
3,2014-01-09,"[0.         0.12275551 0.14100214 0.12605762 0.15385319 0.
 0.         0.         0.12645142 0.20606893 0.         0.12381119
 0.        ]",1.0149689988798771,1.0065010875139475,0.007550257045340044,0.12275551067098436,0.14100214459263194,0.12605762458824857,0.1538531881371091,0.0,0.0,0.0,0.12645141697650564,0.2060689292098453,0.0,0.12381118582467507,0.0,0.0
4,2014-01-10,"[0.         0.12277982 0.14094083 0.12541311 0.15309725 0.
 0.         0.         0.12636425 0.20767763 0.         0.12372711
 0.        ]",1.0186401107857617,1.0111264257828358,0.009816765663183822,0.12277981602311215,0.14094083313233235,0.1254131105030104,0.15309724871198896,0.0,0.0,0.0,0.1263642477898319,0.20767763424335078,0.0,0.12372710959637342,0.0,0.0
5,2014-01-13,"[0.         0.12259214 0.14097802 0.12573368 0.15361345 0.
 0.         0.         0.12614246 0.20703648 0.         0.12390377
 0.        ]",1.0153490371605418,1.0107707282730374,0.00794903970305044,0.12259213973852055,0.14097801638123747,0.12573368215546868,0.15361344809222913,0.0,0.0,0.0,0.12614245985386663,0.20703647915802595,0.0,0.1239037746206516,0.0,0.0
6,2014-01-14,"[0.         0.12289856 0.14151495 0.12577781 0.15365131 0.
 0.         0.         0.12657162 0.20531411 0.         0.12427164
 0.        ]",0.9968312786578198,0.9969504307915108,0.011116237073882566,0.12289855849311146,0.14151494809308793,0.12577781435187718,0.15365131271072072,0.0,0.0,0.0,0.12657161796281505,0.2053141106931958,0.0,0.12427163769519184,0.0,0.0
7,2014-01-15,"[0.         0.12292811 0.14137323 0.12581135 0.15402922 0.
 0.         0.         0.12619547 0.20587937 0.         0.12378325
 0.        ]",0.9934108785726681,0.991976181678151,0.010809659457400235,0.12292811449663277,0.14137322533721064,0.1258113500322574,0.1540292155970321,0.0,0.0,0.0,0.12619546799713988,0.20587937350062485,0.0,0.12378325303910248,0.0,0.0
8,2014-01-16,"[0.         0.12300084 0.14119077 0.12564874 0.15371889 0.
 0.         0.         0.12621951 0.20602768 0.         0.12419357
 0.        ]",1.000926785620432,0.9964612546115632,0.008826849285267217,0.1230008378890213,0.14119076901114203,0.12564874106540233,0.15371889481526618,0.0,0.0,0.0,0.12621951380656368,0.2060276756044467,0.0,0.1241935678081576,0.0,0.0
9,2014-01-17,"[0.         0.12277591 0.14097697 0.1256037  0.15319596 0.
 0.         0.         0.12641618 0.2074093  0.         0.12362199
 0.        ]",0.9936458074253572,0.9983822830972295,0.007505215256408979,0.12277591226763648,0.14097696535905002,0.12560370259765466,0.15319595663868554,0.0,0.0,0.0,0.12641617598430424,0.20740929994403554,0.0,0.12362198720863354,0.0,0.0
10,2014-01-21,"[0.         0.12293823 0.14131353 0.12551946 0.1542286  0.
 0.         0.         0.12659222 0.20544231 0.         0.12396566
 0.        ]",0.9963865535055898,1.0000986966961907,0.011235697903288986,0.122938227579803,0.14131352727300134,0.12551946120585533,0.15422859659227878,0.0,0.0,0.0,0.1265922248238635,0.2054423069444006,0.0,0.12396565558079746,0.0,0.0
11,2014-01-22,"[0.         0.122767   0.14087484 0.12532658 0.1538273  0.
 0.         0.         0.1266694  0.20642206 0.         0.12411283
 0.        ]",0.9948998136960352,1.0006286302213387,0.008247238482284577,0.12276699507652786,0.1408748409754417,0.12532657845690243,0.15382730238295708,0.0,0.0,0.0,0.12666940118295866,0.2064220556945837,0.0,0.12411282623062841,0.0,0.0
12,2014-01-23,"[0.         0.12291943 0.14146241 0.12558298 0.15324034 0.
 0.         0.         0.12638907 0.20661481 0.         0.12379096
 0.        ]",0.9972670121898358,1.0015898024368017,0.007219998173554,0.12291943411864896,0.14146240679540112,0.12558298473459725,0.15324033656519412,0.0,0.0,0.0,0.12638907228657603,0.20661480796627674,0.0,0.12379095753330578,0.0,0.0
13,2014-01-24,"[0.         0.12297597 0.14141123 0.12544817 0.15358918 0.
 0.         0.         0.12660133 0.20648525 0.         0.12348888
 0.        ]",1.0049975501210555,1.0031901959716143,0.00785376936235855,0.12297596801509449,0.14141123239002948,0.12544816695310654,0.15358917920474235,0.0,0.0,0.0,0.1266013250994523,0.20648525208850269,0.0,0.12348887624907225,0.0,0.0
14,2014-01-27,"[0.         0.12255478 0.14123031 0.12533039 0.15285572 0.
 0.         0.         0.12656811 0.20794039 0.         0.1235203
 0.        ]",0.979852074505565,0.9884578798526467,0.017532083133891176,0.1225547789015457,0.1412303062857822,0.12533038925035403,0.15285572086284455,0.0,0.0,0.0,0.12656811147268954,0.20794038827197295,0.0,0.12352030495481098,0.0,0.0
15,2014-01-28,"[0.         0.1228123  0.14140816 0.12553164 0.15366399 0.
 0.         0.         0.12665422 0.20613492 0.         0.12379477
 0.        ]",0.9635027173394553,0.9727987367295774,0.006105494896807843,0.12281229862279464,0.14140816145929014,0.12553163670553202,0.15366398541162257,0.0,0.0,0.0,0.12665422281242067,0.20613492256040233,0.0,0.12379477242793765,0.0,0.0
16,2014-01-29,"[0.         0.12303622 0.14133995 0.12563574 0.15368119 0.
 0.         0.         0.12661827 0.20582311 0.         0.12386551
 0.        ]",0.9454292101855065,0.9582955711437634,0.006424818560490949,0.12303621655820002,0.1413399511111703,0.12563574193529994,0.15368119076421305,0.0,0.0,0.0,0.12661827438019055,0.20582311267801623,0.0,0.12386551257291005,0.0,0.0
17,2014-01-30,"[0.         0.12302353 0.14100636 0.12604509 0.15426051 0.
 0.         0.         0.12655038 0.20568034 0.         0.12343379
 0.        ]",0.9458202907048764,0.957699881433334,0.013432108802445868,0.12302353290033162,0.14100635853203264,0.1260450865344329,0.15426051065972324,0.0,0.0,0.0,0.1265503836354729,0.2056803382559064,0.0,0.12343378948210042,0.0,0.0
18,2014-01-31,"[0.         0.12268764 0.14078068 0.12555088 0.15350991 0.
 0.         0.         0.1265998  0.20721566 0.         0.12365542
 0.        ]",0.939193100682639,0.9521607505838414,0.008033393242734388,0.12268764461924106,0.14078067942388595,0.12555088183632224,0.15350990877848708,0.0,0.0,0.0,0.12659979650232164,0.20721566466991276,0.0,0.12365542416982933,0.0,0.0
19,2014-02-03,"[0.         0.1226298  0.14004407 0.12552056 0.15417573 0.
 0.         0.         0.1265271  0.20802126 0.         0.12308148
 0.        ]",0.9339834624792174,0.9518245778163068,0.020912866773354476,0.12262979985967233,0.14004406819584117,0.12552056064605813,0.15417572928113757,0.0,0.0,0.0,0.12652710323203928,0.20802125606919245,0.0,0.12308148271605913,0.0,0.0
