,Date,Weights,Profit,Base Profit,Volume,AMS,PMD,LH,DGX,WLFC,KAMN,LAWS,HDSN,JNJ,BMY,PFE,ABT,cash
0,2014-01-06,"[0.07409645 0.07951781 0.07880189 0.07675049 0.0742391  0.07877209
 0.07959709 0.07520719 0.07706539 0.07718736 0.07952461 0.07414094
 0.07509957]",0.9998148118420331,0.9998000000000002,0.9259035438299179,0.07951781153678894,0.07880189269781113,0.0767504945397377,0.0742390975356102,0.07877209037542343,0.07959708571434021,0.0752071887254715,0.07706539332866669,0.07718735933303833,0.07952461391687393,0.07414094358682632,0.07509957253932953,0.0740964487195015
1,2014-01-07,"[0.07411503 0.07898783 0.07930269 0.07688659 0.07443511 0.07831482
 0.07844794 0.07610344 0.07815108 0.07777902 0.07895425 0.07361243
 0.07490977]",1.0134439001287232,1.0145485973392483,0.006830321287166461,0.07898782938718796,0.07930269092321396,0.07688658684492111,0.07443510740995407,0.07831481844186783,0.07844793796539307,0.07610344141721725,0.07815108448266983,0.07777901738882065,0.07895424962043762,0.07361242920160294,0.0749097689986229,0.07411503046751022
2,2014-01-08,"[0.07410024 0.07898795 0.07927129 0.07687544 0.07446259 0.07826854
 0.07845626 0.07609675 0.0781164  0.07779725 0.07894228 0.07366171
 0.07496325]",1.0164812423329572,1.0178648564863098,0.007781120064400972,0.07898794859647751,0.07927129417657852,0.07687544077634811,0.07446258515119553,0.07826854288578033,0.07845626026391983,0.07609675079584122,0.07811640202999115,0.07779724895954132,0.07894228398799896,0.07366171479225159,0.07496324926614761,0.07410024106502533
3,2014-01-09,"[0.07409871 0.07897469 0.07926874 0.07686452 0.07445819 0.07833025
 0.07844107 0.07610924 0.07806346 0.0777865  0.0789667  0.07369037
 0.0749476 ]",1.0193204046261826,1.0207876942408105,0.011567456054132917,0.07897468656301498,0.07926873862743378,0.07686451822519302,0.07445818930864334,0.07833024859428406,0.0784410685300827,0.07610923796892166,0.07806345820426941,0.07778649777173996,0.07896669954061508,0.07369036972522736,0.07494759559631348,0.07409871369600296
4,2014-01-10,"[0.07409517 0.07897405 0.07924782 0.07684584 0.07448151 0.07825947
 0.07843854 0.07611568 0.07805979 0.07782071 0.07895105 0.07372215
 0.07498823]",1.0240019545753558,1.0257862469887615,0.008978918952180016,0.07897404581308365,0.07924781739711761,0.07684583961963654,0.07448150962591171,0.07825946807861328,0.07843854278326035,0.076115682721138,0.07805979251861572,0.07782071083784103,0.07895105332136154,0.07372214645147324,0.0749882310628891,0.07409516721963882
5,2014-01-13,"[0.07414609 0.07903448 0.07922018 0.07680265 0.07441863 0.07817065
 0.07839821 0.0761485  0.07794521 0.07786554 0.07899176 0.07380871
 0.07504934]",1.0288850625755508,1.0312600056634376,0.010240883311421561,0.0790344849228859,0.07922018319368362,0.07680264860391617,0.07441863417625427,0.07817064970731735,0.0783982127904892,0.07614850252866745,0.07794521003961563,0.07786554098129272,0.07899175584316254,0.0738087147474289,0.07504934072494507,0.0741460919380188
6,2014-01-14,"[0.07415251 0.07906079 0.0792124  0.0767845  0.07441799 0.07807028
 0.07836397 0.07617474 0.07790925 0.07791121 0.07896668 0.07387765
 0.07509802]",1.0312712099460803,1.0338082411472267,0.014383951480523146,0.07906079292297363,0.07921240478754044,0.07678449898958206,0.07441799342632294,0.07807028293609619,0.07836396992206573,0.07617474347352982,0.07790924608707428,0.07791120558977127,0.07896667718887329,0.07387765496969223,0.07509802281856537,0.07415251433849335
7,2014-01-15,"[0.07417848 0.0790506  0.07917611 0.0767362  0.0744287  0.07795183
 0.07834557 0.07619655 0.07786098 0.07798618 0.07897374 0.0739528
 0.07516227]",1.0362795476041908,1.0392670171973644,0.0069220496828554055,0.07905060052871704,0.07917611300945282,0.0767361968755722,0.07442869991064072,0.0779518261551857,0.07834557443857193,0.07619655132293701,0.07786098122596741,0.07798618078231812,0.07897374033927917,0.0739528015255928,0.07516226917505264,0.07417847961187363
8,2014-01-16,"[0.07415388 0.07903174 0.07915355 0.07672118 0.07446    0.0779675
 0.07836075 0.07619423 0.0778603  0.07797889 0.07896268 0.07397428
 0.07518099]",1.0440194271876135,1.0470732822526179,0.015673722490429004,0.07903173565864563,0.07915355265140533,0.0767211765050888,0.0744599997997284,0.07796750217676163,0.07836075127124786,0.07619423419237137,0.07786029577255249,0.07797889411449432,0.07896268367767334,0.07397428154945374,0.07518098503351212,0.07415387779474258
9,2014-01-17,"[0.07420835 0.07904286 0.07911246 0.07667321 0.07442506 0.07792494
 0.07836099 0.07620199 0.07777674 0.07799687 0.07902629 0.07402495
 0.07522528]",1.0440211253717826,1.0474326116481638,0.012320925358110569,0.07904285937547684,0.0791124552488327,0.07667320966720581,0.07442505657672882,0.077924944460392,0.07836098968982697,0.07620199024677277,0.07777673751115799,0.0779968723654747,0.07902628928422928,0.07402494549751282,0.07522527873516083,0.0742083489894867
10,2014-01-21,"[0.07424854 0.07912267 0.07909057 0.07666025 0.07437243 0.0778375
 0.07832979 0.07619862 0.07770839 0.07804918 0.07903212 0.07406899
 0.07528093]",1.046047793444848,1.0499408441357623,0.015594809893501047,0.07912266999483109,0.07909057289361954,0.07666025310754776,0.07437243312597275,0.0778375044465065,0.07832978665828705,0.07619862258434296,0.07770839333534241,0.0780491754412651,0.07903212308883667,0.07406898587942123,0.07528093457221985,0.0742485374212265
