,Date,Weights,Profit,Base Profit,BCPC,OLN,FMC,GRA,KOPN,MXIM,INTC,XLNX,BCRX,TTNP,TECH,NBIX,cash
0,2014-01-06,"[0.13534804 0.         0.18495185 0.24751111 0.         0.24048048
 0.         0.         0.         0.         0.         0.
 0.19170851]",0.9999999999913535,0.9999999999917246,0.0,0.1849518519361338,0.24751110820321032,0.0,0.2404804846779023,0.0,0.0,0.0,0.0,0.0,0.0,0.1917085149643449,0.1353480402184087
1,2014-01-07,"[0.         0.         0.20484636 0.29543289 0.         0.28005963
 0.         0.         0.         0.         0.         0.
 0.21966113]",1.011616820555023,1.0106557312647175,0.0,0.20484635788996097,0.2954328877056217,0.0,0.28005962841257065,0.0,0.0,0.0,0.0,0.0,0.0,0.21966112599184665,0.0
2,2014-01-08,"[0.         0.         0.2016645  0.29919703 0.         0.28078429
 0.         0.         0.         0.         0.         0.
 0.21835418]",1.1335993328649583,1.0507181687717397,0.0,0.2016644966280224,0.2991970281028655,0.0,0.28078429468807203,0.0,0.0,0.0,0.0,0.0,0.0,0.21835418058104009,0.0
3,2014-01-09,"[0.         0.         0.20116401 0.30031789 0.         0.28086905
 0.         0.         0.         0.         0.         0.
 0.21764905]",1.1615996859770261,1.0614429980125677,0.0,0.20116401242798604,0.3003178855672128,0.0,0.28086905498628983,0.0,0.0,0.0,0.0,0.0,0.0,0.2176490470185112,0.0
4,2014-01-10,"[0.         0.         0.20111717 0.30060571 0.         0.28088247
 0.         0.         0.         0.         0.         0.
 0.21739465]",1.167722294185165,1.071639097097531,0.0,0.20111717472302568,0.3006057060067815,0.0,0.2808824736662194,0.0,0.0,0.0,0.0,0.0,0.0,0.21739464560397356,0.0
5,2014-01-13,"[0.         0.         0.20118031 0.30057037 0.         0.28093761
 0.         0.         0.         0.         0.         0.
 0.21731172]",1.166264512832587,1.0736301266741282,0.0,0.20118030556423536,0.3005703691737676,0.0,0.280937609977374,0.0,0.0,0.0,0.0,0.0,0.0,0.2173117152846229,0.0
6,2014-01-14,"[0.         0.         0.20121147 0.30055408 0.         0.280897
 0.         0.         0.         0.         0.         0.
 0.21733745]",1.1725863701728898,1.0819501149872892,0.0,0.2012114667455133,0.3005540834262369,0.0,0.28089700292371483,0.0,0.0,0.0,0.0,0.0,0.0,0.217337446904535,0.0
7,2014-01-15,"[0.         0.         0.20116227 0.30048719 0.         0.28087667
 0.         0.         0.         0.         0.         0.
 0.21747387]",1.1660255743114107,1.080976101801338,0.0,0.20116227224232477,0.3004871909693494,0.0,0.28087667023613144,0.0,0.0,0.0,0.0,0.0,0.0,0.21747386655219433,0.0
8,2014-01-16,"[0.         0.         0.2010342  0.30061258 0.         0.28072976
 0.         0.         0.         0.         0.         0.
 0.21762345]",1.2007084268046555,1.1134862031222437,0.0,0.20103420294714866,0.30061258150005393,0.0,0.28072976236116026,0.0,0.0,0.0,0.0,0.0,0.0,0.21762345319163726,0.0
9,2014-01-17,"[0.         0.         0.20084454 0.30100688 0.         0.28048299
 0.         0.         0.         0.         0.         0.
 0.21766559]",1.2118956401825685,1.1032333833132426,0.0,0.2008445409310692,0.3010068765429885,0.0,0.2804829920830193,0.0,0.0,0.0,0.0,0.0,0.0,0.21766559044292308,0.0
