,Date,Weights,Profit,Base Profit,MRCY,IIN,HUBB,AVX,PFIN,LECO,CVR,SPXC,ITT,IEX,GGG,FLS,cash
896,2017-07-27,"[0.         0.07655917 0.12079931 0.09251345 0.1215801  0.
 0.09358786 0.10099432 0.16931162 0.08655549 0.06865995 0.
 0.06943874]",1.5167393661415787,1.3626930239373969,0.07655916566424888,0.12079931208742455,0.0925134480503512,0.12158009717883601,0.0,0.09358786435847495,0.10099432319109285,0.1693116185278405,0.0865554867633257,0.06865994721817857,0.0,0.06943873696022676,0.0
897,2017-07-28,"[0.         0.07653452 0.12060153 0.09291392 0.12173356 0.
 0.0940392  0.10068825 0.16925524 0.08629795 0.06862933 0.
 0.0693065 ]",1.5022959425096911,1.364222430307097,0.07653451761333809,0.12060152629813023,0.09291392114180079,0.12173356383945101,0.0,0.09403920397641312,0.10068824885228132,0.16925523654741162,0.08629795196033145,0.06862932860005547,0.0,0.069306501170787,0.0
898,2017-07-31,"[0.         0.0765149  0.12047772 0.09314338 0.12184543 0.
 0.09430044 0.10049345 0.16922485 0.0861541  0.06861353 0.
 0.06923219]",1.482543973869251,1.353310040240839,0.07651490046379415,0.1204777228347898,0.09314337964488133,0.12184543237027741,0.0,0.09430043665805089,0.10049345356641923,0.16922485170616927,0.08615409733880687,0.06861353081569206,0.0,0.06923219460111903,0.0
899,2017-08-01,"[0.         0.07648548 0.12040328 0.09340669 0.12197437 0.
 0.09462242 0.10023234 0.1692016  0.08598656 0.0685556  0.
 0.06913165]",1.5049463748748415,1.3693003611815524,0.07648547758651225,0.1204032791032289,0.09340668793821637,0.12197437454889055,0.0,0.09462242091737257,0.1002323444389511,0.16920159749089295,0.08598656419290925,0.06855559881564322,0.0,0.06913165496738302,0.0
900,2017-08-02,"[0.         0.07648456 0.12039145 0.09344208 0.12200885 0.
 0.09469224 0.10017806 0.16918519 0.08597333 0.06853204 0.
 0.06911219]",1.4961314102348129,1.3634003932527292,0.07648455851335113,0.12039145049592308,0.0934420828206986,0.12200884724799362,0.0,0.09469224175558029,0.10017806442310402,0.16918519487324554,0.08597332512139871,0.0685320405451375,0.0,0.06911219420356746,0.0
901,2017-08-03,"[0.         0.07647878 0.1202885  0.09363034 0.12207058 0.
 0.09488566 0.10005247 0.16913286 0.08588128 0.06853218 0.
 0.06904735]",1.4891983228008971,1.3459118603719469,0.07647877995189277,0.12028849984386804,0.09363034250310213,0.12207058227710299,0.0,0.09488565604935485,0.10005246935558786,0.1691328595885903,0.08588127831100437,0.06853218177110368,0.0,0.06904735034839314,0.0
902,2017-08-04,"[0.         0.07649688 0.12042883 0.0933454  0.12197868 0.
 0.09460347 0.10024911 0.16919635 0.08601473 0.06853145 0.
 0.0691551 ]",1.5054343165174726,1.364424914029338,0.0764968806051406,0.12042882655174031,0.09334540164740335,0.12197868205856463,0.0,0.09460347228281855,0.10024911035454503,0.16919635038897712,0.08601473404015966,0.06853144540415464,0.0,0.06915509666649626,0.0
903,2017-08-07,"[0.         0.07643016 0.11998195 0.09422035 0.12223024 0.
 0.09540303 0.099679   0.1690318  0.08559476 0.06858587 0.
 0.06884282]",1.5398306506012807,1.392562861871988,0.07643015640084118,0.11998195471164756,0.0942203545504491,0.12223024105348378,0.0,0.09540303118073527,0.09967900335259006,0.1690317984535723,0.0855947636734045,0.06858587258280462,0.0,0.06884282404047158,0.0
904,2017-08-08,"[0.         0.07642551 0.1198626  0.09440808 0.12233733 0.
 0.09564791 0.09950944 0.16898206 0.08548418 0.06855788 0.
 0.06878502]",1.529665014475852,1.3924344658882444,0.07642550781044509,0.11986260125337751,0.09440807766964218,0.12233732698147877,0.0,0.09564791404282844,0.09950943549816657,0.16898206412240013,0.08548417712753953,0.06855787530268617,0.0,0.0687850201914355,0.0
905,2017-08-09,"[0.         0.07641189 0.11974457 0.09462647 0.12245212 0.
 0.0959259  0.09931379 0.16894263 0.08534572 0.06852477 0.
 0.06871214]",1.5165843515820423,1.3861792138063485,0.07641188987146669,0.11974457171290982,0.0946264701640867,0.12245212018559672,0.0,0.09592589663620182,0.09931378653206341,0.16894262867605966,0.08534572039358396,0.06852477422475213,0.0,0.06871214160327904,0.0
