,Date,Weights,Profit,Base Profit,DGX,LH,PMD,AMS,IVAC,TRT,VECO,ASYS,UIS,EBIX,STRM,JKHY,cash
0,2014-01-06,"[0.06756801 0.         0.15222887 0.13541592 0.         0.10084147
 0.10238596 0.         0.16569401 0.11551285 0.08959455 0.
 0.07075835]",0.9999999999906757,0.9999999999917246,0.0,0.15222887411726568,0.13541592150902812,0.0,0.10084146674205993,0.10238596437238102,0.0,0.16569400851826763,0.11551284990514123,0.08959455150691241,0.0,0.07075834943913337,0.06756801388981062
1,2014-01-07,"[0.         0.         0.1678704  0.14707224 0.         0.10539414
 0.10742038 0.         0.18496311 0.12281197 0.09245194 0.
 0.07201582]",1.0141569825286225,1.0112455545543308,0.0,0.16787040252819949,0.1470722359281168,0.0,0.1053941440075612,0.10742037622812958,0.0,0.18496311317724035,0.12281197147960113,0.09245194049552811,0.0,0.07201581615562326,0.0
2,2014-01-08,"[0.         0.         0.16874774 0.14703122 0.         0.1048737
 0.10680538 0.         0.18676687 0.12228663 0.09225611 0.
 0.07123236]",1.0077465722560561,1.0090418195414514,0.0,0.168747738305543,0.1470312168289138,0.0,0.1048737012699402,0.10680538232001022,0.0,0.1867668706010986,0.12228662875808348,0.09225610508218586,0.0,0.07123235683422484,0.0
3,2014-01-09,"[0.         0.         0.16897377 0.14748286 0.         0.10458858
 0.10681435 0.         0.18683314 0.12251284 0.09138108 0.
 0.07141337]",1.0317017386953813,1.0246430209907817,0.0,0.16897377430207566,0.14748286017153922,0.0,0.10458858353716832,0.10681435091438625,0.0,0.18683313726550924,0.12251284199994285,0.09138108012191071,0.0,0.07141337168746778,0.0
4,2014-01-10,"[0.         0.         0.16907408 0.14735447 0.         0.10450952
 0.10672534 0.         0.18698381 0.12252639 0.09153722 0.
 0.07128916]",1.0580778291941075,1.0366239649147762,0.0,0.1690740845041249,0.14735447390087233,0.0,0.10450951685811052,0.10672534396393021,0.0,0.18698380566506984,0.12252639373330804,0.09153721876995496,0.0,0.07128916260462907,0.0
5,2014-01-13,"[0.         0.         0.16909994 0.1475975  0.         0.10446518
 0.10679201 0.         0.18687687 0.12265132 0.09113599 0.
 0.07138118]",1.0586178249261735,1.0378217120796773,0.0,0.16909994166606204,0.1475974955198074,0.0,0.10446518435344106,0.10679201490355927,0.0,0.18687687089715715,0.12265131951632885,0.09113598895621845,0.0,0.07138118418742576,0.0
6,2014-01-14,"[0.         0.         0.16903454 0.14724023 0.         0.10456972
 0.10672989 0.         0.18703922 0.12241632 0.09178431 0.
 0.07118578]",1.048057323914822,1.0327575676322822,0.0,0.16903453644828176,0.1472402311532909,0.0,0.10456972220826358,0.10672988741806311,0.0,0.18703921819006614,0.12241631707387352,0.09178430669684662,0.0,0.0711857808113144,0.0
7,2014-01-15,"[0.         0.         0.1690064  0.14662002 0.         0.10467802
 0.10657536 0.         0.18737376 0.12211689 0.09275969 0.
 0.07086987]",1.0371716799980626,1.0316800618960367,0.0,0.16900640003360703,0.14662001535834768,0.0,0.10467801658326573,0.10657535616197433,0.0,0.18737375952085603,0.1221168875643816,0.09275969377880378,0.0,0.07086987099876373,0.0
8,2014-01-16,"[0.         0.         0.16903846 0.14668504 0.         0.1046365
 0.10658256 0.         0.18736984 0.1221858  0.09258825 0.
 0.07091355]",1.0631580688011597,1.0487481019415603,0.0,0.16903845915769264,0.14668503878759143,0.0,0.10463649685736695,0.10658256092957948,0.0,0.18736983858950537,0.1221858049878145,0.09258824631002013,0.0,0.07091355438042954,0.0
9,2014-01-17,"[0.         0.         0.16903553 0.14679378 0.         0.10462519
 0.10662142 0.         0.18731283 0.12222496 0.09244203 0.
 0.07094426]",1.0690154125231797,1.0483987569998663,0.0,0.1690355340746584,0.14679377979246144,0.0,0.10462518844113178,0.1066214230628835,0.0,0.18731283444112767,0.12222495696976116,0.09244202779991767,0.0,0.07094425541805839,0.0
10,2014-01-21,"[0.         0.         0.16901071 0.14663401 0.         0.10466883
 0.1065899  0.         0.18738862 0.12214254 0.09269794 0.
 0.07086746]",1.0725581867457106,1.0511483917031483,0.0,0.16901070695004955,0.14663401271869575,0.0,0.1046688257080581,0.1065898950569198,0.0,0.1873886176117517,0.12214254279981611,0.09269794279048296,0.0,0.07086745636422602,0.0
11,2014-01-22,"[0.         0.         0.16901882 0.14680814 0.         0.1046376
 0.1066454  0.         0.18730178 0.12223621 0.09238797 0.
 0.07096407]",1.0732787919525435,1.0517529449546914,0.0,0.1690188238352664,0.14680813781008129,0.0,0.1046376014565535,0.10664540071257643,0.0,0.18730178223339303,0.12223620702941489,0.0923879736247286,0.0,0.07096407329798583,0.0
12,2014-01-23,"[0.         0.         0.16902223 0.14663788 0.         0.10465183
 0.10659194 0.         0.18738959 0.12215331 0.09269859 0.
 0.07085462]",1.0742542852417944,1.051019876152855,0.0,0.16902223442373926,0.14663788024660826,0.0,0.1046518319135884,0.10659193695011451,0.0,0.18738959142370532,0.12215331338063273,0.09269859053449178,0.0,0.07085462112711974,0.0
13,2014-01-24,"[0.         0.         0.1690437  0.14629029 0.         0.10463708
 0.10648648 0.         0.18756191 0.12198978 0.09329669 0.
 0.07069407]",1.0902492362808909,1.0641453801328442,0.0,0.16904370183351752,0.14629028965618573,0.0,0.10463707918651417,0.1064864820594219,0.0,0.18756190889850272,0.12198978302869022,0.09329668966172791,0.0,0.07069406567543986,0.0
14,2014-01-27,"[0.         0.         0.16906133 0.14574641 0.         0.10468588
 0.10632473 0.         0.18786008 0.12174195 0.09418779 0.
 0.07039184]",1.0754006215623633,1.0521383487191258,0.0,0.16906132680485927,0.14574641120196247,0.0,0.10468587509452967,0.10632472726749154,0.0,0.18786008087035483,0.12174195339799058,0.09418778665524782,0.0,0.07039183870756383,0.0
15,2014-01-28,"[0.         0.         0.16903445 0.14506674 0.         0.10481053
 0.10615239 0.         0.18821488 0.12142499 0.09523613 0.
 0.0700599 ]",1.0501917067343318,1.0350292008646382,0.0,0.1690344474315175,0.1450667352337096,0.0,0.10481052807315264,0.1061523925215636,0.0,0.18821487990038835,0.12142498518471226,0.09523613004198869,0.0,0.07005990161296734,0.0
