,Date,Weights,Profit,Base Profit,Volume,MRCY,IIN,HUBB,AVX,VECO,ASYS,TRT,IVAC,LECO,PFIN,SPXC,CVR,cash
0,2014-01-06,"[0.08692763 0.11344315 0.         0.09689698 0.10858739 0.12550536
 0.1055093  0.         0.08927001 0.09846082 0.         0.08707459
 0.08832477]",0.9999999999908693,0.9999999999917251,0.9130723684425588,0.1134431494739811,0.0,0.09689697568450284,0.10858738926769754,0.12550536132070989,0.1055092992379952,0.0,0.08927001275374268,0.09846082453499999,0.0,0.08707458819117696,0.08832476797775259,0.08692763155744125
1,2014-01-07,"[0.         0.12600271 0.         0.10564988 0.12080701 0.14041024
 0.11609873 0.         0.09705189 0.10627861 0.         0.09280256
 0.09489836]",1.0115477653739091,1.0109238656016046,0.08692763155664761,0.1260027133635532,0.0,0.10564988436315416,0.12080700851462339,0.14041024288259568,0.1160987285049883,0.0,0.09705189445985846,0.1062786066457121,0.0,0.09280256448091533,0.09489835678459946,0.0
2,2014-01-08,"[0.         0.12625544 0.         0.10538937 0.12132645 0.14086229
 0.11676206 0.         0.09695283 0.10573799 0.         0.09207778
 0.0946358 ]",1.0069290347771547,1.008318029609596,0.012920451670761298,0.12625543528197491,0.0,0.10538936938736107,0.12132645088463466,0.14086229061640115,0.11676205783254778,0.0,0.09695282628261592,0.1057379852678156,0.0,0.09207778269469105,0.09463580175195789,0.0
3,2014-01-09,"[0.         0.12642711 0.         0.10549451 0.12118616 0.14121155
 0.11615374 0.         0.09692721 0.1057674  0.         0.0921802
 0.09465212]",1.0296490931112239,1.0218105700035114,0.006137850241265666,0.12642711407029145,0.0,0.1054945092148273,0.12118616058287926,0.14121154762039323,0.11615374141546121,0.0,0.09692721167324585,0.10576739521477067,0.0,0.09218020233652842,0.09465211787160267,0.0
4,2014-01-10,"[0.         0.12605757 0.         0.10549296 0.12060815 0.14166472
 0.11651236 0.         0.09705268 0.10578258 0.         0.09220536
 0.09462363]",1.046849236114559,1.0352227154727887,0.019339472985445083,0.1260575682833711,0.0,0.10549295570556813,0.1206081475670743,0.1416647157184155,0.11651236177911077,0.0,0.09705268212275961,0.10578257901460439,0.0,0.09220535821794335,0.09462363159115296,0.0
5,2014-01-13,"[0.         0.12612503 0.         0.10582403 0.12065192 0.14136471
 0.11724119 0.         0.09636836 0.10578056 0.         0.09232476
 0.09431943]",1.0679007393128042,1.0415307118336197,0.021716060178574314,0.12612503486707644,0.0,0.10582402595750016,0.1206519200223322,0.1413647143594517,0.1172411901053692,0.0,0.09636836370514296,0.10578055788190206,0.0,0.09232476428378569,0.09431942881743967,0.0
6,2014-01-14,"[0.         0.1261401  0.         0.1057032  0.12075474 0.14158996
 0.11699868 0.         0.09667095 0.10560908 0.         0.09209186
 0.09444144]",1.0637036194027498,1.041443548022973,0.018887042654494705,0.12614010349881352,0.0,0.10570319561942823,0.12075474373364349,0.14158995954670195,0.1169986790787143,0.0,0.09667094834975515,0.10560907740035054,0.0,0.09209185605231653,0.09444143672027626,0.0
7,2014-01-15,"[0.         0.12640745 0.         0.10574925 0.12110292 0.14144211
 0.11621142 0.         0.09676015 0.10592528 0.         0.09232006
 0.09408135]",1.0472741010896252,1.028229219349528,0.00921350011597998,0.126407450121427,0.0,0.10574925018284155,0.12110292096486856,0.14144210994279208,0.11621142245883354,0.0,0.09676015389399577,0.10592527808767317,0.0,0.0923200635618664,0.09408135078570201,0.0
8,2014-01-16,"[0.         0.12676534 0.         0.10575576 0.12132133 0.14107111
 0.11614291 0.         0.0969289  0.10603309 0.         0.09234879
 0.09363277]",1.0785767207641674,1.0554725656938913,0.019123483855071618,0.1267653424454723,0.0,0.10575575846688276,0.12132133139106681,0.14107111220685897,0.11614290533675713,0.0,0.09692889979681074,0.10603309014575076,0.0,0.0923487942987414,0.09363276591165892,0.0
9,2014-01-17,"[0.         0.12654118 0.         0.10536177 0.12078487 0.14071383
 0.1160631  0.         0.09670442 0.10589284 0.         0.09222123
 0.09571675]",1.0937106335263527,1.0633756775865568,0.026720825302733214,0.12654117726394684,0.0,0.10536176927262536,0.12078487494277648,0.1407138311478007,0.11606309921121633,0.0,0.09670441948411829,0.10589284442538739,0.0,0.09222123144752822,0.0957167528046005,0.0
10,2014-01-21,"[0.         0.12676284 0.         0.10556076 0.12111091 0.14120807
 0.11676893 0.         0.09661642 0.10573849 0.         0.09219744
 0.09403615]",1.0975130060895297,1.064593846422929,0.01308813308100788,0.12676284274104005,0.0,0.10556076035406547,0.1211109061131566,0.14120806727492355,0.11676893259762491,0.0,0.09661641669348854,0.1057384892999892,0.0,0.09219743558742348,0.09403614933828805,0.0
11,2014-01-22,"[0.         0.12664389 0.         0.10560119 0.12105058 0.14094338
 0.11669328 0.         0.09699647 0.10569227 0.         0.0920408
 0.09433814]",1.1065472893263208,1.073514272067341,0.010724660499257646,0.1266438891739333,0.0,0.10560119198374919,0.12105057507308258,0.14094337687045275,0.11669328445944763,0.0,0.09699647451405863,0.10569226998063681,0.0,0.09204079624550092,0.0943381416991383,0.0
12,2014-01-23,"[0.         0.1265771  0.         0.10556647 0.1212788  0.14128606
 0.11609884 0.         0.0972801  0.10570497 0.         0.09201506
 0.09419259]",1.1035343745587802,1.0767441341223893,0.00871243896817696,0.12657709903687195,0.0,0.10556646726906695,0.12127880301792789,0.14128606452344913,0.11609884269883188,0.0,0.09728010056608048,0.10570496596743584,0.0,0.09201506401672617,0.09419259290360985,0.0
