,Date,Weights,Profit,Base Profit,Volume,DGX,LH,AMS,PMD,INTC,XLNX,MXIM,KOPN,C,UMBF,TCF,JPM,cash
0,2014-01-06,"[0.0925354  0.10892714 0.11859949 0.         0.         0.
 0.         0.09357977 0.10072988 0.123138   0.11734757 0.10240311
 0.14273963]",0.9999999999909254,0.9999999999917251,0.9074645997432209,0.10892714244929519,0.11859948870533467,0.0,0.0,0.0,0.0,0.09357977472995983,0.10072987509732756,0.12313800206933195,0.11734757459109284,0.10240311417339212,0.14273962792748682,0.09253540025677907
1,2014-01-07,"[0.         0.12018916 0.13186022 0.         0.         0.
 0.         0.10038412 0.11008351 0.13539018 0.1305215  0.11122341
 0.16034789]",1.0150682629512466,1.0117921766079767,0.09253540025593927,0.12018916384743321,0.13186021596408778,0.0,0.0,0.0,0.0,0.1003841188985554,0.11008351354849004,0.13539017787444074,0.13052150387815523,0.11122341366199015,0.16034789232684743,0.0
2,2014-01-08,"[0.         0.11984929 0.13261346 0.         0.         0.
 0.         0.10007407 0.10952098 0.13550397 0.13056799 0.11044288
 0.16142737]",1.0088562707458277,1.0095733515592769,0.008783406529924912,0.1198492856528323,0.1326134617110074,0.0,0.0,0.0,0.0,0.10007406712169069,0.10952097531845567,0.13550396658281522,0.13056799439205335,0.11044287667608642,0.16142737254505896,0.0
3,2014-01-09,"[0.         0.11969688 0.13245448 0.         0.         0.
 0.         0.10020894 0.10885069 0.13583118 0.1308134  0.11024926
 0.16189516]",1.0117632015368554,1.0105555267998008,0.009809474324251473,0.11969687884104706,0.13245448362076553,0.0,0.0,0.0,0.0,0.10020894398913122,0.10885068926717788,0.13583118182421555,0.13081340421074722,0.11024926110702472,0.16189515713989072,0.0
4,2014-01-10,"[0.         0.12001327 0.13301313 0.         0.         0.
 0.         0.10008219 0.10891206 0.13529911 0.13100632 0.11038815
 0.16128576]",1.0128308887735715,1.0095316578115634,0.00994797732229942,0.12001327104108604,0.13301313229236858,0.0,0.0,0.0,0.0,0.10008219381545726,0.1089120574269249,0.13529911171106887,0.13100632498620932,0.11038815021384173,0.1612857585130434,0.0
5,2014-01-13,"[0.         0.11973512 0.13260016 0.         0.         0.
 0.         0.10014838 0.10912076 0.13547266 0.13117821 0.10996372
 0.16178099]",1.0114729702042853,1.0070302555713342,0.004445869202166113,0.11973512255443718,0.13260015540443643,0.0,0.0,0.0,0.0,0.10014838318709599,0.10912076234486336,0.13547265538782613,0.13117821117858697,0.10996371885366038,0.16178099108909363,0.0
6,2014-01-14,"[0.         0.12012392 0.13264409 0.         0.         0.
 0.         0.09980104 0.1091799  0.13518515 0.13154984 0.11019505
 0.16132101]",1.0073797777296882,1.0069571910058708,0.009036227521248944,0.12012391993143955,0.1326440918592857,0.0,0.0,0.0,0.0,0.09980104461096571,0.10917989738436143,0.13518514836905246,0.13154983942513446,0.11019505217328973,0.161321006246471,0.0
7,2014-01-15,"[0.         0.12014916 0.13258759 0.         0.         0.
 0.         0.10012381 0.10943218 0.13495635 0.13131332 0.11001715
 0.16142045]",1.005940771969452,1.0129324170423748,0.003680879143053388,0.12014915629961748,0.13258759319041577,0.0,0.0,0.0,0.0,0.1001238069672144,0.10943218147908826,0.13495634713758115,0.13131331931681622,0.11001714676715092,0.1614204488421158,0.0
8,2014-01-16,"[0.         0.12038825 0.13206192 0.         0.         0.
 0.         0.09968754 0.11009558 0.13496742 0.13115837 0.1107053
 0.16093561]",1.0131703671595587,1.02465320214306,0.0023910616442948604,0.12038824882824331,0.1320619228243544,0.0,0.0,0.0,0.0,0.0996875418837142,0.11009558193883182,0.1349674219173438,0.1311583653968766,0.11070530228885342,0.16093561492178252,0.0
9,2014-01-17,"[0.         0.12064773 0.13155695 0.         0.         0.
 0.         0.09947833 0.1109719  0.13509422 0.13105259 0.11104082
 0.16015746]",1.0176465841972044,1.0243190230636205,0.00715192975196145,0.12064773111264716,0.13155695012497556,0.0,0.0,0.0,0.0,0.09947832783069557,0.11097190229151753,0.13509422415162048,0.13105258983121962,0.11104081817319834,0.1601574564841256,0.0
10,2014-01-21,"[0.         0.12050233 0.13176476 0.         0.         0.
 0.         0.09952234 0.11063609 0.13467776 0.13112961 0.1106952
 0.16107192]",1.0147107215489168,1.0190623271843098,0.010707672064182659,0.12050233249181908,0.1317647556196202,0.0,0.0,0.0,0.0,0.09952233640373777,0.11063608638209708,0.1346777609887364,0.13112961357806988,0.11069519653262311,0.16107191800329654,0.0
11,2014-01-22,"[0.         0.12037838 0.13237199 0.         0.         0.
 0.         0.09996375 0.10959222 0.13476181 0.13115686 0.11040982
 0.16136517]",1.0154234987726785,1.0194965366226993,0.00829890818823039,0.12037837710616593,0.13237199395397195,0.0,0.0,0.0,0.0,0.09996374667908559,0.10959222124311237,0.1347618113391478,0.13115685951491374,0.11040982207617517,0.1613651680874273,0.0
12,2014-01-23,"[0.         0.12037889 0.132534   0.         0.         0.
 0.         0.09995118 0.10964753 0.13491099 0.13157981 0.11052462
 0.16047297]",1.0173676991155185,1.0205919223829951,0.009223114449613958,0.12037889118036776,0.13253400240569163,0.0,0.0,0.0,0.0,0.09995117639472155,0.1096475279922854,0.13491099307363047,0.13157981190227602,0.11052462290280268,0.16047297414822462,0.0
