,Date,Weights,Profit,Base Profit,Volume,LAWS,KAMN,WLFC,HDSN,XLNX,MXIM,KOPN,INTC,NBIX,BCRX,TTNP,TECH,cash
0,2014-01-06,[0.  0.  0.  0.2 0.  0.  0.2 0.  0.2 0.  0.2 0.  0.2],0.99999999999,0.99999999999,1.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
1,2014-01-07,[0.  0.  0.  0.2 0.  0.  0.2 0.  0.2 0.  0.2 0.  0.2],1.0138188087686069,1.0145396040099215,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
2,2014-01-08,[0.  0.  0.  0.2 0.  0.  0.2 0.  0.2 0.  0.2 0.  0.2],1.0171295816872654,1.0672120113068282,0.019629709192708282,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
3,2014-01-09,[0.  0.  0.  0.2 0.  0.  0.2 0.  0.2 0.  0.2 0.  0.2],1.01772964119114,1.0830935470354186,0.01001868778640696,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
4,2014-01-10,[0.  0.  0.  0.2 0.  0.  0.2 0.  0.2 0.  0.2 0.  0.2],1.0409433838605862,1.0973692968185367,0.004025259197583441,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
5,2014-01-13,[0.  0.  0.  0.2 0.  0.  0.2 0.  0.2 0.  0.2 0.  0.2],1.0435423443280851,1.1027326253771623,0.02964148920817836,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
6,2014-01-14,[0.  0.  0.  0.2 0.  0.  0.2 0.  0.2 0.  0.2 0.  0.2],1.0494816859460692,1.1144511192334008,0.01849579191228386,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
7,2014-01-15,[0.  0.  0.  0.2 0.  0.  0.2 0.  0.2 0.  0.2 0.  0.2],1.0558512306148096,1.1157995841083976,0.0039171351545862175,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
8,2014-01-16,[0.  0.  0.  0.2 0.  0.  0.2 0.  0.2 0.  0.2 0.  0.2],1.0976308931749827,1.1489443509662758,0.0156756555369795,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
9,2014-01-17,[0.  0.  0.  0.2 0.  0.  0.2 0.  0.2 0.  0.2 0.  0.2],1.0761551669343883,1.143108987256306,0.03986963632938047,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
