,Date,Weights,Profit,Base Profit,Volume,JKHY,EBIX,UIS,STRM,KAMN,HDSN,WLFC,LAWS,STKL,ANDE,UVV,PYX,cash
0,2014-01-06,"[0.06360541 0.09509749 0.08947217 0.09758527 0.07332054 0.
 0.09008148 0.08408354 0.09282992 0.09343293 0.07062329 0.06902094
 0.08084702]",0.999999999990636,0.9999999999917251,0.9363945870174304,0.09509748504410458,0.08947217272549163,0.09758527039965346,0.07332053854258667,0.0,0.09008148054522568,0.08408353729941186,0.09282991897501727,0.0934329318923878,0.07062329139246895,0.06902093684670557,0.08084702335437695,0.06360541298256954
1,2014-01-07,"[0.         0.10280167 0.09616858 0.10574025 0.07653431 0.
 0.09654971 0.08983137 0.09957875 0.10022252 0.07399181 0.07220087
 0.08638017]",1.0116921187051335,1.0096967648515078,0.06360541298197396,0.10280167308908274,0.09616857919328536,0.1057402517287781,0.07653430936426871,0.0,0.09654970839955913,0.08983136902280711,0.09957875015112085,0.10022251652485331,0.07399180647957936,0.07220087020100148,0.08638016584566383,0.0
2,2014-01-08,"[0.         0.10323704 0.09630405 0.1060089  0.07615686 0.
 0.09651937 0.08957672 0.09985055 0.09986529 0.07382553 0.07204912
 0.08660657]",1.0064967494131598,1.0039858440393337,0.010224661300239279,0.10323703858385742,0.0963040504778372,0.10600890336076486,0.07615685831886171,0.0,0.09651937426862793,0.0895767203800136,0.09985054697402329,0.09986528500875456,0.07382553033747365,0.07204911908906587,0.0866065732007199,0.0
3,2014-01-09,"[0.         0.10306767 0.09620992 0.10622568 0.07627273 0.
 0.0967102  0.08975106 0.09997577 0.10007526 0.07376101 0.07194296
 0.08600774]",1.011307582495336,1.007492423399084,0.013089683061440965,0.1030676663953908,0.09620992347356802,0.10622568297697174,0.07627273074979755,0.0,0.09671019591150345,0.08975105794826078,0.09997576719676154,0.10007526175748908,0.07376101008625552,0.071942958554116,0.08600774494988556,0.0
4,2014-01-10,"[0.         0.10281868 0.09641674 0.10616821 0.07607717 0.
 0.09652222 0.09013316 0.09944785 0.10068735 0.073749   0.07181685
 0.08616277]",1.021193854816131,1.0142194399815685,0.011028581384184458,0.10281867736705211,0.0964167423939488,0.10616821035825973,0.07607717360691572,0.0,0.09652221600264703,0.0901331566380613,0.09944785382190775,0.1006873530652261,0.0737489955314068,0.07181685435485416,0.08616276685972056,0.0
5,2014-01-13,"[0.         0.10324392 0.09637212 0.10615948 0.07581497 0.
 0.09649063 0.08999418 0.09954782 0.10049058 0.07370428 0.07186045
 0.08632157]",1.0224534879024056,1.0158368537378952,0.012368795795831417,0.103243918033025,0.09637212479072768,0.10615948489069121,0.07581496954824053,0.0,0.09649063473904894,0.08999418340719158,0.09954781628997832,0.10049058010332723,0.07370427557195494,0.07186044710359456,0.08632156552221994,0.0
6,2014-01-14,"[0.         0.1032572  0.09610724 0.10613435 0.07563028 0.
 0.09622621 0.09008443 0.09994302 0.10018751 0.07384961 0.07180649
 0.08677364]",1.0078177463417135,1.0045636502324933,0.0177149703136823,0.10325720201733324,0.0961072446336269,0.10613435313505969,0.07563028267610977,0.0,0.09622621308433006,0.09008442646871423,0.0999430205576046,0.10018750967579776,0.07384961458445342,0.07180649256631283,0.08677364060065743,0.0
7,2014-01-15,"[0.         0.10359953 0.09651656 0.10606592 0.07536838 0.
 0.09625926 0.09021253 0.09980245 0.09966056 0.07377215 0.07199607
 0.08674659]",0.9989339385535023,0.9999102300532081,0.014573975726095909,0.10359953477680674,0.09651655596998097,0.10606592477049974,0.07536837777044467,0.0,0.096259258819893,0.09021252674399025,0.09980245118384125,0.09966055904236283,0.07377214995100094,0.07199607074496625,0.08674659022621344,0.0
8,2014-01-16,"[0.         0.10354536 0.09676209 0.10629351 0.0756016  0.
 0.0960597  0.08989119 0.09985331 0.09928428 0.0738103  0.07203958
 0.08685908]",1.0063854520106097,1.0041852521488261,0.011875788052199753,0.10354536246425407,0.09676208665919615,0.10629351116891976,0.07560160121317491,0.0,0.09605970149143368,0.08989118548132241,0.09985331049321874,0.09928427703539075,0.07381029662034184,0.07203958289353998,0.08685908447920761,0.0
9,2014-01-17,"[0.         0.10382091 0.09714265 0.10691288 0.07518376 0.
 0.09653494 0.08985284 0.0990648  0.09892441 0.07387685 0.07202045
 0.08666552]",1.0151567132533872,1.0113242953589627,0.018475630297856677,0.10382090583080499,0.09714265255060305,0.10691287578685972,0.07518375994301632,0.0,0.09653494195840776,0.08985284225198019,0.09906479540417575,0.09892440674619683,0.07387684732903492,0.07202044779396373,0.08666552440495663,0.0
10,2014-01-21,"[0.         0.10385308 0.09669038 0.10648653 0.07517578 0.
 0.09588202 0.08960587 0.1003233  0.09902551 0.07389642 0.07214621
 0.0869149 ]",1.0173784283750924,1.0139399736222638,0.018644672057432633,0.10385308422118944,0.09669038087917611,0.10648652515876308,0.07517578329719121,0.0,0.09588201771301434,0.08960586647251689,0.10032330077882667,0.0990255135577411,0.07389642261455001,0.07214620929878529,0.08691489600824572,0.0
11,2014-01-22,"[0.         0.1039344  0.09714978 0.10648699 0.0752116  0.
 0.09575785 0.08970375 0.09979512 0.09887069 0.07401726 0.07207687
 0.08699569]",1.0218789982251946,1.0177453515206172,0.010429711272436517,0.10393439782654823,0.0971497787031632,0.10648698586245703,0.07521159905103882,0.0,0.09575785208628874,0.08970375197890444,0.09979512248912296,0.09887068744301823,0.07401726464318309,0.07207686958381569,0.08699569033245948,0.0
