,Date,Weights,Profit,Base Profit,Volume,TECH,TTNP,BCRX,NBIX,PMD,DGX,AMS,LH,BCPC,GRA,OLN,FMC,cash
0,2014-01-06,"[0.07318044 0.07569389 0.07519545 0.07854727 0.07616749 0.07305951
 0.07586722 0.0807692  0.07632281 0.08129253 0.076564   0.07863528
 0.07870492]",0.9998146435366171,0.9998000000000002,0.9268195629119873,0.07569389045238495,0.07519545406103134,0.07854726910591125,0.07616749405860901,0.07305950671434402,0.07586722075939178,0.08076919615268707,0.07632280886173248,0.0812925323843956,0.0765639990568161,0.07863527536392212,0.07870491594076157,0.07318044453859329
1,2014-01-07,"[0.07249567 0.07550945 0.07620022 0.07915895 0.07608581 0.07388496
 0.07576771 0.0806155  0.07708713 0.08095471 0.07690138 0.07746929
 0.0778692 ]",1.0149741380057313,1.0159731010911943,0.006401267286519449,0.0755094513297081,0.0762002170085907,0.0791589543223381,0.07608581334352493,0.07388495653867722,0.07576771080493927,0.08061549812555313,0.07708713412284851,0.08095470815896988,0.076901376247406,0.07746928930282593,0.07786919921636581,0.07249566912651062
2,2014-01-08,"[0.07258042 0.07548119 0.07618197 0.07908529 0.07606203 0.07386483
 0.0757351  0.08057966 0.07711153 0.08100687 0.07685225 0.07752432
 0.0779345 ]",1.0644596888645732,1.069936146939091,0.011202965466614175,0.07548119127750397,0.07618197053670883,0.07908529043197632,0.07606203109025955,0.07386483252048492,0.07573509961366653,0.08057966083288193,0.07711152732372284,0.08100686967372894,0.07685224711894989,0.07752431929111481,0.07793450355529785,0.07258041948080063
3,2014-01-09,"[0.07250274 0.07519282 0.07617057 0.07868092 0.07620025 0.07399747
 0.0757411  0.08061436 0.07738718 0.08053238 0.07733237 0.07774577
 0.07790204]",1.0734938943632986,1.086887711649823,0.08366021321301613,0.07519281655550003,0.07617057114839554,0.07868091762065887,0.07620025426149368,0.07399746775627136,0.07574109733104706,0.0806143581867218,0.07738718390464783,0.08053237944841385,0.07733236998319626,0.07774576544761658,0.07790204137563705,0.0725027397274971
4,2014-01-10,"[0.07248889 0.07518039 0.07609919 0.07877494 0.07626408 0.07371936
 0.07578086 0.08060049 0.07734125 0.0806362  0.07736131 0.0778094
 0.07794367]",1.081435901958508,1.095457546475157,0.026658203253810693,0.07518038898706436,0.07609918713569641,0.07877493649721146,0.07626407593488693,0.07371935993432999,0.07578086107969284,0.08060049265623093,0.07734125107526779,0.08063619583845139,0.07736130803823471,0.0778094008564949,0.07794366776943207,0.07248888909816742
5,2014-01-13,"[0.07248796 0.07516468 0.07604094 0.07877105 0.07632373 0.07361866
 0.07579021 0.08061193 0.0773406  0.08062332 0.07739095 0.07786702
 0.07796894]",1.0851593104198078,1.1011118495105976,0.016357018961619844,0.07516468316316605,0.07604093849658966,0.07877105474472046,0.0763237327337265,0.07361865788698196,0.07579021155834198,0.0806119292974472,0.07734059542417526,0.0806233212351799,0.07739094644784927,0.07786702364683151,0.07796894013881683,0.0724879577755928
6,2014-01-14,"[0.07249226 0.07512407 0.07604705 0.0787258  0.07629924 0.07360538
 0.07576443 0.08056469 0.07736113 0.08071108 0.07742478 0.07789982
 0.07798028]",1.0947030319004796,1.1136363401874048,0.011529614956608328,0.07512407004833221,0.07604704797267914,0.07872579991817474,0.07629923522472382,0.07360538095235825,0.07576443254947662,0.08056469261646271,0.07736112922430038,0.08071108162403107,0.0774247795343399,0.07789982110261917,0.07798027992248535,0.07249226421117783
7,2014-01-15,"[0.07255133 0.07514562 0.07599823 0.07871071 0.07629742 0.07359916
 0.07574724 0.08056735 0.07735651 0.08070721 0.0774119  0.07791721
 0.07799013]",1.0990402387475857,1.11748586619898,0.01623793348699111,0.07514562457799911,0.0759982317686081,0.07871070504188538,0.07629741728305817,0.07359915971755981,0.07574724406003952,0.08056734502315521,0.07735650986433029,0.08070720732212067,0.07741190493106842,0.07791721075773239,0.07799012959003448,0.07255133241415024
8,2014-01-16,"[0.07239856 0.07509761 0.07598142 0.07883997 0.07634798 0.07346933
 0.07583607 0.0805295  0.07734934 0.0806919  0.07751486 0.07799035
 0.07795312]",1.1292227510860027,1.153389197619828,0.01908076991300579,0.07509760558605194,0.07598141580820084,0.078839972615242,0.07634798437356949,0.07346932590007782,0.07583606988191605,0.08052949607372284,0.07734934240579605,0.08069189637899399,0.07751485705375671,0.0779903456568718,0.07795311510562897,0.07239855825901031
9,2014-01-17,"[0.07247942 0.07511408 0.07604617 0.07871937 0.07630575 0.07362261
 0.07575744 0.0805404  0.07736451 0.08073515 0.07742232 0.07791491
 0.07797787]",1.1136796432745923,1.133623212938832,0.019424281497601257,0.07511407881975174,0.0760461688041687,0.0787193700671196,0.07630574703216553,0.07362260669469833,0.07575744390487671,0.08054039627313614,0.07736451178789139,0.08073515444993973,0.07742232084274292,0.07791490852832794,0.07797787338495255,0.07247941941022873
10,2014-01-21,"[0.0725247  0.07508611 0.07607338 0.07863329 0.07627373 0.07366228
 0.07570001 0.08055041 0.07738001 0.08077915 0.07745194 0.07788228
 0.07800269]",1.1173435306546338,1.1387435922901914,0.01935006920783691,0.07508610934019089,0.07607337832450867,0.07863328605890274,0.07627373188734055,0.07366228103637695,0.07570000737905502,0.0805504098534584,0.07738000899553299,0.08077915012836456,0.07745193690061569,0.07788228243589401,0.0780026912689209,0.07252469658851624
