,Date,Weights,Profit,Base Profit,Volume,CTO,TRC,CIGI,FRPH,FFG,CIA,GL,AAME,PFE,BMY,JNJ,ABT,cash
0,2014-01-06,"[0.         0.         0.07874751 0.0843821  0.07803676 0.09445919
 0.10734349 0.09804365 0.11299349 0.08523481 0.08325358 0.09410136
 0.08340408]",0.9998000223428011,0.9998000000000002,1.0000000223517418,0.0,0.07874751091003418,0.08438210189342499,0.07803675532341003,0.09445919096469879,0.10734349489212036,0.09804365038871765,0.11299349367618561,0.08523480594158173,0.08325357735157013,0.09410136193037033,0.08340407907962799,0.0
1,2014-01-07,"[0.         0.         0.0787988  0.08430138 0.07810733 0.09459814
 0.10758758 0.09802106 0.11292206 0.08520868 0.08319733 0.09393542
 0.08332222]",1.0072329261634434,1.0075601381862758,0.0010096210786671718,0.0,0.0787988007068634,0.08430138230323792,0.0781073346734047,0.09459814429283142,0.10758758336305618,0.09802106022834778,0.1129220575094223,0.08520868420600891,0.08319732546806335,0.09393542259931564,0.08332221955060959,0.0
2,2014-01-08,"[0.         0.         0.07883663 0.08430921 0.07814073 0.0945543
 0.10760959 0.09804367 0.11292034 0.08516315 0.08318391 0.09389627
 0.08334216]",0.9995722704732507,1.000086746474202,0.009606533986658432,0.0,0.07883662730455399,0.08430920541286469,0.0781407281756401,0.09455429762601852,0.1076095923781395,0.09804367274045944,0.11292034387588501,0.08516315370798111,0.08318391442298889,0.09389626979827881,0.08334216475486755,0.0
3,2014-01-09,"[0.         0.         0.07886045 0.08430593 0.07813504 0.09456701
 0.107758   0.09810153 0.11281168 0.08512193 0.08318058 0.09378672
 0.08337113]",0.9993838509284217,1.0006962857997321,0.008041279152646193,0.0,0.07886044681072235,0.08430592715740204,0.07813503593206406,0.09456700831651688,0.10775800049304962,0.09810152649879456,0.11281168460845947,0.08512192964553833,0.08318058401346207,0.09378671646118164,0.0833711251616478,0.0
4,2014-01-10,"[0.         0.         0.07889454 0.08428475 0.07817466 0.09454104
 0.10774213 0.09808894 0.11283996 0.08510393 0.08315953 0.09379967
 0.08337085]",1.0031829774369252,1.0043538194983177,0.011100923507655859,0.0,0.07889454066753387,0.08428474515676498,0.0781746581196785,0.094541035592556,0.10774213075637817,0.09808893501758575,0.1128399595618248,0.08510392904281616,0.08315952867269516,0.09379967302083969,0.08337084949016571,0.0
5,2014-01-13,"[0.         0.         0.07892064 0.08426475 0.07818937 0.09454216
 0.1078088  0.09810961 0.11280457 0.08508267 0.08314383 0.09375857
 0.08337502]",1.0030647107569408,1.0041867040275005,0.009657189890457024,0.0,0.0789206400513649,0.08426474779844284,0.07818936556577682,0.09454216063022614,0.10780879855155945,0.09810961037874222,0.11280456930398941,0.08508267253637314,0.08314383029937744,0.09375856816768646,0.08337502181529999,0.0
6,2014-01-14,"[0.         0.         0.07892527 0.08426333 0.07820028 0.09454649
 0.1078157  0.09811567 0.11280381 0.08507021 0.08314234 0.09374014
 0.08337675]",0.9939726685925709,0.995249282407785,0.010071480415584791,0.0,0.07892527431249619,0.08426333218812943,0.07820028066635132,0.09454648941755295,0.1078156977891922,0.09811566770076752,0.11280380934476852,0.08507020771503448,0.08314234018325806,0.09374013543128967,0.08337675034999847,0.0
7,2014-01-15,"[0.         0.         0.07896315 0.08425069 0.0782365  0.09450855
 0.10773802 0.09808807 0.11288524 0.08505439 0.08312186 0.09378719
 0.0833663 ]",0.9874908987606761,0.9884199338788408,0.007981014509691518,0.0,0.07896315306425095,0.08425068855285645,0.07823649793863297,0.09450855106115341,0.10773801803588867,0.09808807075023651,0.1128852441906929,0.08505439013242722,0.08312185853719711,0.09378718584775925,0.08336630463600159,0.0
8,2014-01-16,"[0.         0.         0.0789556  0.08424307 0.07824884 0.09451098
 0.10777049 0.09810133 0.11285622 0.08504756 0.08312652 0.09375972
 0.08337969]",0.9928713813262662,0.9933721367177613,0.010520933497217015,0.0,0.07895559817552567,0.08424306660890579,0.07824884355068207,0.09451097995042801,0.10777048766613007,0.09810132533311844,0.11285622417926788,0.08504755795001984,0.08312652260065079,0.09375971555709839,0.08337969332933426,0.0
9,2014-01-17,"[0.         0.         0.07894485 0.08426488 0.07822488 0.09449582
 0.10782636 0.09814015 0.11280168 0.08504111 0.08314186 0.09371647
 0.08340195]",0.9950141051858352,0.9977698629775195,0.008532774783333733,0.0,0.0789448469877243,0.08426488190889359,0.07822487503290176,0.09449581801891327,0.1078263595700264,0.09814015030860901,0.1128016784787178,0.0850411057472229,0.08314186334609985,0.09371647238731384,0.08340194821357727,0.0
10,2014-01-21,"[0.         0.         0.07898647 0.08423536 0.07828058 0.09445875
 0.10781533 0.09815022 0.11282717 0.08500002 0.08311793 0.09371253
 0.08341566]",0.991449875150292,0.9954714407711177,0.013905182608025535,0.0,0.07898647338151932,0.08423536270856857,0.07828058302402496,0.09445875138044357,0.10781532526016235,0.09815022349357605,0.11282716691493988,0.08500001579523087,0.08311793208122253,0.09371253103017807,0.08341566473245621,0.0
11,2014-01-22,"[0.         0.         0.07899785 0.08423305 0.07828454 0.09445336
 0.10782653 0.09815211 0.11282644 0.08499259 0.08311379 0.093704
 0.08341578]",0.9935594423434884,0.9953463217521125,0.018424498055015486,0.0,0.07899785041809082,0.08423305302858353,0.07828453928232193,0.0944533571600914,0.10782653093338013,0.09815210849046707,0.11282643675804138,0.08499258756637573,0.08311378955841064,0.09370400011539459,0.08341577649116516,0.0
