,Date,Weights,Profit,Base Profit,Volume,PFE,BMY,JNJ,ABT,MCD,JACK,PZZA,EAT,TCF,UMBF,C,JPM,cash
0,2014-01-06,"[0.    0.125 0.125 0.    0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.125]",0.99999999999,0.99999999999,1.0,0.125,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.125,0.0
1,2014-01-07,"[0.    0.125 0.125 0.    0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.125]",1.0109216579681737,1.0096236066634947,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.125,0.0
2,2014-01-08,"[0.    0.125 0.125 0.    0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.125]",1.009568168279234,1.0067591736122723,0.007565713883265789,0.125,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.125,0.0
3,2014-01-09,"[0.    0.125 0.125 0.    0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.125]",1.0070069028955655,1.0063602371903637,0.007478003091626576,0.125,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.125,0.0
4,2014-01-10,"[0.    0.125 0.125 0.    0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.125]",1.0165118894316933,1.0136649997066771,0.005473490631494992,0.125,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.125,0.0
5,2014-01-13,"[0.    0.125 0.125 0.    0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.125]",1.020607811825889,1.016094371915334,0.005439529239858687,0.125,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.125,0.0
6,2014-01-14,"[0.    0.125 0.125 0.    0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.125]",1.0155979431792763,1.012348197760892,0.009581727331240547,0.125,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.125,0.0
7,2014-01-15,"[0.    0.125 0.125 0.    0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.125]",1.0152756433077605,1.0114175212642906,0.006711541168299423,0.125,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.125,0.0
8,2014-01-16,"[0.    0.125 0.125 0.    0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.125]",1.0245037131437718,1.0209204556611544,0.006563616329721924,0.125,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.125,0.0
9,2014-01-17,"[0.    0.125 0.125 0.    0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.125]",1.021909953370407,1.0209999367079248,0.007816518024800656,0.125,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.125,0.0
10,2014-01-21,"[0.    0.125 0.125 0.    0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.125]",1.023570332276044,1.0217281954806352,0.01043745597851976,0.125,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.125,0.0
11,2014-01-22,"[0.    0.125 0.125 0.    0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.125]",1.0201310650778106,1.0219639918214776,0.007368165727213928,0.125,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.125,0.0
