,Date,Weights,Profit,Base Profit,Volume,SUP,MOD,STRT,DORM,EAT,MCD,PZZA,JACK,MXIM,KOPN,XLNX,INTC,cash
0,2014-01-06,"[0.15027036 0.14730383 0.1444801  0.15222    0.10362415 0.
 0.         0.         0.0920885  0.         0.09183169 0.11818136
 0.        ]",0.9957513296436217,0.9950000000000002,0.8497296199202538,0.14730383455753326,0.14448009431362152,0.1522199958562851,0.10362415015697479,0.0,0.0,0.0,0.0920884981751442,0.0,0.09183169156312943,0.11818135529756546,0.0,0.15027035772800446
1,2014-01-07,"[0.15104468 0.14733855 0.14501631 0.15214056 0.10258598 0.
 0.         0.         0.09134349 0.         0.09251087 0.11801959
 0.        ]",0.9972831427726832,0.9974042472833589,0.0032605899335195775,0.14733855426311493,0.14501631259918213,0.1521405577659607,0.10258597880601883,0.0,0.0,0.0,0.09134349226951599,0.0,0.09251087158918381,0.11801958829164505,0.0,0.15104468166828156
2,2014-01-08,"[0.15111254 0.14748043 0.14481507 0.15209599 0.10266802 0.
 0.         0.         0.09139147 0.         0.0924916  0.11794484
 0.        ]",0.9860185907189024,0.9865863649842403,0.009490155619956192,0.14748042821884155,0.14481507241725922,0.1520959883928299,0.10266802459955215,0.0,0.0,0.0,0.09139146655797958,0.0,0.09249159693717957,0.11794483661651611,0.0,0.15111254155635834
3,2014-01-09,"[0.15118699 0.1473689  0.14474942 0.15215395 0.10258341 0.
 0.         0.         0.09131812 0.         0.09261017 0.11802904
 0.        ]",0.9883730920717153,0.987251631045058,0.00899827599615427,0.1473688930273056,0.14474941790103912,0.15215395390987396,0.10258340835571289,0.0,0.0,0.0,0.09131811559200287,0.0,0.09261017292737961,0.11802903562784195,0.0,0.1511869877576828
4,2014-01-10,"[0.15105823 0.14748783 0.14485638 0.15205112 0.10253354 0.
 0.         0.         0.09125628 0.         0.09273266 0.11802393
 0.        ]",0.9895039383012906,0.9893453393025382,0.006458547729437306,0.1474878340959549,0.14485637843608856,0.15205112099647522,0.10253354161977768,0.0,0.0,0.0,0.0912562757730484,0.0,0.09273266047239304,0.11802393198013306,0.0,0.15105822682380676
5,2014-01-13,"[0.15094028 0.14734194 0.14459811 0.15207793 0.10268666 0.
 0.         0.         0.09145413 0.         0.09263342 0.11826754
 0.        ]",0.9823404093315979,0.9820621680102523,0.004778456173205926,0.14734193682670593,0.1445981115102768,0.15207792818546295,0.10268665850162506,0.0,0.0,0.0,0.09145413339138031,0.0,0.09263341873884201,0.11826753616333008,0.0,0.15094028413295746
6,2014-01-14,"[0.15083903 0.14710811 0.14452681 0.15215999 0.10278142 0.
 0.         0.         0.09159016 0.         0.09246325 0.11853126
 0.        ]",0.9821346020539908,0.9817465046805889,0.00533622372145341,0.14710810780525208,0.14452680945396423,0.15215998888015747,0.10278142243623734,0.0,0.0,0.0,0.09159015864133835,0.0,0.09246324747800827,0.11853126436471939,0.0,0.15083903074264526
7,2014-01-15,"[0.1508574  0.14712678 0.14440286 0.15218252 0.10283055 0.
 0.         0.         0.09165037 0.         0.0924812  0.11846832
 0.        ]",0.9823165992140145,0.9824957790432414,0.008258182418292447,0.14712677896022797,0.1444028615951538,0.15218251943588257,0.10283055156469345,0.0,0.0,0.0,0.09165037423372269,0.0,0.09248119592666626,0.11846832185983658,0.0,0.15085740387439728
8,2014-01-16,"[0.15083522 0.14719474 0.14459828 0.15221813 0.10287535 0.
 0.         0.         0.09173213 0.         0.09245359 0.11809258
 0.        ]",0.9881547404020399,0.9957384170127329,0.008767528777959806,0.1471947431564331,0.14459827542304993,0.15221813321113586,0.10287535190582275,0.0,0.0,0.0,0.09173212945461273,0.0,0.09245359152555466,0.11809258162975311,0.0,0.15083521604537964
9,2014-01-17,"[0.15100135 0.14712222 0.14465195 0.15219547 0.10283072 0.
 0.         0.         0.09176611 0.         0.09236604 0.11806614
 0.        ]",0.9914922107373354,0.9988835748953401,0.014913864331019617,0.14712221920490265,0.14465194940567017,0.15219546854496002,0.10283072292804718,0.0,0.0,0.0,0.0917661115527153,0.0,0.0923660397529602,0.11806613951921463,0.0,0.15100134909152985
10,2014-01-21,"[0.1509401  0.14708456 0.14452918 0.15231343 0.10289928 0.
 0.         0.         0.09182454 0.         0.09240153 0.11800732
 0.        ]",0.9875809040617355,0.9926749363480033,0.010875212928397939,0.1470845639705658,0.14452917873859406,0.15231342613697052,0.10289928317070007,0.0,0.0,0.0,0.09182453900575638,0.0,0.09240153431892395,0.11800732463598251,0.0,0.15094010531902313
11,2014-01-22,"[0.15081416 0.14695928 0.14430383 0.15240307 0.1030686  0.
 0.         0.         0.09202767 0.         0.09225564 0.11816774
 0.        ]",0.984289699529611,0.9925596546394041,0.007583139062999951,0.14695927500724792,0.1443038284778595,0.1524030715227127,0.10306859761476517,0.0,0.0,0.0,0.09202767163515091,0.0,0.09225564450025558,0.11816773563623428,0.0,0.15081416070461273
12,2014-01-23,"[0.15070306 0.14702599 0.14439125 0.15235911 0.10312737 0.
 0.         0.         0.0920973  0.         0.09221909 0.11807682
 0.        ]",0.9858627294159847,0.9996018105895156,0.01247059325029019,0.14702598750591278,0.1443912535905838,0.15235911309719086,0.1031273677945137,0.0,0.0,0.0,0.09209730476140976,0.0,0.09221909195184708,0.11807681620121002,0.0,0.1507030576467514
