,Date,Weights,Profit,Base Profit,Volume,SCON,VSAT,MSI,BKTI,PYX,STKL,ANDE,UVV,CIGI,FRPH,CTO,TRC,cash
0,2014-01-06,[0.1 0.1 0.  0.1 0.1 0.1 0.1 0.1 0.  0.1 0.1 0.  0.1],0.9999999999909999,0.99999999999,0.8999999999999999,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1
1,2014-01-07,[0.1 0.1 0.  0.1 0.1 0.1 0.1 0.1 0.  0.1 0.1 0.  0.1],1.0119118386542065,1.0122177600825712,1.2490009026920598e-16,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1
2,2014-01-08,[0.1 0.1 0.  0.1 0.1 0.1 0.1 0.1 0.  0.1 0.1 0.  0.1],1.0281131137991806,1.024279534479728,0.01075085166514115,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1
3,2014-01-09,[0.1 0.1 0.  0.1 0.1 0.1 0.1 0.1 0.  0.1 0.1 0.  0.1],1.0155057216552499,1.0171960870838617,0.05720354356059359,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1
4,2014-01-10,[0.1 0.1 0.  0.1 0.1 0.1 0.1 0.1 0.  0.1 0.1 0.  0.1],1.0280955397361804,1.0281928022898954,0.02901619380969834,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1
5,2014-01-13,[0.1 0.1 0.  0.1 0.1 0.1 0.1 0.1 0.  0.1 0.1 0.  0.1],1.0186636711808785,1.0160959116021835,0.026302029155551375,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1
6,2014-01-14,[0.1 0.1 0.  0.1 0.1 0.1 0.1 0.1 0.  0.1 0.1 0.  0.1],1.0036442600953561,1.0033754206155987,0.018240257686817148,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1
7,2014-01-15,[0.1 0.1 0.  0.1 0.1 0.1 0.1 0.1 0.  0.1 0.1 0.  0.1],0.9957106583984039,0.9945963384865393,0.007297821524369594,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1
8,2014-01-16,[0.1 0.1 0.  0.1 0.1 0.1 0.1 0.1 0.  0.1 0.1 0.  0.1],0.999744615893087,0.9988972326907691,0.018545639604312047,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1
9,2014-01-17,[0.1 0.1 0.  0.1 0.1 0.1 0.1 0.1 0.  0.1 0.1 0.  0.1],1.0204003042541767,1.0203425417390835,0.012719244651778948,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1
