,Date,Weights,Profit,Base Profit,EAT,PZZA,JACK,MCD,ASYS,TRT,VECO,IVAC,BCPC,FMC,OLN,GRA,cash
0,2014-01-06,"[0.11325817 0.         0.11808427 0.         0.         0.
 0.         0.         0.21499302 0.2885112  0.11328809 0.15186526
 0.        ]",0.9999999999911325,0.9999999999917246,0.0,0.11808426725913967,0.0,0.0,0.0,0.0,0.0,0.21499301571621826,0.2885111983376517,0.1132880860317869,0.15186525815729077,0.0,0.11325817449791273
1,2014-01-07,"[0.         0.         0.12339191 0.         0.         0.
 0.         0.         0.24071402 0.35023826 0.12001558 0.16564024
 0.        ]",1.0083617076405693,1.005597805237949,0.0,0.12339190835537761,0.0,0.0,0.0,0.0,0.0,0.24071401729756234,0.35023825707127265,0.12001558175031386,0.16564023552547355,0.0,0.0
2,2014-01-08,"[0.         0.         0.11826789 0.         0.         0.
 0.         0.         0.24076552 0.36242382 0.1171204  0.16142237
 0.        ]",1.001001024724922,0.9972954034790614,0.0,0.11826788773381697,0.0,0.0,0.0,0.0,0.0,0.24076552065203466,0.3624238222324465,0.11712039949714251,0.16142236988455935,0.0,0.0
3,2014-01-09,"[0.         0.         0.11899063 0.         0.         0.
 0.         0.         0.23818708 0.36439865 0.11603347 0.16239017
 0.        ]",1.0079112982813625,1.0053553179695156,0.0,0.11899063169019285,0.0,0.0,0.0,0.0,0.0,0.23818708004821024,0.36439864611217837,0.11603346992803705,0.16239017222138158,0.0,0.0
4,2014-01-10,"[0.         0.         0.1187922  0.         0.         0.
 0.         0.         0.23784501 0.36475647 0.11706314 0.16154319
 0.        ]",1.0077009054840018,1.0201462000975439,0.0,0.1187921957521828,0.0,0.0,0.0,0.0,0.0,0.23784500845549608,0.36475646596753625,0.11706313945514071,0.1615431903696442,0.0,0.0
5,2014-01-13,"[0.         0.         0.11776112 0.         0.         0.
 0.         0.         0.23778432 0.36529626 0.11747222 0.16168608
 0.        ]",1.012779232152034,1.0237870870692656,0.0,0.11776111641164133,0.0,0.0,0.0,0.0,0.0,0.23778431907292244,0.36529625820078016,0.11747222480428145,0.16168608151037453,0.0,0.0
6,2014-01-14,"[0.         0.         0.11691188 0.         0.         0.
 0.         0.         0.23837631 0.36632701 0.11694103 0.16144377
 0.        ]",1.009408641832071,1.0217761226606612,0.0,0.11691187812453158,0.0,0.0,0.0,0.0,0.0,0.2383763125788275,0.3663270114283813,0.11694102627309519,0.1614437715951643,0.0,0.0
7,2014-01-15,"[0.         0.         0.11683357 0.         0.         0.
 0.         0.         0.23903175 0.3663873  0.11777408 0.1599733
 0.        ]",1.0118363858015558,1.0154262491932973,0.0,0.11683356743553902,0.0,0.0,0.0,0.0,0.0,0.23903174673769734,0.3663873048652727,0.11777408038356936,0.15997330057792172,0.0,0.0
8,2014-01-16,"[0.         0.         0.11762671 0.         0.         0.
 0.         0.         0.2393016  0.36607382 0.1176687  0.15932917
 0.        ]",1.0323204293788713,1.0333946783956691,0.0,0.11762671220378976,0.0,0.0,0.0,0.0,0.0,0.2393016002112923,0.366073819112066,0.11766869646504394,0.15932917200780808,0.0,0.0
9,2014-01-17,"[0.         0.         0.11863215 0.         0.         0.
 0.         0.         0.23899861 0.36606635 0.11602836 0.16027454
 0.        ]",1.0285765352028429,1.0404072837641067,0.0,0.11863215092782321,0.0,0.0,0.0,0.0,0.0,0.23899861191635952,0.36606634595906007,0.1160283558488405,0.16027453534791675,0.0,0.0
