,Date,Weights,Profit,Base Profit,AAME,FFG,CIA,GL,RES,HLX,ENSV,CLB,LAWS,HDSN,WLFC,KAMN,cash
0,2014-01-06,"[0.10696961 0.         0.10575589 0.10341379 0.11395394 0.
 0.15631072 0.2130883  0.08615199 0.         0.         0.11435576
 0.        ]",0.9999999999910697,0.9999999999917246,0.0,0.10575589299464104,0.1034137930778084,0.11395394208271131,0.0,0.15631071721194603,0.2130882989417458,0.08615199243125325,0.0,0.0,0.11435575789221292,0.0,0.10696960536768133
1,2014-01-07,"[0.         0.         0.11384386 0.1103095  0.12395415 0.
 0.17823993 0.25669731 0.0912963  0.         0.         0.12565895
 0.        ]",0.9991109742155306,1.004069825057637,0.0,0.11384386217716158,0.11030949533838323,0.12395414556562032,0.0,0.17823992984586623,0.2566973136765761,0.09129629858511745,0.0,0.0,0.12565895481127504,0.0,0.0
2,2014-01-08,"[0.         0.         0.11246261 0.1087877  0.12277558 0.
 0.17860655 0.26286459 0.08984086 0.         0.         0.1246621
 0.        ]",1.0036723857497918,1.0031748190515222,0.0,0.11246261311256672,0.10878770494256994,0.12277557683242668,0.0,0.17860655425517977,0.2628645873528834,0.08984085906340197,0.0,0.0,0.12466210444097144,0.0,0.0
3,2014-01-09,"[0.         0.         0.11226136 0.10851194 0.12257025 0.
 0.17848438 0.26426273 0.08943779 0.         0.         0.12447156
 0.        ]",0.9983433754009006,1.0015849355854538,0.0,0.11226136045497305,0.10851193622334107,0.12257025442344842,0.0,0.17848437565582095,0.2642627259836512,0.08943778781564686,0.0,0.0,0.1244715594431183,0.0,0.0
4,2014-01-10,"[0.         0.         0.11229812 0.10883839 0.1226418  0.
 0.17836421 0.26448932 0.08916297 0.         0.         0.1242052
 0.        ]",1.0212322941028689,1.008713086253063,0.0,0.11229812354536704,0.10883838862276132,0.12264180037173339,0.0,0.1783642080905715,0.26448931628680594,0.08916296631560237,0.0,0.0,0.12420519676715834,0.0,0.0
5,2014-01-13,"[0.         0.         0.11228268 0.10898475 0.1226889  0.
 0.17827746 0.26456239 0.08911579 0.         0.         0.12408803
 0.        ]",1.0094986330238267,1.0088431380242382,0.0,0.11228267604897268,0.10898475344477478,0.12268889736438186,0.0,0.17827745775332973,0.2645623926342191,0.08911579383266381,0.0,0.0,0.12408802892165817,0.0,0.0
6,2014-01-14,"[0.         0.         0.11215696 0.10915975 0.12278394 0.
 0.17825392 0.26456311 0.0890943  0.         0.         0.12398802
 0.        ]",1.0147454156893316,1.0098732630931753,0.0,0.11215695546481867,0.10915975230707754,0.12278394203588117,0.0,0.17825392088060357,0.2645631071080339,0.08909430136824394,0.0,0.0,0.12398802083534113,0.0,0.0
7,2014-01-15,"[0.         0.         0.11228495 0.10959289 0.12305247 0.
 0.17813475 0.26447734 0.08871491 0.         0.         0.12374269
 0.        ]",1.0213302000456332,1.0109324080897384,0.0,0.11228495355795567,0.10959289264247014,0.12305246901431861,0.0,0.17813475127165515,0.26447733511270216,0.08871490879447771,0.0,0.0,0.12374268960642053,0.0,0.0
8,2014-01-16,"[0.         0.         0.11218719 0.10979789 0.12284135 0.
 0.17818707 0.26441643 0.08897951 0.         0.         0.12359056
 0.        ]",1.01549383055622,1.011764346423063,0.0,0.11218719130215694,0.10979789477953776,0.1228413473440899,0.0,0.1781870675366732,0.2644164279007504,0.08897951062604648,0.0,0.0,0.12359056051074524,0.0,0.0
9,2014-01-17,"[0.         0.         0.11238635 0.10988514 0.1229986  0.
 0.17803822 0.26443324 0.08874769 0.         0.         0.12351076
 0.        ]",1.02276215957699,1.0181314347844956,0.0,0.11238635264182645,0.10988513797365966,0.12299859556599609,0.0,0.17803822008102485,0.26443324208529045,0.08874769044669249,0.0,0.0,0.12351076120551016,0.0,0.0
10,2014-01-21,"[0.         0.         0.11223563 0.10985961 0.12327091 0.
 0.17815628 0.26446442 0.08829648 0.         0.         0.12371668
 0.        ]",1.0352361723178216,1.0202596734142637,0.0,0.11223562833953846,0.10985960613431198,0.12327091003790418,0.0,0.17815628123673574,0.2644644201333844,0.08829647639960085,0.0,0.0,0.12371667771852436,0.0,0.0
