,Date,Weights,Profit,Base Profit,ENSV,CLB,HLX,RES,BCRX,TTNP,NBIX,TECH,ATRI,TFX,CRY,MMM,cash
0,2014-01-06,"[0.2210604  0.07397158 0.05745462 0.0623279  0.10846909 0.14689296
 0.         0.         0.10387746 0.         0.0728245  0.
 0.15312149]",0.9999999999922106,0.9999999999917246,0.07397158297048707,0.057454621058784655,0.062327895432831494,0.10846909381158232,0.14689295899817428,0.0,0.0,0.10387745847880238,0.0,0.07282449834775398,0.0,0.15312149039133702,0.2210604005102467
1,2014-01-07,"[0.1045234  0.0820653  0.06254825 0.06826345 0.12440915 0.17513619
 0.         0.         0.11884867 0.         0.08040972 0.
 0.18379588]",1.0129803508304571,1.0080746223411008,0.0820652954766535,0.06254825344899616,0.06826344514536133,0.1244091468789064,0.1751361866716866,0.0,0.0,0.11884867248599301,0.0,0.0804097239814501,0.0,0.183795878626956,0.10452339728399686
2,2014-01-08,"[0.09262275 0.08226217 0.06259357 0.06827478 0.12580787 0.17917929
 0.         0.         0.12018742 0.         0.08053673 0.
 0.18853542]",1.0157324212929324,1.0536272205920056,0.08226217304012455,0.06259357403642647,0.06827477559743002,0.12580787462466567,0.17917929072194158,0.0,0.0,0.120187416918745,0.0,0.08053673346806883,0.0,0.18853541541053517,0.09262274618206284
3,2014-01-09,"[0.09186825 0.0818953  0.06318151 0.06827223 0.12631586 0.17961363
 0.         0.         0.12000927 0.         0.07979007 0.
 0.18905388]",1.0161160651256236,1.0673316066521563,0.08189530133411915,0.0631815099276188,0.06827222669596654,0.12631585725918493,0.17961362742167958,0.0,0.0,0.12000927042706838,0.0,0.07979007021586637,0.0,0.1890538823082025,0.09186825441029367
4,2014-01-10,"[0.09179352 0.08189345 0.06301768 0.06823841 0.12643204 0.17968009
 0.         0.         0.12003565 0.         0.07974762 0.
 0.18916154]",1.039235053418009,1.0788556763223285,0.08189345280791682,0.06301768020200824,0.06823840664004928,0.12643203755844826,0.1796800944032021,0.0,0.0,0.12003565104186119,0.0,0.07974762457231269,0.0,0.1891615362666179,0.09179351650758341
5,2014-01-13,"[0.0916954  0.08189232 0.06290676 0.06820871 0.12628228 0.1796739
 0.         0.         0.12023704 0.         0.07988121 0.
 0.1892224 ]",1.046377186484487,1.0841467996665004,0.08189232056590418,0.06290675913399421,0.06820870849457464,0.12628227599765346,0.17967389552593452,0.0,0.0,0.12023703554179752,0.0,0.07988121067898342,0.0,0.1892223988316638,0.09169539522949421
6,2014-01-14,"[0.09162575 0.08176498 0.0630413  0.0682598  0.12646364 0.17969801
 0.         0.         0.12026421 0.         0.07966618 0.
 0.18921612]",1.0518196000842115,1.0969971152039841,0.08176497982589764,0.06304130237039698,0.06825980163806449,0.12646364079271377,0.1796980092833793,0.0,0.0,0.12026420869630286,0.0,0.07966618167602729,0.0,0.18921612353243675,0.09162575218478072
7,2014-01-15,"[0.09171981 0.08166532 0.06303842 0.06817094 0.12651643 0.17962251
 0.         0.         0.12045462 0.         0.07964603 0.
 0.18916592]",1.0595228715730955,1.096114537946672,0.08166532239711369,0.06303841793934367,0.06817093919289671,0.12651642567487167,0.1796225134972655,0.0,0.0,0.12045462262256008,0.0,0.07964602850133073,0.0,0.1891659213187247,0.09171980885589337
8,2014-01-16,"[0.09163295 0.08170774 0.06283775 0.06814738 0.12626707 0.17965658
 0.         0.         0.12063641 0.         0.07983616 0.
 0.18927795]",1.092128035089491,1.1178707335263363,0.0817077372750117,0.0628377488969649,0.06814738474808803,0.126267072908958,0.17965658171497534,0.0,0.0,0.1206364120002778,0.0,0.07983615789641219,0.0,0.18927795201905304,0.09163295254025906
9,2014-01-17,"[0.0917252  0.08144796 0.06312243 0.06805617 0.12623658 0.17957715
 0.         0.         0.12088354 0.         0.07974535 0.
 0.18920562]",1.076200248398763,1.1060948539492061,0.08144796231237086,0.06312243035531397,0.0680561668155848,0.12623657785786238,0.1795771498558192,0.0,0.0,0.12088353567632987,0.0,0.07974535419751619,0.0,0.18920562230919022,0.09172520062001249
10,2014-01-21,"[0.09190833 0.08111687 0.06354843 0.06801896 0.12668732 0.17948759
 0.         0.         0.12088093 0.         0.07933568 0.
 0.1890159 ]",1.0843514119678717,1.1173458455779777,0.08111686631924571,0.06354843072370399,0.06801895982399793,0.12668731777769984,0.1794875930298489,0.0,0.0,0.12088093209190387,0.0,0.07933567797518004,0.0,0.18901589529533255,0.09190832696308726
11,2014-01-22,"[0.09145219 0.08092494 0.06352103 0.06821287 0.12695128 0.17978851
 0.         0.         0.12079708 0.         0.07920465 0.
 0.18914745]",1.1011360795511471,1.1298586890209013,0.08092494056455926,0.06352103496802353,0.0682128717201563,0.12695128188809515,0.1797885072309649,0.0,0.0,0.1207970768566681,0.0,0.07920464575363564,0.0,0.18914745371100752,0.0914521873068896
12,2014-01-23,"[0.09128032 0.08072132 0.06356005 0.06824297 0.12719446 0.17987243
 0.         0.         0.12088762 0.         0.0790649  0.
 0.18917593]",1.103972756332051,1.133242935076482,0.08072131661256449,0.06356004797748752,0.06824297292384542,0.12719445620761308,0.1798724330047823,0.0,0.0,0.12088761895093922,0.0,0.07906490099043384,0.0,0.18917592856638257,0.09128032476595158
13,2014-01-24,"[0.09138994 0.08057431 0.06379446 0.06816582 0.12729044 0.1797056
 0.         0.         0.12110849 0.         0.07891513 0.
 0.1890558 ]",1.116390399079228,1.1456919474278404,0.08057431159514304,0.06379446184932833,0.06816582301781299,0.12729044217100877,0.1797056047174801,0.0,0.0,0.1211084894703948,0.0,0.07891513130762808,0.0,0.18905579996184213,0.09138993590936181
