,Date,Weights,Profit,Base Profit,Volume,MXIM,INTC,KOPN,XLNX,KAMN,LAWS,HDSN,WLFC,CLB,ENSV,RES,HLX,cash
0,2014-01-06,"[0.11261974 0.         0.         0.         0.14860062 0.
 0.         0.19209388 0.128271   0.         0.12108409 0.12513202
 0.17219861]",0.9955630618124046,0.9950000000000002,0.8873802199959755,0.0,0.0,0.0,0.14860062301158905,0.0,0.0,0.1920938789844513,0.12827099859714508,0.0,0.12108408659696579,0.1251320242881775,0.1721986085176468,0.11261974275112152
1,2014-01-07,"[0.11085639 0.         0.         0.         0.14970446 0.
 0.         0.19306357 0.12586229 0.         0.12201578 0.12636031
 0.1721372 ]",1.0009519736487393,1.0042099128816424,0.0066738758740051704,0.0,0.0,0.0,0.1497044563293457,0.0,0.0,0.19306357204914093,0.12586228549480438,0.0,0.12201578170061111,0.12636031210422516,0.17213720083236694,0.11085639148950577
2,2014-01-08,"[0.1113153  0.         0.         0.         0.14939137 0.
 0.         0.19273931 0.12577246 0.         0.12243486 0.12667006
 0.17167664]",1.00353036523731,1.00189142079615,0.00592061655434437,0.0,0.0,0.0,0.14939136803150177,0.0,0.0,0.1927393078804016,0.12577246129512787,0.0,0.12243486195802689,0.12667006254196167,0.1716766357421875,0.1113152951002121
3,2014-01-09,"[0.11157899 0.         0.         0.         0.14926228 0.
 0.         0.19270453 0.12603647 0.         0.12227714 0.12655038
 0.17159027]",1.0043360488741446,1.0006733652503697,0.014278037775553675,0.0,0.0,0.0,0.14926227927207947,0.0,0.0,0.19270452857017517,0.12603646516799927,0.0,0.1222771406173706,0.12655037641525269,0.17159026861190796,0.11157899349927902
4,2014-01-10,"[0.11219545 0.         0.         0.         0.14899695 0.
 0.         0.19233376 0.12636605 0.         0.12237654 0.12657744
 0.17115384]",1.0159446773403649,1.009843971375903,0.004443264280811887,0.0,0.0,0.0,0.14899694919586182,0.0,0.0,0.19233375787734985,0.1263660490512848,0.0,0.12237653881311417,0.1265774369239807,0.17115384340286255,0.1121954470872879
5,2014-01-13,"[0.1122656  0.         0.         0.         0.14884265 0.
 0.         0.19238906 0.1265169  0.         0.12249372 0.1266238
 0.17086826]",1.0085074359825077,1.0066980090042807,0.020060050949645226,0.0,0.0,0.0,0.14884264767169952,0.0,0.0,0.19238905608654022,0.1265168935060501,0.0,0.12249372154474258,0.12662379443645477,0.17086826264858246,0.11226560175418854
6,2014-01-14,"[0.11208238 0.         0.         0.         0.1490856  0.
 0.         0.1927085  0.12646608 0.         0.1222427  0.12637886
 0.17103587]",1.0103644747004934,1.0116543908928999,0.012115415089318654,0.0,0.0,0.0,0.14908559620380402,0.0,0.0,0.19270850718021393,0.1264660805463791,0.0,0.12224270403385162,0.1263788640499115,0.17103587090969086,0.11208237707614899
7,2014-01-15,"[0.11274996 0.         0.         0.         0.14885685 0.
 0.         0.19213456 0.12707642 0.         0.12228701 0.12636666
 0.17052859]",1.0060394726215804,1.0159552305032076,0.0077693842545196535,0.0,0.0,0.0,0.14885684847831726,0.0,0.0,0.1921345591545105,0.1270764172077179,0.0,0.12228700518608093,0.12636665999889374,0.1705285906791687,0.11274995654821396
8,2014-01-16,"[0.11176029 0.         0.         0.         0.14953847 0.
 0.         0.19308345 0.12659074 0.         0.12186075 0.1260044
 0.1711619 ]",1.0173363773652835,1.0240441141774426,0.018578205163432858,0.0,0.0,0.0,0.14953847229480743,0.0,0.0,0.19308345019817352,0.12659074366092682,0.0,0.12186075001955032,0.1260043978691101,0.17116190493106842,0.11176028847694397
9,2014-01-17,"[0.11195099 0.         0.         0.         0.1497737  0.
 0.         0.19323707 0.12645513 0.         0.12124733 0.1256657
 0.1716701 ]",1.0187043158209081,1.0357841318464376,0.018201393631106757,0.0,0.0,0.0,0.1497737020254135,0.0,0.0,0.1932370662689209,0.1264551281929016,0.0,0.12124732881784439,0.12566569447517395,0.1716700941324234,0.11195099353790283
10,2014-01-21,"[0.11337435 0.         0.         0.         0.14906232 0.
 0.         0.19230098 0.1270526  0.         0.12118391 0.12569486
 0.17133099]",1.021727215271994,1.0375803369985641,0.010623020299849227,0.0,0.0,0.0,0.14906232059001923,0.0,0.0,0.1923009753227234,0.12705260515213013,0.0,0.12118390947580338,0.1256948560476303,0.171330988407135,0.11337435245513916
11,2014-01-22,"[0.11269668 0.         0.         0.         0.14923717 0.
 0.         0.19295171 0.12617435 0.         0.12146273 0.12590222
 0.17157516]",1.0306777146851114,1.0470096006178586,0.022258853378396056,0.0,0.0,0.0,0.14923717081546783,0.0,0.0,0.19295170903205872,0.12617434561252594,0.0,0.12146273255348206,0.1259022206068039,0.1715751588344574,0.11269667744636536
12,2014-01-23,"[0.1130392  0.         0.         0.         0.1492242  0.
 0.         0.19278933 0.12606592 0.         0.12125335 0.12586376
 0.17176417]",1.033119426111347,1.0489228731991438,0.010804787688634963,0.0,0.0,0.0,0.1492242068052292,0.0,0.0,0.19278933107852936,0.1260659247636795,0.0,0.1212533488869667,0.12586376070976257,0.17176416516304016,0.11303919553756714
13,2014-01-24,"[0.1136272  0.         0.         0.         0.149029   0.
 0.         0.19265293 0.12611677 0.         0.12077959 0.12568432
 0.17211014]",1.0504568564617103,1.0588509037933673,0.008999608327838908,0.0,0.0,0.0,0.14902900159358978,0.0,0.0,0.19265292584896088,0.1261167675256729,0.0,0.12077958881855011,0.12568432092666626,0.17211014032363892,0.11362720280885696
