,Date,Weights,Profit,Base Profit,Volume,CVR,PFIN,LECO,SPXC,CRY,ATRI,TFX,MMM,HUBB,MRCY,IIN,AVX,cash
0,2014-01-06,"[0.         0.07812782 0.12008447 0.07765215 0.08778162 0.090254
 0.09524138 0.10617702 0.         0.08356442 0.09416192 0.09136666
 0.0755885 ]",0.9997999627619982,0.9998000000000002,0.999999962747097,0.07812782377004623,0.12008447200059891,0.07765214890241623,0.08778161555528641,0.09025400131940842,0.09524137526750565,0.10617702454328537,0.0,0.08356442302465439,0.09416192024946213,0.09136665612459183,0.07558850198984146,0.0
1,2014-01-07,"[0.06882016 0.07184536 0.11132708 0.07272259 0.08197819 0.08350386
 0.08889065 0.09881929 0.         0.07756889 0.08852036 0.08564717
 0.07035638]",1.0085732827455733,1.0091377882181214,0.06880640446124067,0.07184536010026932,0.11132708191871643,0.07272259145975113,0.0819781944155693,0.08350386470556259,0.08889064937829971,0.09881928563117981,0.0,0.0775688886642456,0.0885203555226326,0.08564717322587967,0.07035638391971588,0.06882015615701675
2,2014-01-08,"[0.06897637 0.07178066 0.1112604  0.07274754 0.08198864 0.08346161
 0.08890567 0.09874149 0.         0.07753649 0.08858088 0.08570264
 0.07031763]",1.0091407481084829,1.0085016261978137,0.010850883222652258,0.07178065925836563,0.11126039922237396,0.07274754345417023,0.08198864012956619,0.08346160501241684,0.08890566974878311,0.09874149411916733,0.0,0.07753649353981018,0.08858087658882141,0.08570264279842377,0.07031763345003128,0.06897637248039246
3,2014-01-09,"[0.06887827 0.07195324 0.11132041 0.07265066 0.08202035 0.08344916
 0.08892914 0.0987949  0.         0.0775632  0.08851191 0.08561634
 0.07031242]",1.0130243075742038,1.0126778821806057,0.010709637496690143,0.07195324450731277,0.11132041364908218,0.07265066355466843,0.0820203498005867,0.08344916254281998,0.08892913907766342,0.09879489988088608,0.0,0.07756319642066956,0.08851190656423569,0.0856163427233696,0.07031241804361343,0.06887827068567276
4,2014-01-10,"[0.06886568 0.0720301  0.11136934 0.07259857 0.08201455 0.08343414
 0.08893426 0.09880655 0.         0.07759032 0.08847634 0.08558497
 0.07029519]",1.0149756640838536,1.0137480301470894,0.008180886689872208,0.07203010469675064,0.11136934161186218,0.07259856909513474,0.0820145457983017,0.08343414217233658,0.08893425762653351,0.09880654513835907,0.0,0.07759031653404236,0.08847634494304657,0.08558496832847595,0.07029519230127335,0.06886567920446396
5,2014-01-13,"[0.06882508 0.07197775 0.11136608 0.07263768 0.08201332 0.08352657
 0.08891947 0.09876633 0.         0.07755924 0.0884825  0.08559243
 0.07033353]",1.0205126738927452,1.020104806063366,0.01193059757974241,0.07197774946689606,0.11136607825756073,0.07263768464326859,0.0820133239030838,0.08352656662464142,0.08891946822404861,0.09876632690429688,0.0,0.07755924016237259,0.08848249912261963,0.08559243381023407,0.07033353298902512,0.06882508099079132
6,2014-01-14,"[0.06897202 0.07185766 0.11125427 0.07269965 0.08204924 0.08348234
 0.08893962 0.09869594 0.         0.07749389 0.08857839 0.08565963
 0.07031734]",1.021664665198865,1.0200264579201435,0.01260774197878639,0.07185766100883484,0.1112542673945427,0.0726996511220932,0.08204924315214157,0.08348233997821808,0.0889396220445633,0.09869594126939774,0.0,0.07749389111995697,0.08857838809490204,0.08565963059663773,0.0703173354268074,0.06897202134132385
7,2014-01-15,"[0.06885666 0.07189325 0.11134482 0.07270127 0.08198522 0.08355296
 0.08890632 0.09873679 0.         0.07754777 0.08850002 0.08563267
 0.07034227]",1.0089045388002764,1.0054710590131724,0.011718011087641497,0.07189325243234634,0.1113448217511177,0.07270126789808273,0.0819852203130722,0.08355296403169632,0.08890631794929504,0.09873679280281067,0.0,0.07754776626825333,0.088500015437603,0.08563266694545746,0.07034227252006531,0.06885665655136108
8,2014-01-16,"[0.06870683 0.07188144 0.11138964 0.0727347  0.08192231 0.08364639
 0.08888642 0.09878493 0.         0.07758278 0.08845373 0.08563118
 0.07037967]",1.0323826266815077,1.0324857479859657,0.01521190237831518,0.07188144326210022,0.1113896444439888,0.07273469865322113,0.08192230761051178,0.08364638686180115,0.08888641744852066,0.0987849310040474,0.0,0.07758277654647827,0.0884537324309349,0.08563118427991867,0.07037967443466187,0.06870683282613754
9,2014-01-17,"[0.06864505 0.07186089 0.11139754 0.07274475 0.08189265 0.08377665
 0.08887756 0.09873037 0.         0.07757615 0.08845069 0.08563396
 0.07041375]",1.035382984701706,1.0351179148370193,0.02680749774445392,0.0718608945608139,0.11139754205942154,0.07274474948644638,0.08189265429973602,0.08377664536237717,0.08887755870819092,0.09873037040233612,0.0,0.0775761529803276,0.08845069259405136,0.08563396334648132,0.0704137533903122,0.06864505261182785
10,2014-01-21,"[0.06867414 0.07177669 0.11137582 0.0727957  0.0818786  0.08376855
 0.08886616 0.0987262  0.         0.07756603 0.08848258 0.08567418
 0.07041536]",1.0381626155378645,1.0380933857460029,0.010891813594877843,0.07177668809890747,0.11137581616640091,0.07279569655656815,0.08187860250473022,0.08376855403184891,0.08886615931987762,0.09872619807720184,0.0,0.07756602764129639,0.0884825810790062,0.08567418158054352,0.07041536271572113,0.06867413967847824
11,2014-01-22,"[0.         0.07699604 0.11965325 0.07819685 0.08783473 0.09009926
 0.09534086 0.10597413 0.         0.08330472 0.0949609  0.09197754
 0.07566175]",1.0498746953378677,1.0489415484974276,0.07110390931968169,0.07699603587388992,0.11965324729681015,0.07819685339927673,0.08783473074436188,0.0900992602109909,0.09534085541963577,0.10597413033246994,0.0,0.08330471813678741,0.09496089816093445,0.0919775441288948,0.07566174864768982,0.0
