,Date,Weights,Profit,Base Profit,Volume,CTO,TRC,FRPH,CIGI,FLEX,CTS,SANM,IEC,CLB,ENSV,RES,HLX,cash
0,2014-01-06,"[0.         0.08356828 0.08332128 0.08090767 0.08647762 0.08471891
 0.08172552 0.08708016 0.08717373 0.08164365 0.07784381 0.084428
 0.08111136]",0.9998,0.9998000000000002,1.0,0.0835682824254036,0.08332128077745438,0.0809076726436615,0.0864776223897934,0.08471891283988953,0.08172552287578583,0.08708015829324722,0.08717373013496399,0.08164364844560623,0.0778438076376915,0.08442800492048264,0.0811113566160202,0.0
1,2014-01-07,"[0.         0.08196334 0.08403082 0.08167396 0.08581421 0.0840667
 0.08176839 0.08649305 0.08624445 0.08136577 0.07864781 0.08523643
 0.08269501]",1.0066777650312897,1.0066430700369629,0.009427740241587162,0.08196333795785904,0.08403082191944122,0.08167396485805511,0.0858142077922821,0.08406670391559601,0.08176839351654053,0.08649305254220963,0.08624444901943207,0.08136577159166336,0.07864781469106674,0.08523643016815186,0.08269501477479935,0.0
2,2014-01-08,"[0.         0.08182502 0.08410396 0.08182307 0.08585144 0.08388907
 0.08168115 0.08655585 0.08627295 0.08128527 0.07869354 0.08522305
 0.08279567]",1.0031685401197132,1.003169782787979,0.012958123279572466,0.08182501792907715,0.08410395681858063,0.08182306587696075,0.08585143834352493,0.08388906717300415,0.08168114721775055,0.0865558460354805,0.0862729474902153,0.0812852680683136,0.07869353890419006,0.08522304892539978,0.08279567211866379,0.0
3,2014-01-09,"[0.         0.08161709 0.08426709 0.08188427 0.08605428 0.08378889
 0.08165397 0.08649431 0.0863249  0.08123654 0.07852048 0.08533054
 0.08282762]",1.0054676543949057,1.005356163490054,0.015118811940110942,0.0816170871257782,0.08426709473133087,0.08188427239656448,0.08605428040027618,0.08378888666629791,0.08165397495031357,0.0864943116903305,0.08632490038871765,0.08123654127120972,0.07852047681808472,0.0853305384516716,0.0828276202082634,0.0
4,2014-01-10,"[0.         0.08146189 0.08445713 0.0819815  0.08593486 0.08348861
 0.08162332 0.08653335 0.08630756 0.08106796 0.07849031 0.08567286
 0.08298069]",1.0091556179487757,1.0098195584292258,0.006335664017417713,0.08146189153194427,0.08445712924003601,0.08198150247335434,0.08593486249446869,0.08348861336708069,0.08162331581115723,0.08653334528207779,0.08630755543708801,0.08106796443462372,0.07849030941724777,0.08567285537719727,0.0829806923866272,0.0
5,2014-01-13,"[0.         0.08127306 0.08469409 0.08203326 0.086133   0.08316217
 0.08153062 0.08665641 0.08643812 0.08089081 0.0782305  0.08590113
 0.08305684]",1.0026223777673615,1.0027505382426891,0.021387251912246295,0.08127306401729584,0.08469408750534058,0.08203326165676117,0.08613299578428268,0.08316217362880707,0.0815306231379509,0.08665641397237778,0.0864381194114685,0.08089081197977066,0.07823050022125244,0.08590112626552582,0.08305683732032776,0.0
6,2014-01-14,"[0.         0.08792686 0.09206313 0.08882196 0.09413926 0.08959808
 0.08823717 0.09434255 0.09414911 0.08745109 0.         0.09322273
 0.0900481 ]",0.9930980519062113,0.9961090749555596,0.15056794812726237,0.08792686462402344,0.09206312894821167,0.08882195502519608,0.09413926303386688,0.08959808200597763,0.08823717385530472,0.09434255212545395,0.09414910525083542,0.08745108544826508,0.0,0.0932227298617363,0.09004810452461243,0.0
7,2014-01-15,"[0.         0.08779315 0.09212121 0.08843276 0.09509736 0.08830653
 0.08790022 0.09517954 0.09494103 0.08690576 0.         0.09329429
 0.09002814]",0.9831951119023966,0.9925218093011463,0.015584028194408113,0.08779314905405045,0.09212120622396469,0.08843275904655457,0.09509735554456711,0.08830653131008148,0.08790022134780884,0.09517954289913177,0.09494103491306305,0.08690576255321503,0.0,0.09329428523778915,0.09002813696861267,0.0
8,2014-01-16,"[0.         0.08809098 0.0923501  0.08784395 0.09612532 0.08710145
 0.08706018 0.09643662 0.09654852 0.08667602 0.         0.09281678
 0.08895009]",0.9915674515656135,0.9962299383490515,0.01375873417651991,0.08809097856283188,0.09235010296106339,0.08784394711256027,0.09612531960010529,0.08710145205259323,0.08706018328666687,0.09643661975860596,0.09654852002859116,0.08667602390050888,0.0,0.0928167849779129,0.08895009011030197,0.0
9,2014-01-17,"[0.         0.08874662 0.09222555 0.08722316 0.09570581 0.08763314
 0.08610798 0.09735308 0.09860899 0.08548503 0.         0.09464904
 0.08626164]",1.0033935942515715,1.008428814317877,0.014266788277658747,0.08874662220478058,0.09222555160522461,0.08722315728664398,0.09570580720901489,0.08763314038515091,0.08610798418521881,0.09735307842493057,0.09860898554325104,0.08548502624034882,0.0,0.09464903920888901,0.08626164495944977,0.0
