,Date,Weights,Profit,Base Profit,ITT,IEX,GGG,FLS,ABT,JNJ,PFE,BMY,PCAR,F,SPAR,OSK,cash
0,2014-01-06,"[0.160041   0.         0.         0.16248152 0.         0.
 0.18494226 0.         0.         0.15683236 0.16488061 0.17082226
 0.        ]",0.9999999999916004,0.9999999999917246,0.0,0.0,0.16248151507388575,0.0,0.0,0.18494225941167813,0.0,0.0,0.15683236106172882,0.16488060734029597,0.17082225566456025,0.0,0.160041001447851
1,2014-01-07,"[0.         0.         0.         0.19484936 0.         0.
 0.22185482 0.         0.         0.18167228 0.2000028  0.20162073
 0.        ]",1.007444652766448,1.0092154912940416,0.0,0.0,0.194849363718596,0.0,0.0,0.22185481851950659,0.0,0.0,0.18167228091771379,0.20000280385778924,0.20162073298639432,0.0,0.0
2,2014-01-08,"[0.         0.         0.         0.19520977 0.         0.
 0.22275793 0.         0.         0.17943273 0.20171553 0.20088403
 0.        ]",1.0054934565362421,1.0047303508704295,0.0,0.0,0.195209774339578,0.0,0.0,0.22275792840023548,0.0,0.0,0.17943273479549934,0.20171553068940096,0.2008840317752863,0.0,0.0
3,2014-01-09,"[0.         0.         0.         0.19536747 0.         0.
 0.22279478 0.         0.         0.17922692 0.20207862 0.20053222
 0.        ]",1.0071971817372676,1.0062274586289053,0.0,0.0,0.19536746815524236,0.0,0.0,0.2227947787140164,0.0,0.0,0.17922691533332824,0.20207862119264197,0.20053221660477108,0.0,0.0
4,2014-01-10,"[0.         0.         0.         0.19540261 0.         0.
 0.22278287 0.         0.         0.17938971 0.20192673 0.20049808
 0.        ]",1.013961382516901,1.0123720935847205,0.0,0.0,0.19540260550841682,0.0,0.0,0.2227828737026722,0.0,0.0,0.17938970939172283,0.2019267285067037,0.20049808289048457,0.0,0.0
5,2014-01-13,"[0.         0.         0.         0.19565386 0.         0.
 0.22238359 0.         0.         0.17977358 0.20179764 0.20039134
 0.        ]",1.019036785342562,1.017575935932313,0.0,0.0,0.19565385572836594,0.0,0.0,0.22238358610842018,0.0,0.0,0.17977358074971733,0.20179764193470404,0.20039133547879245,0.0,0.0
6,2014-01-14,"[0.         0.         0.         0.19548402 0.         0.
 0.22239592 0.         0.         0.18077459 0.20092224 0.20042324
 0.        ]",1.0191825423931693,1.02049821340232,0.0,0.0,0.19548401530500895,0.0,0.0,0.22239591679169274,0.0,0.0,0.1807745940407773,0.20092223579931545,0.20042323806320553,0.0,0.0
7,2014-01-15,"[0.         0.         0.         0.19538367 0.         0.
 0.22248571 0.         0.         0.18124456 0.20046296 0.20042309
 0.        ]",1.008720259279769,1.0138258403632847,0.0,0.0,0.1953836716673313,0.0,0.0,0.22248571297375014,0.0,0.0,0.18124456111837842,0.20046296449188816,0.2004230897486521,0.0,0.0
8,2014-01-16,"[0.         0.         0.         0.19485492 0.         0.
 0.22298234 0.         0.         0.18165301 0.19946834 0.20104139
 0.        ]",1.018428927895209,1.0230407323335677,0.0,0.0,0.1948549236674523,0.0,0.0,0.22298233618806287,0.0,0.0,0.181653010055075,0.19946833688693522,0.20104139320247466,0.0,0.0
9,2014-01-17,"[0.         0.         0.         0.19448706 0.         0.
 0.22329228 0.         0.         0.18198273 0.19896671 0.20127121
 0.        ]",1.0236919549698718,1.024489306381505,0.0,0.0,0.19448706473310617,0.0,0.0,0.22329227839759205,0.0,0.0,0.18198273498835932,0.19896670905738842,0.2012712128235541,0.0,0.0
