,Date,Weights,Profit,Base Profit,Volume,AMS,PMD,LH,DGX,WLFC,KAMN,LAWS,HDSN,JNJ,BMY,PFE,ABT,cash
0,2014-01-06,"[0.06974467 0.07950603 0.08099267 0.10168819 0.09658793 0.07843633
 0.10589182 0.07532103 0.07916    0.         0.07574822 0.08045072
 0.07647242]",1.0000000372436004,0.9999999999900002,0.9302553683519363,0.0795060321688652,0.0809926688671112,0.1016881912946701,0.09658793359994888,0.07843632996082306,0.10589182376861572,0.0753210261464119,0.07916000485420227,0.0,0.07574822008609772,0.08045072108507156,0.07647241652011871,0.06974466890096664
1,2014-01-07,"[0.06968623 0.07938924 0.08095081 0.10163878 0.09672372 0.07842153
 0.10595583 0.07537556 0.07911247 0.         0.07589393 0.08036336
 0.07648851]",1.0140326864190006,1.0147515476386306,0.0007738817692235948,0.07938924431800842,0.08095081150531769,0.1016387790441513,0.09672372043132782,0.07842153310775757,0.1059558317065239,0.07537555694580078,0.0791124701499939,0.0,0.07589393109083176,0.08036335557699203,0.07648850977420807,0.06968622654676437
2,2014-01-08,"[0.06968728 0.07943892 0.08095689 0.1016169  0.0966934  0.07836049
 0.1059164  0.07538682 0.07908965 0.         0.07594809 0.08039105
 0.07651407]",1.0152173558560451,1.0180684701701652,0.007582375986527951,0.07943891733884811,0.08095689117908478,0.10161690413951874,0.09669340401887894,0.07836049050092697,0.10591640323400497,0.07538682222366333,0.07908964902162552,0.0,0.0759480893611908,0.0803910493850708,0.07651407271623611,0.06968727707862854
3,2014-01-09,"[0.06968631 0.07944703 0.08096817 0.10167236 0.09667743 0.07830897
 0.10591701 0.07539364 0.07896046 0.         0.07598788 0.080499
 0.07648176]",1.0181382058244157,1.0209918926091246,0.011666496753902725,0.07944703102111816,0.08096817135810852,0.10167235881090164,0.09667742997407913,0.07830896973609924,0.10591700673103333,0.07539363950490952,0.07896046340465546,0.0,0.07598787546157837,0.08049900084733963,0.07648175954818726,0.06968630850315094
4,2014-01-10,"[0.06967061 0.07941512 0.08097281 0.10166252 0.0967228  0.07838582
 0.10594131 0.07538938 0.07901243 0.         0.07593176 0.08042783
 0.07646763]",1.0218687054792228,1.0259914452675574,0.008916761929324498,0.07941512018442154,0.0809728130698204,0.1016625240445137,0.0967227965593338,0.07838581502437592,0.10594131052494049,0.07538937777280807,0.079012431204319,0.0,0.07593175768852234,0.08042782545089722,0.07646763324737549,0.06967061012983322
5,2014-01-13,"[0.06964899 0.07932184 0.0809681  0.10169323 0.09682421 0.0785636
 0.10601628 0.07538974 0.07904718 0.         0.0758018  0.08033501
 0.07639006]",1.0272799737720424,1.0314662989129078,0.011107211106002601,0.07932183891534805,0.08096809685230255,0.10169322788715363,0.09682421386241913,0.07856360077857971,0.10601627826690674,0.07538973540067673,0.07904718071222305,0.0,0.0758018046617508,0.08033501356840134,0.07639005780220032,0.06964898854494095
6,2014-01-14,"[0.06963226 0.07927771 0.0809745  0.10168446 0.09689239 0.07868631
 0.10604808 0.07538657 0.07912114 0.         0.07570454 0.08023714
 0.07635489]",1.0297114396970468,1.034015044145718,0.013846933439807493,0.07927770912647247,0.0809745043516159,0.10168445855379105,0.09689238667488098,0.07868631184101105,0.10604807734489441,0.07538656890392303,0.07912114262580872,0.0,0.07570454478263855,0.08023714274168015,0.07635489106178284,0.06963226199150085
7,2014-01-15,"[0.06963914 0.07930112 0.08097481 0.1016852  0.09689064 0.07868815
 0.10603382 0.07538374 0.07912312 0.         0.07569531 0.08023519
 0.07634978]",1.0348914055428364,1.0394749121694058,0.006745712542972098,0.07930111885070801,0.08097480982542038,0.10168519616127014,0.0968906357884407,0.07868815213441849,0.1060338243842125,0.0753837376832962,0.0791231244802475,0.0,0.07569530606269836,0.08023519068956375,0.07634977996349335,0.06963913887739182
8,2014-01-16,"[0.06962869 0.07929404 0.08096082 0.10164521 0.09690754 0.07867245
 0.10601824 0.07541037 0.07915398 0.         0.07573612 0.08021102
 0.07636151]",1.0429598451722257,1.0472827387899053,0.01646018329262849,0.07929404079914093,0.08096081763505936,0.10164520889520645,0.09690754115581512,0.07867244631052017,0.10601823776960373,0.0754103735089302,0.07915397733449936,0.0,0.07573612034320831,0.08021102100610733,0.0763615071773529,0.06962869316339493
9,2014-01-17,"[0.06965081 0.07933953 0.08094101 0.10168098 0.09685972 0.0785974
 0.10600021 0.07540779 0.07906742 0.         0.07579616 0.08029104
 0.07636791]",1.043159632200452,1.0476421400657028,0.012219115571253764,0.07933953404426575,0.08094101399183273,0.10168097913265228,0.09685971587896347,0.07859740406274796,0.10600020736455917,0.07540778815746307,0.0790674239397049,0.0,0.07579616457223892,0.08029104024171829,0.07636790722608566,0.0696508064866066
10,2014-01-21,"[0.06965332 0.07931426 0.08093827 0.10168807 0.09690895 0.07870366
 0.10602595 0.07539731 0.07911757 0.         0.07570116 0.0802203
 0.07633115]",1.0454605917316673,1.050150874300123,0.015576340918602922,0.07931426167488098,0.08093827217817307,0.10168807208538055,0.09690894931554794,0.07870366424322128,0.10602594912052155,0.0753973051905632,0.07911756634712219,0.0,0.07570116221904755,0.0802202969789505,0.07633115351200104,0.06965331733226776
