,Date,Weights,Profit,Base Profit,Volume,JACK,EAT,PZZA,MCD,XLNX,KOPN,INTC,MXIM,DORM,SUP,MOD,STRT,cash
0,2014-01-06,"[0.08249958 0.10333993 0.         0.09914139 0.09970088 0.10214038
 0.08154468 0.11286316 0.10461217 0.11803953 0.         0.
 0.0961183 ]",0.999999999990825,0.9999999999917251,0.9175004245134182,0.10333992959120693,0.0,0.099141391240982,0.09970088201503273,0.1021403814592625,0.08154467508851355,0.1128631621983184,0.1046121676547791,0.11803953326285052,0.0,0.0,0.09611830200247237,0.08249957548658193
1,2014-01-07,"[0.         0.11265306 0.         0.10758823 0.10810816 0.11110752
 0.08706647 0.12422419 0.11430261 0.13064498 0.         0.
 0.10430479]",1.006062599584463,1.0019995908533121,0.08249957548582484,0.1126530563469439,0.0,0.10758822861503364,0.10810816369243144,0.1111075158638782,0.08706647462609918,0.12422418656889676,0.1143026087180931,0.13064497541432396,0.0,0.0,0.1043047901542997,0.0
2,2014-01-08,"[0.         0.11307384 0.         0.1076648  0.10801295 0.11089078
 0.08699639 0.12431823 0.11437785 0.1307576  0.         0.
 0.10390756]",0.9947078795516958,0.993002455351998,0.009490719954973916,0.11307383717030688,0.0,0.10766479817642798,0.10801294996346428,0.1108907797168885,0.08699639335299257,0.12431823300574675,0.11437784541009482,0.1307576034842394,0.0,0.0,0.1039075597198389,0.0
3,2014-01-09,"[0.         0.1127504  0.         0.10764893 0.10819057 0.11101533
 0.08655661 0.12451871 0.11450727 0.13078599 0.         0.
 0.1040262 ]",0.9928735185627363,0.9935557511568609,0.008482669791329308,0.11275039560245789,0.0,0.10764893165592795,0.10819056886579062,0.1110153263473226,0.08655660848270895,0.12451870569746587,0.11450727362395081,0.13078598667069463,0.0,0.0,0.1040262030536807,0.0
4,2014-01-10,"[0.         0.11304082 0.         0.10763998 0.10806912 0.11095162
 0.08663442 0.1245888  0.11426308 0.13100526 0.         0.
 0.10380689]",0.9948583447737084,0.9952970695010533,0.004032469547259662,0.11304082313969888,0.0,0.10763998083316804,0.1080691172172069,0.11095162205571728,0.0866344184549962,0.12458879953847239,0.11426308173246395,0.1310052635159743,0.0,0.0,0.10380689351230193,0.0
5,2014-01-13,"[0.         0.1129774  0.         0.10783843 0.1082478  0.1111033
 0.08677758 0.1243543  0.11417121 0.13077032 0.         0.
 0.10375966]",0.9866916350685895,0.9892397213820673,0.0056596392406261685,0.11297739834541175,0.0,0.10783843035496173,0.10824780389655768,0.11110329636803794,0.0867775804454036,0.12435429739574373,0.11417121073235414,0.13077032270674127,0.0,0.0,0.10375965975478817,0.0
6,2014-01-14,"[0.         0.11289643 0.         0.1078293  0.10817827 0.11107056
 0.08665509 0.12467138 0.11402214 0.13073761 0.         0.
 0.10393922]",0.9856260698754458,0.9889771870272601,0.008913336987185987,0.1128964305576517,0.0,0.10782930027763642,0.10817827077103596,0.11107055641431961,0.08665509217065703,0.12467138419846574,0.11402213798251178,0.13073761090303926,0.0,0.0,0.10393921672468247,0.0
7,2014-01-15,"[0.         0.11303633 0.         0.10772371 0.108107   0.11087653
 0.08676101 0.12464628 0.11430889 0.13083236 0.         0.
 0.10370789]",0.9861962071097763,0.9896003517818804,0.005470649590777636,0.11303633248674205,0.0,0.10772370542242939,0.10810700462426014,0.11087652971681879,0.08676100903337096,0.1246462817491847,0.11430889180419773,0.13083235957312406,0.0,0.0,0.10370788558987226,0.0
8,2014-01-16,"[0.         0.11275909 0.         0.10750415 0.10783515 0.11101904
 0.08678821 0.12479111 0.11422481 0.13073731 0.         0.
 0.10434113]",1.002094883114251,1.0006141347859783,0.008543781067696151,0.11275908826228229,0.0,0.10750415223835304,0.1078351521285921,0.11101903812758152,0.08678820570896295,0.12479111430336459,0.114224807303444,0.13073730737695877,0.0,0.0,0.1043411345504608,0.0
9,2014-01-17,"[0.         0.11269708 0.         0.10727299 0.10772964 0.11120059
 0.08689305 0.12480198 0.11425564 0.13111621 0.         0.
 0.10403283]",1.0062629865888442,1.003229934335318,0.01102112748429106,0.11269708120988428,0.0,0.10727298968975643,0.1077296432532947,0.11120058809342998,0.08689305208485174,0.12480197764828194,0.11425563622094795,0.13111620505977847,0.0,0.0,0.10403282673977447,0.0
10,2014-01-21,"[0.         0.11287289 0.         0.10744623 0.10781773 0.1112196
 0.08698348 0.12450846 0.11420136 0.13077563 0.         0.
 0.10417462]",0.9981459121721276,0.9980662654448159,0.011450392500307017,0.11287289319795249,0.0,0.10744622966027989,0.10781772593823165,0.11121960218380499,0.08698348348917014,0.12450846089287833,0.11420135523064683,0.1307756302243037,0.0,0.0,0.104174619182732,0.0
11,2014-01-22,"[0.         0.11272462 0.         0.10740417 0.10797124 0.11115526
 0.08665418 0.12396708 0.11456199 0.13103741 0.         0.
 0.10452406]",1.0004407155897594,0.9979703866836674,0.01286295685785463,0.11272462352433987,0.0,0.10740416594340603,0.10797123967685807,0.11115525654249427,0.08665417929386492,0.12396708035204872,0.11456198859993683,0.1310374108616984,0.0,0.0,0.10452405520535286,0.0
12,2014-01-23,"[0.         0.11270944 0.         0.10738348 0.10767342 0.11107766
 0.08661742 0.1247226  0.1145321  0.13068015 0.         0.
 0.10460373]",1.0023216466181601,1.0038272845082723,0.011245719709062345,0.11270943905020467,0.0,0.10738348382512788,0.10767341667395823,0.11107765886328522,0.08661742362339662,0.12472260096498076,0.11453210411635704,0.1306801457073885,0.0,0.0,0.10460372717530116,0.0
