,Date,Weights,Profit,Base Profit,Volume,GRA,BCPC,OLN,FMC,HLX,RES,ENSV,CLB,GGG,ITT,FLS,IEX,cash
0,2014-01-06,"[0.07284845 0.07722316 0.0777602  0.07587388 0.07493703 0.07644578
 0.07915533 0.07703274 0.07803018 0.07773789 0.07825594 0.0780533
 0.0766461 ]",0.9998145473476968,0.9998000000000002,0.9271515235304832,0.07722315937280655,0.07776019722223282,0.07587388157844543,0.07493703067302704,0.07644578069448471,0.0791553258895874,0.07703274488449097,0.07803017646074295,0.07773789018392563,0.07825593650341034,0.0780533030629158,0.0766460970044136,0.07284845411777496
1,2014-01-07,"[0.07322091 0.0769313  0.07755092 0.07580412 0.07566265 0.07664274
 0.07888874 0.07679857 0.07777203 0.07752886 0.07860018 0.0778591
 0.07673991]",1.0065227350427262,1.0069855841210598,0.0030931229772909958,0.07693129777908325,0.07755091786384583,0.07580412179231644,0.07566265016794205,0.07664273679256439,0.07888873666524887,0.07679856568574905,0.07777202874422073,0.07752885669469833,0.07860018312931061,0.07785909622907639,0.07673990726470947,0.07322090864181519
2,2014-01-08,"[0.07344381 0.07697661 0.07757117 0.07578415 0.07557845 0.07662329
 0.07879078 0.07673138 0.07779358 0.0774653  0.07860796 0.07785545
 0.07677805]",1.0006535008803874,1.0006979132520035,0.0071745605961994795,0.07697661221027374,0.07757116854190826,0.07578414678573608,0.07557845115661621,0.07662329077720642,0.07879077643156052,0.07673138380050659,0.07779358327388763,0.07746529579162598,0.0786079615354538,0.07785544544458389,0.07677804678678513,0.07344380766153336
3,2014-01-09,"[0.07332242 0.07702486 0.07759569 0.07578789 0.07555327 0.07663971
 0.07884336 0.07674949 0.07778014 0.07745393 0.0785787  0.07786246
 0.07680807]",0.9994980270062669,0.9993710870444168,0.007749515224624404,0.07702486217021942,0.07759568840265274,0.07578789442777634,0.07555326819419861,0.07663971185684204,0.07884335517883301,0.07674948871135712,0.07778014242649078,0.07745393365621567,0.07857870310544968,0.0778624564409256,0.07680807262659073,0.07332241535186768
4,2014-01-10,"[0.07323093 0.07703452 0.07759521 0.07580119 0.0755553  0.07662863
 0.07888141 0.07677633 0.07775095 0.07744597 0.07858235 0.0778861
 0.07683117]",1.0056026324461138,1.0062893835705964,0.00596723517334188,0.07703451812267303,0.07759521156549454,0.07580118626356125,0.07555530220270157,0.07662862539291382,0.0788814052939415,0.07677632570266724,0.07775095105171204,0.07744596898555756,0.07858234643936157,0.07788609713315964,0.07683116942644119,0.07323092967271805
5,2014-01-13,"[0.07349525 0.07691474 0.07753745 0.07585718 0.07557034 0.07654994
 0.07883625 0.07679746 0.07778587 0.077463   0.07853866 0.07788454
 0.07676929]",1.0052234986865023,1.005302408706404,0.013437524230494031,0.07691474258899689,0.07753745466470718,0.07585717737674713,0.07557034492492676,0.0765499398112297,0.07883624732494354,0.07679746299982071,0.07778587192296982,0.07746300101280212,0.07853865623474121,0.07788453996181488,0.07676929235458374,0.07349525392055511
6,2014-01-14,"[0.07342681 0.07681382 0.07748553 0.07590662 0.07564871 0.0765347
 0.07888367 0.07685996 0.07778613 0.07751538 0.07855631 0.07787238
 0.07670996]",1.0089988373600611,1.0094450667389496,0.00786250168088708,0.07681381702423096,0.07748553156852722,0.07590661942958832,0.0756487101316452,0.076534703373909,0.07888367027044296,0.0768599584698677,0.07778612524271011,0.0775153785943985,0.07855631411075592,0.0778723806142807,0.07670996338129044,0.07342681288719177
7,2014-01-15,"[0.0731838  0.07688339 0.07749653 0.07591794 0.07563762 0.07655886
 0.07900838 0.07691341 0.07774476 0.0774959  0.07851952 0.07786774
 0.07677216]",1.0071121339428448,1.0078980205772545,0.007198699997706673,0.07688339054584503,0.07749652862548828,0.07591793686151505,0.07563762366771698,0.07655885815620422,0.07900837808847427,0.07691340893507004,0.07774475961923599,0.07749590277671814,0.07851951569318771,0.07786773890256882,0.07677216082811356,0.0731838047504425
8,2014-01-16,"[0.07318705 0.07679036 0.07747339 0.07592361 0.07572272 0.07657213
 0.07898542 0.07692089 0.07775229 0.07754119 0.07856157 0.07786736
 0.07670206]",1.0162808075451466,1.0170613608027081,0.011690832309727344,0.07679035514593124,0.07747338712215424,0.0759236067533493,0.07572271674871445,0.07657212764024734,0.07898542284965515,0.07692088931798935,0.07775229215621948,0.07754118740558624,0.07856156677007675,0.07786735892295837,0.0767020583152771,0.07318704575300217
9,2014-01-17,"[0.07321939 0.07679772 0.077495   0.07592658 0.07569321 0.07654338
 0.07895724 0.0769183  0.07774577 0.07752459 0.07856323 0.07790885
 0.07670677]",1.0187262018736014,1.0198677124513462,0.011744575205747593,0.076797716319561,0.07749500125646591,0.07592657953500748,0.07569321244955063,0.07654337584972382,0.07895724475383759,0.07691829651594162,0.07774576544761658,0.0775245875120163,0.07856322824954987,0.07790885120630264,0.07670676708221436,0.07321938872337341
10,2014-01-21,"[0.07287444 0.07680196 0.07740031 0.07598716 0.07575734 0.07650857
 0.07918321 0.07703715 0.0776799  0.07761159 0.07847098 0.0779647
 0.07672266]",1.0244386454027823,1.0270644252915733,0.006029201043145332,0.07680196315050125,0.0774003118276596,0.07598716020584106,0.07575733959674835,0.07650857418775558,0.07918320596218109,0.07703714817762375,0.07767990231513977,0.07761158794164658,0.07847098261117935,0.07796470075845718,0.0767226591706276,0.07287444174289703
