,Date,Weights,Profit,Base Profit,CVR,PFIN,SPXC,LECO,AMS,DGX,PMD,LH,CTO,FRPH,TRC,CIGI,cash
0,2014-01-06,"[0.09831116 0.         0.         0.10523265 0.1171881  0.11469321
 0.21624028 0.         0.11228428 0.12224854 0.         0.
 0.11380178]",0.9999999999909831,0.9999999999917246,0.0,0.0,0.1052326514082382,0.11718810082650512,0.11469320906980358,0.21624027564458315,0.0,0.11228427711072579,0.1222485422697517,0.0,0.0,0.11380178033987415,0.0983111633305183
1,2014-01-07,"[0.         0.         0.         0.11340885 0.12707282 0.12404096
 0.25860329 0.         0.12092594 0.13318928 0.         0.
 0.12275886]",1.0126322002164383,1.0126412260068063,0.0,0.0,0.11340885018697457,0.12707281808884704,0.12404095504296682,0.25860329480520367,0.0,0.1209259358767461,0.13318928181596734,0.0,0.0,0.12275886418329451,0.0
2,2014-01-08,"[0.         0.         0.         0.11231171 0.1261464  0.12314703
 0.26484759 0.         0.11973697 0.13238451 0.         0.
 0.12142578]",1.0064574138776676,1.0097812298264572,0.0,0.0,0.11231170976539738,0.1261463964107604,0.12314703298209347,0.26484759427317733,0.0,0.11973697469263071,0.1323845071639554,0.0,0.0,0.12142578471198537,0.0
3,2014-01-09,"[0.         0.         0.         0.11209005 0.12607234 0.12274484
 0.26617925 0.         0.11936693 0.13225995 0.         0.
 0.12128664]",1.016434458249831,1.0179533694694223,0.0,0.0,0.11209005041610368,0.12607233854261082,0.12274483569281783,0.2661792490656826,0.0,0.11936693220703974,0.13225995109608477,0.0,0.0,0.12128664297966076,0.0
4,2014-01-10,"[0.         0.         0.         0.11230821 0.12581181 0.12306518
 0.26636916 0.         0.1196098  0.13212081 0.         0.
 0.12071504]",1.0082267275392107,1.0166532856829233,0.0,0.0,0.11230820633378928,0.12581180800756397,0.123065177582569,0.26636915855390114,0.0,0.11960979755519266,0.13212081315525318,0.0,0.0,0.1207150388117308,0.0
5,2014-01-13,"[0.         0.         0.         0.11244299 0.1256876  0.12326557
 0.26628329 0.         0.11983143 0.13209297 0.         0.
 0.12039615]",1.0099131442498872,1.014827339983643,0.0,0.0,0.11244298601914639,0.1256876041885725,0.12326557070603623,0.26628328918764005,0.0,0.1198314341457084,0.13209296736946677,0.0,0.0,0.12039614838342949,0.0
6,2014-01-14,"[0.         0.         0.         0.1124083  0.12575968 0.12333868
 0.26619301 0.         0.1197836  0.13217292 0.         0.
 0.12034382]",1.0139335469182726,1.0101913453210358,0.0,0.0,0.11240829984202937,0.1257596761237894,0.12333867672080558,0.2661930110569733,0.0,0.11978359704413484,0.13217291809690898,0.0,0.0,0.12034382111535838,0.0
7,2014-01-15,"[0.         0.         0.         0.11237659 0.12593324 0.12336067
 0.26614207 0.         0.1195768  0.13231587 0.         0.
 0.12029475]",1.0205815468159125,1.004494137302687,0.0,0.0,0.1123765899058241,0.12593324082196589,0.12336066810287984,0.26614207296827364,0.0,0.11957680443568464,0.13231587458085906,0.0,0.0,0.12029474918451297,0.0
8,2014-01-16,"[0.         0.         0.         0.11240232 0.12567916 0.12372117
 0.26615957 0.         0.11987801 0.13217122 0.         0.
 0.11998855]",1.029245536245672,1.0240411034369232,0.0,0.0,0.11240231539322842,0.12567915849820063,0.12372117335119784,0.26615956904580274,0.0,0.11987801425433145,0.13217122125412478,0.0,0.0,0.1199885482031141,0.0
9,2014-01-17,"[0.         0.         0.         0.11232848 0.12568883 0.12361596
 0.26614336 0.         0.1198959  0.13216783 0.         0.
 0.12015964]",1.0325108603340827,1.0254249243400924,0.0,0.0,0.11232848265931128,0.12568882929573996,0.12361596205478563,0.26614335630553465,0.0,0.11989589977451105,0.13216783053925654,0.0,0.0,0.12015963937086095,0.0
10,2014-01-21,"[0.         0.         0.         0.11251746 0.12547746 0.12384165
 0.26609216 0.         0.1201556  0.13205837 0.         0.
 0.1198573 ]",1.0360734638991491,1.0267214472060051,0.0,0.0,0.11251745673202855,0.1254774593204195,0.12384164765233263,0.26609216416503706,0.0,0.12015559822299451,0.13205837418753996,0.0,0.0,0.11985729971964781,0.0
11,2014-01-22,"[0.         0.         0.         0.11249504 0.1255236  0.12390006
 0.26609422 0.         0.1201201  0.13208662 0.         0.
 0.11978037]",1.0357293999624206,1.0272875224882139,0.0,0.0,0.11249504152453874,0.1255235955539419,0.12390005624637451,0.2660942171688944,0.0,0.12012009919391144,0.13208661886149595,0.0,0.0,0.11978037145084305,0.0
12,2014-01-23,"[0.         0.         0.         0.11254566 0.12547587 0.12403287
 0.26604141 0.         0.12019487 0.13208008 0.         0.
 0.11962923]",1.0374011858839078,1.0299872767146447,0.0,0.0,0.11254566340698541,0.12547587282656725,0.12403286877408427,0.26604141385247154,0.0,0.12019487280318081,0.13208008326175824,0.0,0.0,0.11962922507495245,0.0
13,2014-01-24,"[0.         0.         0.         0.11271657 0.12521434 0.12441601
 0.26596023 0.         0.12054815 0.1319476  0.         0.
 0.11919711]",1.0313627764791613,1.029822080727894,0.0,0.0,0.11271657084129119,0.1252143365160816,0.12441600824840648,0.26596022631896377,0.0,0.12054814925072443,0.13194759570658152,0.0,0.0,0.11919711311795116,0.0
14,2014-01-27,"[0.         0.         0.         0.11266507 0.12513913 0.12456415
 0.26594571 0.         0.12068287 0.13193925 0.         0.
 0.11906382]",1.0224563707852747,1.0252296733657762,0.0,0.0,0.11266506774933618,0.1251391330003337,0.12456415019018949,0.26594571150228663,0.0,0.12068286994466253,0.13193924708800234,0.0,0.0,0.11906382052518923,0.0
