,Date,Weights,Profit,Base Profit,Volume,IEC,FLEX,SANM,CTS,IEX,FLS,GGG,ITT,CRY,ATRI,TFX,MMM,cash
0,2014-01-16,"[0.08057112 0.15949161 0.10667773 0.116143   0.10908727 0.
 0.07453747 0.         0.15606708 0.11054699 0.         0.
 0.08687773]",0.9981611422429909,0.998344934881643,0.9194288785045552,0.15949160820886024,0.10667772721337167,0.11614299853400424,0.10908726867302113,0.0,0.07453747335668415,0.0,0.1560670806057477,0.11054699372853152,0.0,0.0,0.08687772818433462,0.08057112149544474
1,2014-01-24,"[0.         0.19352066 0.08558134 0.12196279 0.14009809 0.
 0.         0.         0.06950837 0.17886213 0.         0.09472283
 0.11574378]",0.9971244072918172,0.9999531237191809,0.45529971688191206,0.19352066063553566,0.08558134279657915,0.12196279361623197,0.14009808882087985,0.0,0.0,0.0,0.06950836988577806,0.17886213069596427,0.0,0.09472282931386752,0.11574378423516354,0.0
2,2014-01-31,"[0.         0.16352327 0.07160615 0.06964388 0.15379617 0.09071211
 0.10376831 0.05204704 0.06812605 0.10186366 0.06535647 0.
 0.0595569 ]",0.9909567852380978,0.9865882072381479,0.6569291804052261,0.16352326567877665,0.07160614906008159,0.06964387580181156,0.15379617342450974,0.09071210679981132,0.10376831121407164,0.0520470409376517,0.06812605498057274,0.10186365988619707,0.06535646655153679,0.0,0.05955689566497927,0.0
3,2014-02-07,"[0.         0.17075896 0.07538068 0.05547768 0.16962401 0.10132475
 0.1156474  0.06495233 0.06370854 0.11758611 0.06553953 0.
 0.        ]",0.9683396932533906,0.9682719704465698,0.16848527484440862,0.17075895546521594,0.07538068420805127,0.055477681867926475,0.1696240107530546,0.10132475368885481,0.11564740259687743,0.06495233395375542,0.06370853868555901,0.11758611179104342,0.06553952698966185,0.0,0.0,0.0
4,2014-02-14,"[0.         0.17973608 0.08007648 0.         0.18079113 0.10369095
 0.12100986 0.06944864 0.06650676 0.13273836 0.06600175 0.
 0.        ]",0.9468808185803625,0.9576716771663119,0.11979023138504216,0.17973608034688712,0.08007648375622516,0.0,0.18079112519824148,0.10369094811557479,0.12100986172927994,0.06944863574662248,0.06650675988712246,0.1327383571905195,0.06600174802952716,0.0,0.0,0.0
5,2014-02-24,"[0.         0.17866056 0.07783895 0.         0.18157012 0.10020415
 0.12347937 0.07015577 0.06631834 0.13919796 0.06257476 0.
 0.        ]",0.9996412294370799,0.9947606971907095,0.026341270129704178,0.17866056390515372,0.07783895487289084,0.0,0.18157012219022656,0.10020415085922531,0.12347937434975559,0.07015577397523368,0.06631834114683488,0.1391979585327242,0.06257476016795534,0.0,0.0,0.0
6,2014-03-03,"[0.         0.1773589  0.08237457 0.         0.1814462  0.09610577
 0.12909489 0.06373439 0.05962804 0.1436057  0.06665155 0.
 0.        ]",1.029111865190214,1.017831360862448,0.050322714588196094,0.1773588957025801,0.08237457237203814,0.0,0.1814461965467554,0.09610577275235513,0.1290948862524768,0.06373439235365413,0.059628036223955835,0.1436056963803675,0.06665155141581716,0.0,0.0,0.0
7,2014-03-10,"[0.         0.16699428 0.07688966 0.05565423 0.17130268 0.08908258
 0.12363609 0.06029811 0.05766095 0.13383723 0.06464418 0.
 0.        ]",1.0266125735442264,1.0130078523465278,0.11130846766194633,0.16699428410701947,0.07688965714373294,0.0556542338309731,0.17130268485940658,0.08908258023334754,0.12363609131256971,0.060298110633366035,0.057660948065272805,0.1338372312718501,0.06464417854246156,0.0,0.0,0.0
8,2014-03-17,"[0.         0.1665348  0.07877653 0.05597802 0.17060362 0.09279673
 0.12179635 0.06120442 0.05449926 0.1360893  0.06172097 0.
 0.        ]",1.0429938184199687,1.0284464735242949,0.024764190188133278,0.16653479696688217,0.07877653181386646,0.05597802307973837,0.17060361869731705,0.09279672676819822,0.1217963466242183,0.06120442224467393,0.054499259469550365,0.1360893022121198,0.061720972123435296,0.0,0.0,0.0
9,2014-03-24,"[0.         0.17545357 0.08449381 0.06023181 0.17999028 0.10085463
 0.1291102  0.06344222 0.         0.14301961 0.06340387 0.
 0.        ]",1.0315020118785014,1.0182039292427076,0.10445392387972866,0.17545357187748545,0.0844938091015895,0.06023180732814405,0.17999028215383892,0.10085463072905057,0.12911020271790977,0.06344221874398313,0.0,0.14301960951947637,0.06340386782852227,0.0,0.0,0.0
10,2014-03-31,"[0.         0.17540998 0.08430499 0.0606159  0.1804862  0.09964498
 0.13087992 0.06236037 0.         0.14287583 0.06342184 0.
 0.        ]",1.0342865437045101,1.029443304220314,0.01702823452267096,0.17540998468498187,0.08430498511191548,0.06061589845552513,0.1804861960371561,0.09964498319000374,0.13087991651000688,0.0623603708594306,0.0,0.14287582558068335,0.06342183957029682,0.0,0.0,0.0
11,2014-04-07,"[0.         0.16543136 0.08086981 0.05856728 0.1710428  0.0874011
 0.12339583 0.0597869  0.05450044 0.13619206 0.06281242 0.
 0.        ]",1.0313224266976413,1.0206864810813137,0.10941543088910725,0.1654313614367678,0.0808698112431315,0.0585672798628633,0.1710427965607957,0.08740109899052861,0.12339583170018995,0.059786899099759344,0.05450044231338701,0.13619205840844112,0.06281242038413552,0.0,0.0,0.0
12,2014-04-14,"[0.         0.16386564 0.08188889 0.0976186  0.16086079 0.08213871
 0.1120837  0.         0.10881553 0.11286868 0.07985946 0.
 0.        ]",1.0301436564969289,1.0210515137596836,0.22485503595468662,0.16386563975945634,0.08188888960562513,0.09761859990095108,0.16086079394723027,0.08213871041502613,0.112083698126403,0.0,0.10881552842135613,0.11286867878942161,0.07985946103453027,0.0,0.0,0.0
