,Date,Weights,Profit,Base Profit,Volume,SPXC,PFIN,CVR,LECO,ITT,IEX,GGG,FLS,COHR,PKI,BIO,WAT,cash
892,2017-07-21,"[0.07767736 0.08602827 0.07942297 0.07972112 0.08702406 0.07693435
 0.08343012 0.08074474 0.08878005 0.         0.08834844 0.08443669
 0.08745182]",1.4322908216313033,1.5130174219492392,0.012512537985482406,0.08602827042341232,0.0794229656457901,0.0797211229801178,0.08702406287193298,0.0769343450665474,0.08343011885881424,0.08074474334716797,0.08878005295991898,0.0,0.08834844082593918,0.08443669229745865,0.08745181560516357,0.07767736166715622
893,2017-07-24,"[0.07762425 0.08610798 0.07947519 0.07959483 0.08698017 0.07699028
 0.08351987 0.08081633 0.08879852 0.         0.08841132 0.08436016
 0.08732108]",1.4324134005701452,1.5117475979506043,0.010065383232777579,0.08610797673463821,0.07947519421577454,0.07959482818841934,0.0869801715016365,0.0769902840256691,0.08351986855268478,0.08081632852554321,0.08879852294921875,0.0,0.08841131627559662,0.08436015993356705,0.08732108026742935,0.07762425392866135
894,2017-07-25,"[0.07766784 0.08604749 0.07948246 0.0796285  0.08687767 0.07689268
 0.08356427 0.08082959 0.08882132 0.         0.08844547 0.08437591
 0.08736681]",1.4333497226843912,1.5123998791628486,0.015211098931164294,0.08604749292135239,0.07948245853185654,0.07962850481271744,0.08687766641378403,0.0768926814198494,0.08356427401304245,0.08082959055900574,0.08882132172584534,0.0,0.08844546973705292,0.08437591046094894,0.08736681193113327,0.07766783982515335
895,2017-07-26,"[0.07761235 0.08606509 0.07940789 0.07975338 0.08701164 0.07691846
 0.0834819  0.08076531 0.08877867 0.         0.08839294 0.08442652
 0.08738583]",1.4238842926943591,1.5090736492835328,0.008962150414055119,0.08606509119272232,0.07940788567066193,0.07975337654352188,0.08701164275407791,0.07691846042871475,0.08348190039396286,0.08076531440019608,0.08877867460250854,0.0,0.08839293569326401,0.08442652225494385,0.08738582581281662,0.07761234790086746
896,2017-07-27,"[0.07748742 0.0862836  0.07935878 0.07965372 0.08767212 0.07707012
 0.08339119 0.08067635 0.08858639 0.         0.08824597 0.08438022
 0.08719408]",1.4191502940552432,1.5030976591810397,0.031515151928734296,0.0862836018204689,0.0793587788939476,0.07965371757745743,0.08767212182283401,0.07707012444734573,0.08339118957519531,0.0806763544678688,0.08858639001846313,0.0,0.08824596554040909,0.08438022434711456,0.08719407767057419,0.07748742401599884
897,2017-07-28,"[0.07747971 0.08623312 0.07942692 0.07974021 0.08707998 0.07700658
 0.08348818 0.0807309  0.08881945 0.         0.08841234 0.08424082
 0.08734181]",1.4224067549460486,1.5066517383695328,0.01982274315327446,0.08623311668634415,0.07942692190408707,0.07974021136760712,0.0870799794793129,0.07700657844543457,0.08348818123340607,0.08073090016841888,0.08881945163011551,0.0,0.0884123370051384,0.08424082398414612,0.08734180778265,0.07747970521450043
898,2017-07-31,"[0.07755841 0.08623396 0.07932933 0.0795899  0.08771712 0.07684512
 0.08324624 0.0805808  0.08875595 0.         0.08844417 0.08436076
 0.08733819]",1.3972788541893193,1.485021408526957,0.029254396055416725,0.0862339586019516,0.07932932674884796,0.07958990335464478,0.08771712332963943,0.07684512436389923,0.08324623852968216,0.08058080077171326,0.08875595033168793,0.0,0.08844417333602905,0.0843607634305954,0.08733819425106049,0.07755841314792633
899,2017-08-01,"[0.07744253 0.08620334 0.07926419 0.07958267 0.08731436 0.07627361
 0.08362602 0.08038493 0.08916808 0.         0.08885904 0.08420536
 0.08767591]",1.4044647224689368,1.4914443054570037,0.03261024875558404,0.08620333671569824,0.07926418632268906,0.07958266884088516,0.08731435984373093,0.0762736052274704,0.08362601697444916,0.08038492500782013,0.08916807919740677,0.0,0.08885903656482697,0.08420535922050476,0.08767590671777725,0.07744253426790237
900,2017-08-02,"[0.07737844 0.08630025 0.07923476 0.07955196 0.08746226 0.0762742
 0.08358618 0.08028461 0.08911818 0.         0.08885052 0.08427837
 0.08768025]",1.4059936035038147,1.494242704897808,0.010848235947024418,0.08630024641752243,0.0792347639799118,0.07955195754766464,0.08746226131916046,0.07627420127391815,0.0835861787199974,0.08028461039066315,0.08911818265914917,0.0,0.08885052055120468,0.08427836745977402,0.08768025040626526,0.07737843692302704
901,2017-08-03,"[0.07737274 0.08626585 0.0792611  0.0795993  0.08743043 0.07637748
 0.08356436 0.08034986 0.08907053 0.         0.08881997 0.08428005
 0.08760832]",1.4025109070941573,1.4521736447091718,0.004859701215828857,0.08626585453748703,0.07926110178232193,0.0795992985367775,0.0874304324388504,0.07637748122215271,0.08356435596942902,0.08034985512495041,0.08907052874565125,0.0,0.0888199731707573,0.08428005129098892,0.08760831505060196,0.07737273722887039
902,2017-08-04,"[0.07829829 0.08560295 0.08002476 0.07892812 0.08529214 0.07636371
 0.08402068 0.08149683 0.08926076 0.         0.08931699 0.08407583
 0.08731896]",1.4062602180059935,1.4334917324236314,0.014662646664462192,0.08560294657945633,0.08002476394176483,0.07892812043428421,0.08529213815927505,0.0763637125492096,0.08402068167924881,0.08149683475494385,0.0892607644200325,0.0,0.08931698650121689,0.08407583087682724,0.08731896430253983,0.07829828560352325
903,2017-08-07,"[0.07823543 0.08567721 0.0799895  0.07884012 0.0852447  0.07641219
 0.08404806 0.08149515 0.08931623 0.         0.08939587 0.08405646
 0.08728909]",1.3982690252656016,1.4248403029909886,0.006279083526365151,0.08567720651626587,0.07998950034379959,0.07884012162685394,0.08524470031261444,0.07641219347715378,0.08404805511236191,0.08149515092372894,0.089316226541996,0.0,0.08939586579799652,0.08405645936727524,0.08728909492492676,0.07823542505502701
904,2017-08-08,"[0.07851574 0.08538559 0.08002741 0.07883978 0.08504596 0.07624874
 0.08408649 0.08163712 0.08936048 0.         0.08949771 0.08408519
 0.08726978]",1.400340723644869,1.420522194323518,0.022869150655143524,0.08538559079170227,0.08002740889787674,0.07883977890014648,0.0850459635257721,0.07624873518943787,0.08408648520708084,0.08163712173700333,0.08936048299074173,0.0,0.08949770778417587,0.08408518880605698,0.08726978302001953,0.07851573824882507
905,2017-08-09,"[0.07829476 0.08550882 0.0797779  0.07916741 0.08573144 0.07593605
 0.08393083 0.08114335 0.08929055 0.         0.08938045 0.08423366
 0.08760481]",1.393422368246046,1.4241846077771154,0.025556401160513956,0.08550882339477539,0.07977790385484695,0.07916741073131561,0.08573143929243088,0.07593604922294617,0.08393082767724991,0.0811433494091034,0.089290551841259,0.0,0.08938045054674149,0.08423365652561188,0.08760480582714081,0.07829476147890091
906,2017-08-10,"[0.07822031 0.08554635 0.07969046 0.0791656  0.08588506 0.07588384
 0.08395165 0.08103827 0.08937629 0.         0.08941129 0.08417627
 0.0876546 ]",1.3801649163793757,1.415365350196882,0.015332540901567202,0.0855463519692421,0.07969046384096146,0.07916560024023056,0.08588505536317825,0.07588384300470352,0.08395165205001831,0.08103827387094498,0.0893762856721878,0.0,0.08941128849983215,0.08417627215385437,0.08765459805727005,0.07822030782699585
