,Date,Weights,Profit,Base Profit,CVR,PFIN,LECO,SPXC,HLX,ENSV,CLB,RES,FRPH,CTO,TRC,CIGI,cash
0,2014-01-06,"[0.07757651 0.         0.12107975 0.         0.10006429 0.08095504
 0.13011162 0.10543583 0.         0.11918847 0.08617052 0.07795677
 0.1014612 ]",0.9999999999907757,0.9999999999917246,0.0,0.12107975133401573,0.0,0.10006429055859475,0.08095504119037114,0.13011161821178924,0.10543582984480636,0.0,0.11918846692785096,0.08617052001061824,0.07795677324275854,0.1014612019225866,0.07757650675660843
1,2014-01-07,"[0.         0.         0.13310591 0.         0.1075864  0.08627694
 0.1443286  0.11429608 0.         0.13127181 0.09156046 0.08265164
 0.10892216]",1.0059373014075923,1.0089659655695649,0.0,0.13310591493210824,0.0,0.10758639621963263,0.08627693589851106,0.14432860191067087,0.11429607923958335,0.0,0.1312718111574496,0.0915604584368007,0.08265163972862997,0.1089221624766136,0.0
2,2014-01-08,"[0.         0.         0.13340883 0.         0.1073437  0.08613
 0.14499169 0.11429509 0.         0.13169713 0.09115884 0.08238254
 0.10859218]",1.004601449952534,1.0054120584392894,0.0,0.13340882513773655,0.0,0.10734369905372118,0.08613000419165903,0.1449916907188631,0.11429509102504593,0.0,0.13169712939921202,0.09115883894676051,0.0823825387924232,0.10859218273457848,0.0
3,2014-01-09,"[0.         0.         0.13347729 0.         0.10719489 0.08609925
 0.1451079  0.11424545 0.         0.13184531 0.09115708 0.08233794
 0.10853489]",1.0082074784219757,1.0111249936754594,0.0,0.13347728728557506,0.0,0.107194885716772,0.08609925200463335,0.14510789888053782,0.11424545135214956,0.0,0.1318453111114725,0.0911570834131197,0.08233793548092201,0.10853489475481816,0.0
4,2014-01-10,"[0.         0.         0.13333909 0.         0.1073142  0.08625786
 0.14490682 0.11424931 0.         0.13182176 0.09118092 0.08262515
 0.10830488]",1.0218797508151363,1.0163742112733696,0.0,0.13333909141336517,0.0,0.10731419845545462,0.0862578610077207,0.1449068232654113,0.11424931087681624,0.0,0.1318217622919086,0.09118092283766835,0.08262514898359742,0.10830488086805778,0.0
5,2014-01-13,"[0.         0.         0.13328149 0.         0.10727496 0.08647012
 0.14478965 0.11427472 0.         0.13186225 0.0911388  0.08281135
 0.10809666]",1.010282520914045,1.012460087912568,0.0,0.13328148614544902,0.0,0.10727496423108027,0.08647011682690009,0.14478965095456475,0.11427471844427337,0.0,0.13186225491781303,0.0911387989773851,0.08281135045094466,0.10809665905158965,0.0
6,2014-01-14,"[0.         0.         0.1333158  0.         0.10723298 0.08649135
 0.14481307 0.11429066 0.         0.13189453 0.09110566 0.08279344
 0.10806251]",1.0100656879711714,1.0094722421192206,0.0,0.13331580411699456,0.0,0.10723297953694079,0.0864913531829512,0.14481306601543442,0.11429066174150049,0.0,0.1318945314457001,0.09110565881314452,0.0827934392577369,0.10806250588959707,0.0
7,2014-01-15,"[0.         0.         0.13323083 0.         0.10741169 0.08647647
 0.14465773 0.11432811 0.         0.13186232 0.09114435 0.08295141
 0.10793709]",1.0094995595338299,1.0010559487878863,0.0,0.13323082947353315,0.0,0.10741169158450414,0.08647646916419792,0.14465772554546572,0.11432811227733126,0.0,0.1318623200246172,0.09114435339261573,0.08295140941319253,0.10793708912454231,0.0
8,2014-01-16,"[0.         0.         0.1331765  0.         0.10747724 0.08656605
 0.14457754 0.11430872 0.         0.13179088 0.09114786 0.08307122
 0.10788399]",1.0075715069964395,1.015819632526349,0.0,0.13317650409884352,0.0,0.10747724204728347,0.0865660474148967,0.14457753554736313,0.11430871706802481,0.0,0.13179088260138164,0.09114786134464278,0.08307121906873129,0.10788399080883264,0.0
9,2014-01-17,"[0.         0.         0.13326951 0.         0.10727197 0.08656846
 0.14469967 0.11426452 0.         0.13189289 0.09114272 0.08295414
 0.10793612]",1.0223662105122608,1.0220836849868429,0.0,0.13326950757983672,0.0,0.10727197039286891,0.08656845918878042,0.144699669414417,0.11426451915245756,0.0,0.131892889555131,0.09114272145757873,0.0829541427009457,0.10793612055798393,0.0
