,Date,Weights,Profit,Base Profit,Volume,KAMN,LAWS,WLFC,HDSN,BCRX,TTNP,TECH,NBIX,SUP,STRT,DORM,MOD,cash
0,2014-01-06,"[0.07257217 0.07845103 0.07446789 0.07822117 0.0786331  0.07643294
 0.07411248 0.08002141 0.07909958 0.07461762 0.07857405 0.07826243
 0.07653409]",0.9998144771957951,0.9998000000000002,0.9274277910590172,0.07845102995634079,0.07446788996458054,0.07822117209434509,0.07863309979438782,0.07643293589353561,0.07411248236894608,0.08002141118049622,0.07909958064556122,0.07461762428283691,0.0785740464925766,0.07826242595911026,0.07653409242630005,0.07257217168807983
1,2014-01-07,"[0.07278413 0.07727171 0.07657721 0.07836482 0.07853388 0.07793692
 0.07412535 0.08197264 0.07884316 0.07749806 0.07506466 0.07686455
 0.07416292]",1.0083074684536253,1.0089273225181659,0.01741163745789814,0.0772717073559761,0.07657720893621445,0.07836481928825378,0.07853388041257858,0.07793691754341125,0.07412534952163696,0.081972636282444,0.07884316146373749,0.07749805599451065,0.07506465911865234,0.07686454802751541,0.07416292279958725,0.07278412580490112
2,2014-01-08,"[0.07284803 0.07720292 0.0765211  0.07836761 0.07872812 0.07793879
 0.07409193 0.08182655 0.07883091 0.07761078 0.07501457 0.07680722
 0.07421152]",1.058936976679422,1.0627732830378176,0.013252988868375988,0.0772029235959053,0.07652109861373901,0.07836760580539703,0.07872812449932098,0.07793878763914108,0.07409193366765976,0.08182655274868011,0.07883090525865555,0.07761077582836151,0.07501456886529922,0.07680722326040268,0.07421151548624039,0.07284802943468094
3,2014-01-09,"[0.07324653 0.07729947 0.0767602  0.07831252 0.07915996 0.07750531
 0.07437836 0.08196513 0.07856717 0.07746372 0.07467537 0.07660416
 0.0740621 ]",1.07087163445766,1.0822257600167697,0.0862686062550512,0.07729946821928024,0.0767602026462555,0.07831252366304398,0.07915996015071869,0.07750530540943146,0.0743783563375473,0.0819651335477829,0.07856716960668564,0.07746371626853943,0.07467537373304367,0.07660415768623352,0.07406210154294968,0.073246531188488
4,2014-01-10,"[0.07325854 0.07728668 0.07669221 0.07824658 0.0789587  0.07763574
 0.07440893 0.08198348 0.07858169 0.07755154 0.07469667 0.07668553
 0.0740137 ]",1.083363669750421,1.0955141553205738,0.022659943962745063,0.07728667557239532,0.07669220864772797,0.0782465785741806,0.07895869761705399,0.0776357427239418,0.07440892606973648,0.08198348432779312,0.07858169078826904,0.07755153626203537,0.07469667494297028,0.07668553292751312,0.07401370257139206,0.07325854152441025
5,2014-01-13,"[0.07331328 0.0772078  0.07664246 0.07823723 0.0790673  0.07769729
 0.07439405 0.08189877 0.07859115 0.07761209 0.07466562 0.07666593
 0.07400698]",1.0875332356100527,1.1019434875704917,0.01503006598371719,0.07720780372619629,0.0766424611210823,0.07823722809553146,0.07906729727983475,0.07769729197025299,0.07439405471086502,0.0818987712264061,0.07859114557504654,0.07761209458112717,0.0746656209230423,0.07666593044996262,0.07400698214769363,0.07331328094005585
6,2014-01-14,"[0.07338455 0.07723016 0.0766689  0.07824834 0.07910841 0.07758953
 0.07445873 0.08190818 0.07851474 0.07757954 0.07465424 0.07666966
 0.07398499]",1.0962094157215276,1.113713154116987,0.0183190822289569,0.07723015546798706,0.07666889578104019,0.07824833691120148,0.07910840958356857,0.07758952677249908,0.07445873320102692,0.08190818130970001,0.07851473987102509,0.0775795429944992,0.0746542438864708,0.07666966319084167,0.07398498803377151,0.07338455319404602
7,2014-01-15,"[0.07343759 0.07713814 0.07659638 0.07829402 0.07919887 0.07765351
 0.07432833 0.08182266 0.07856409 0.07759859 0.07468231 0.07669212
 0.07399339]",1.0954823062840313,1.113022809310271,0.015529333881811182,0.07713814079761505,0.07659637928009033,0.07829402387142181,0.07919886708259583,0.07765351235866547,0.07432832568883896,0.08182266354560852,0.07856409251689911,0.07759859412908554,0.0746823102235794,0.0766921192407608,0.07399339228868484,0.07343758642673492
8,2014-01-16,"[0.07347789 0.07714531 0.07664883 0.07825179 0.0792011  0.07765673
 0.07446978 0.08187415 0.07852915 0.07757081 0.07462188 0.07663441
 0.07391819]",1.113533901565289,1.1361406003908445,0.017079646037744933,0.07714530825614929,0.07664883136749268,0.07825179398059845,0.0792011022567749,0.07765673100948334,0.07446978241205215,0.08187415450811386,0.07852914929389954,0.07757081091403961,0.07462187856435776,0.07663440704345703,0.07391819357872009,0.07347788661718369
9,2014-01-17,"[0.07344549 0.07711323 0.07665338 0.07832171 0.07927995 0.07758762
 0.07435977 0.08182058 0.07854059 0.0775897  0.074616   0.0766409
 0.07403109]",1.1055109185437488,1.1246365754266638,0.02885207519965977,0.07711322605609894,0.0766533762216568,0.07832171022891998,0.07927995175123215,0.07758761942386627,0.07435976713895798,0.08182057738304138,0.07854058593511581,0.07758969813585281,0.07461600005626678,0.07664090394973755,0.07403109222650528,0.07344549149274826
10,2014-01-21,"[0.07344262 0.07718714 0.0765412  0.07833236 0.07934859 0.07749069
 0.07440738 0.08178788 0.07847882 0.07750769 0.07472102 0.07671013
 0.07404452]",1.105305405861768,1.126291601887839,0.02154218381850079,0.07718713581562042,0.07654120028018951,0.07833236455917358,0.07934858649969101,0.07749068737030029,0.07440737634897232,0.08178787678480148,0.07847882062196732,0.07750768959522247,0.07472101598978043,0.07671012729406357,0.07404451817274094,0.07344262301921844
