,Date,Weights,Profit,Base Profit,Volume,ASYS,TRT,VECO,IVAC,BCRX,TECH,TTNP,NBIX,OLN,GRA,FMC,BCPC,cash
0,2014-01-06,"[0.10096408 0.09359208 0.10233329 0.         0.11961236 0.10088886
 0.11488586 0.         0.09573672 0.08510554 0.09679373 0.
 0.09008748]",1.0000000074415902,0.9999999999900002,0.8990359306335449,0.0935920849442482,0.10233329236507416,0.0,0.11961235851049423,0.10088886320590973,0.1148858591914177,0.0,0.09573671966791153,0.0851055383682251,0.09679373353719711,0.0,0.09008748084306717,0.10096407681703568
1,2014-01-07,"[0.10057568 0.09363659 0.10304338 0.         0.11944334 0.10092924
 0.11414932 0.         0.09539288 0.08558509 0.09659409 0.
 0.09065036]",1.0134659736564926,1.0132869590797948,0.0032864514608761265,0.09363659471273422,0.10304338485002518,0.0,0.11944334208965302,0.10092923790216446,0.1141493171453476,0.0,0.09539288282394409,0.0855850949883461,0.09659408777952194,0.0,0.09065035730600357,0.10057567805051804
2,2014-01-08,"[0.10114011 0.09358405 0.10275637 0.         0.11944335 0.10082585
 0.1144562  0.         0.09575309 0.08555043 0.09626465 0.
 0.09022591]",1.0696768528705012,1.0624099741478847,0.01656654798865431,0.09358405321836472,0.10275636613368988,0.0,0.11944334954023361,0.10082585364580154,0.11445619910955429,0.0,0.09575308859348297,0.08555042743682861,0.09626465290784836,0.0,0.09022591263055801,0.1011401116847992
3,2014-01-09,"[0.10035127 0.09349947 0.10296536 0.         0.11988588 0.10112447
 0.1144141  0.         0.0949455  0.08627888 0.09601059 0.
 0.09052447]",1.0924656660868237,1.0890453257280277,0.10552780280720664,0.09349946677684784,0.10296536237001419,0.0,0.1198858767747879,0.10112446546554565,0.11441410332918167,0.0,0.0949454978108406,0.08627887815237045,0.09601058810949326,0.0,0.09052447229623795,0.10035127401351929
4,2014-01-10,"[0.09992298 0.09350215 0.10260627 0.         0.12015506 0.10139734
 0.11431887 0.         0.09537102 0.08611307 0.09630077 0.
 0.0903125 ]",1.1219413972962313,1.1150472102333275,0.036141471295474945,0.09350214898586273,0.10260626673698425,0.0,0.12015505880117416,0.10139733552932739,0.11431887000799179,0.0,0.09537102282047272,0.08611307293176651,0.09630076587200165,0.0,0.09031249582767487,0.09992298483848572
5,2014-01-13,"[0.09955277 0.09353239 0.10258525 0.         0.12040457 0.10152579
 0.11416005 0.         0.09541044 0.08602446 0.09644543 0.
 0.09035884]",1.1300550537955636,1.12610977282767,0.03539548672861793,0.09353239089250565,0.10258524864912033,0.0,0.12040457129478455,0.10152579098939896,0.11416005343198776,0.0,0.09541044384241104,0.0860244631767273,0.09644543379545212,0.0,0.09035883843898773,0.09955277293920517
6,2014-01-14,"[0.09973235 0.0935562  0.10258298 0.         0.12034705 0.10139028
 0.11432462 0.         0.09554859 0.08602896 0.09627195 0.
 0.09021702]",1.1343603722335707,1.1356255291301953,0.026009875412904716,0.09355620294809341,0.10258297622203827,0.0,0.1203470453619957,0.1013902798295021,0.11432462185621262,0.0,0.0955485925078392,0.08602896332740784,0.09627194702625275,0.0,0.09021701663732529,0.09973234683275223
7,2014-01-15,"[0.09987872 0.09356093 0.10242589 0.         0.12028182 0.10124449
 0.11454661 0.         0.09587261 0.08584095 0.09633026 0.
 0.0900177 ]",1.1312757701830662,1.1276953576235644,0.011205581638729456,0.09356093406677246,0.10242588818073273,0.0,0.12028181552886963,0.1012444943189621,0.11454661190509796,0.0,0.09587261080741882,0.08584094792604446,0.09633025527000427,0.0,0.09001769870519638,0.0998787209391594
8,2014-01-16,"[0.09981191 0.09354728 0.10225723 0.         0.12033734 0.10121898
 0.11457337 0.         0.09614652 0.08578588 0.09644197 0.
 0.08987946]",1.1700489973794603,1.1672023985002828,0.013234260740274253,0.0935472846031189,0.10225722938776016,0.0,0.1203373447060585,0.10121898353099823,0.11457337439060211,0.0,0.09614652395248413,0.0857858806848526,0.09644196927547455,0.0,0.08987946063280106,0.09981191158294678
9,2014-01-17,"[0.09980055 0.09344788 0.10210921 0.         0.12048237 0.10140388
 0.11452542 0.         0.09626464 0.08595613 0.0962161  0.
 0.08979384]",1.1620356486435621,1.1579138753153524,0.026432580683757718,0.09344787895679474,0.10210920870304108,0.0,0.12048237025737762,0.10140388458967209,0.11452541500329971,0.0,0.09626463800668716,0.0859561339020729,0.0962160974740982,0.0,0.08979383856058121,0.09980054944753647
10,2014-01-21,"[0.09966122 0.09343358 0.10211023 0.         0.12052439 0.10134956
 0.1145362  0.         0.09628475 0.08594802 0.09628361 0.
 0.08986842]",1.1667146307723093,1.1627875196939068,0.019971744693555,0.09343358129262924,0.10211022943258286,0.0,0.12052439153194427,0.10134956240653992,0.11453620344400406,0.0,0.09628475457429886,0.08594802021980286,0.09628361463546753,0.0,0.08986841887235641,0.09966122359037399
11,2014-01-22,"[0.10008353 0.09337511 0.10202874 0.         0.12055484 0.10120893
 0.11478546 0.         0.09653816 0.08594891 0.09587937 0.
 0.08959693]",1.1797615738927283,1.175761271014815,0.01170854067813084,0.09337510913610458,0.1020287424325943,0.0,0.1205548420548439,0.10120893269777298,0.11478545516729355,0.0,0.09653815627098083,0.08594891428947449,0.09587936848402023,0.0,0.08959692716598511,0.10008352994918823
