,Date,Weights,Profit,Base Profit,Volume,BKTI,SCON,VSAT,MSI,MCD,EAT,JACK,PZZA,UVV,PYX,ANDE,STKL,cash
0,2014-01-06,"[0.08632779 0.11780296 0.10987602 0.09558215 0.08511933 0.08805735
 0.         0.10178687 0.09234241 0.         0.         0.13266812
 0.09043698]",0.9998172655582428,0.9998000000000002,0.9136722087860107,0.11780296266078949,0.10987602174282074,0.09558214992284775,0.08511932939291,0.08805735409259796,0.0,0.10178687423467636,0.09234241396188736,0.0,0.0,0.1326681226491928,0.09043698012828827,0.08632779121398926
1,2014-01-07,"[0.08655999 0.11811092 0.11036953 0.09580612 0.0847453  0.08784205
 0.         0.10196024 0.09256297 0.         0.         0.13211834
 0.08992458]",1.0078029010731273,1.0087970108543984,0.0030703073982805995,0.11811091750860214,0.11036953330039978,0.09580612182617188,0.08474530279636383,0.08784204721450806,0.0,0.10196024179458618,0.0925629660487175,0.0,0.0,0.1321183443069458,0.08992458134889603,0.08655998855829239
2,2014-01-08,"[0.08656496 0.118089   0.11043534 0.0958068  0.08475708 0.08785321
 0.         0.10189187 0.09253578 0.         0.         0.13218163
 0.08988438]",1.0339971578293627,1.0223315387504028,0.006938850656871541,0.11808899790048599,0.11043534427881241,0.0958067998290062,0.08475708216428757,0.08785320818424225,0.0,0.10189186781644821,0.09253577888011932,0.0,0.0,0.13218162953853607,0.08988437801599503,0.08656495809555054
3,2014-01-09,"[0.08651815 0.11805121 0.11017136 0.09570288 0.08480572 0.08793698
 0.         0.10186545 0.09249035 0.         0.         0.13238113
 0.0900768 ]",1.0240418170230294,1.0122130410487926,0.06080295926414975,0.1180512085556984,0.1101713553071022,0.0957028791308403,0.08480571955442429,0.08793697506189346,0.0,0.10186544805765152,0.09249034523963928,0.0,0.0,0.1323811262845993,0.09007679671049118,0.08651815354824066
4,2014-01-10,"[0.08651578 0.11802934 0.11005498 0.09581368 0.08483648 0.08785463
 0.         0.10210653 0.09246191 0.         0.         0.13215561
 0.09017102]",1.0406453976515093,1.0257318784255232,0.02793562116206205,0.11802934110164642,0.11005497723817825,0.09581367671489716,0.08483648300170898,0.08785463124513626,0.0,0.10210652649402618,0.09246190637350082,0.0,0.0,0.1321556121110916,0.09017102420330048,0.08651577681303024
5,2014-01-13,"[0.08650363 0.11791795 0.10996299 0.09575768 0.08492052 0.0878886
 0.         0.1020959  0.0924199  0.         0.         0.1322458
 0.090287  ]",1.0278489607983148,1.0148494275339195,0.02441516598640766,0.11791795492172241,0.10996299237012863,0.09575767815113068,0.08492051810026169,0.08788859844207764,0.0,0.10209590196609497,0.09241990000009537,0.0,0.0,0.13224579393863678,0.09028699994087219,0.08650363236665726
6,2014-01-14,"[0.08647718 0.11790114 0.10984101 0.09600752 0.08499096 0.08772341
 0.         0.10239325 0.09249884 0.         0.         0.13188593
 0.09028079]",1.0199439139948543,1.0065216612721812,0.019731536830981455,0.11790113896131516,0.1098410114645958,0.09600751847028732,0.0849909633398056,0.08772341161966324,0.0,0.1023932471871376,0.09249883890151978,0.0,0.0,0.13188593089580536,0.09028078615665436,0.08647717535495758
7,2014-01-15,"[0.0865244  0.11794962 0.10994788 0.09600049 0.0849013  0.08771206
 0.         0.10236208 0.09252445 0.         0.         0.13192387
 0.09015387]",1.0150166844893753,1.0021752236532786,0.009810355627850343,0.11794961988925934,0.10994787514209747,0.09600048512220383,0.08490129560232162,0.08771206438541412,0.0,0.10236208140850067,0.092524453997612,0.0,0.0,0.1319238692522049,0.09015386551618576,0.08652440458536148
8,2014-01-16,"[0.08658942 0.11808338 0.11007258 0.0959573  0.08473616 0.08774814
 0.         0.10226709 0.0925495  0.         0.         0.13200699
 0.0899894 ]",1.024629291019828,1.0116264826236587,0.01678949588576286,0.11808338016271591,0.11007258296012878,0.09595730155706406,0.0847361609339714,0.08774814009666443,0.0,0.10226708650588989,0.09254950284957886,0.0,0.0,0.13200698792934418,0.08998940140008926,0.08658941835165024
9,2014-01-17,"[0.08658125 0.11807296 0.11007366 0.09603142 0.08477676 0.08769581
 0.         0.10233255 0.09253397 0.         0.         0.13188213
 0.09001949]",1.0404544376369231,1.0278546330593368,0.009208934593191505,0.11807295680046082,0.11007366329431534,0.09603141993284225,0.08477675914764404,0.08769580721855164,0.0,0.10233254730701447,0.09253396838903427,0.0,0.0,0.13188213109970093,0.09001949429512024,0.08658125251531601
10,2014-01-21,"[0.08656975 0.11806595 0.1101129  0.09598832 0.08477053 0.08771668
 0.         0.10227331 0.09251396 0.         0.         0.13196093
 0.09002765]",1.0450545419241086,1.0320524758069727,0.017127282318170556,0.11806594580411911,0.11011289805173874,0.09598831832408905,0.08477053046226501,0.08771668374538422,0.0,0.10227330774068832,0.09251395612955093,0.0,0.0,0.131960928440094,0.09002765268087387,0.08656974881887436
11,2014-01-22,"[0.08658139 0.11807102 0.11005361 0.09609891 0.08478414 0.08764589
 0.         0.10241529 0.09256237 0.         0.         0.13178316
 0.09000421]",1.0410780608277599,1.0293639426560302,0.009657863029507953,0.11807101964950562,0.11005361378192902,0.09609891474246979,0.084784135222435,0.08764588832855225,0.0,0.1024152934551239,0.09256237000226974,0.0,0.0,0.1317831575870514,0.09000420570373535,0.08658138662576675
