,Date,Weights,Profit,Base Profit,PCAR,SPAR,F,OSK,HLX,CLB,ENSV,RES,BCPC,FMC,GRA,OLN,cash
0,2014-02-13,"[0.35122619 0.         0.         0.         0.07417555 0.12858394
 0.13097922 0.06655486 0.12483939 0.12364086 0.         0.
 0.        ]",0.9999999999935123,0.9999999999917246,0.0,0.0,0.0,0.07417554656865936,0.12858393598097975,0.13097922280275068,0.06655485540543155,0.12483938600828275,0.12364086416624036,0.0,0.0,0.0,0.35122618906765546
1,2014-02-14,"[0.17868515 0.         0.         0.         0.09150141 0.14706198
 0.15216431 0.07258579 0.1502406  0.14720562 0.         0.
 0.06055515]",0.9948929331882526,0.9954984009903347,0.0,0.0,0.0,0.09150140626378293,0.14706197862038212,0.15216431044614182,0.0725857917866359,0.15024059794489816,0.14720562025505476,0.0,0.0,0.06055514764241932,0.1786851470406849
2,2014-02-18,"[0.16925445 0.         0.         0.         0.09274027 0.16506222
 0.16935426 0.07935214 0.16314357 0.1610931  0.         0.
 0.        ]",1.00789450434848,1.008289038137722,0.0,0.0,0.0,0.09274026850026006,0.1650622186218723,0.169354256144733,0.07935214273542676,0.16314356504361102,0.16109309799657529,0.0,0.0,0.0,0.16925445095752165
3,2014-02-19,"[0.         0.06408808 0.11654011 0.09655549 0.13457222 0.
 0.08690687 0.11358646 0.14807808 0.14873127 0.         0.
 0.09094142]",1.0085460681866165,1.017405416493649,0.0640880775499587,0.11654011055676136,0.09655548598835088,0.13457222009033876,0.0,0.08690687354041354,0.11358646222370157,0.14807808238562814,0.14873126641828466,0.0,0.0,0.09094142124656236,0.0
4,2014-02-20,"[0.         0.06156777 0.12052791 0.09608081 0.12926339 0.
 0.08049111 0.10844983 0.13458492 0.13573437 0.         0.04348932
 0.08981058]",1.0191581898724087,1.0212598083795266,0.061567765573675826,0.12052790575487518,0.09608080581343166,0.12926339330609138,0.0,0.08049110901936882,0.10844983194362012,0.1345849155907709,0.1357343720501411,0.0,0.04348932153744807,0.0898105794105772,0.0
5,2014-02-21,"[0.         0.08711472 0.12559977 0.12347068 0.13509744 0.
 0.05626081 0.09130624 0.13710321 0.13735039 0.         0.
 0.10669674]",1.012097235802113,1.019827813253487,0.0871147178426429,0.12559977151473212,0.1234706801425643,0.13509743642780786,0.0,0.056260814765980834,0.09130624029426779,0.1371032119762595,0.13735038938560623,0.0,0.0,0.10669673765013842,0.0
6,2014-02-24,"[0.         0.08722694 0.12494863 0.1253452  0.13445413 0.
 0.05917039 0.0903033  0.13593142 0.13616283 0.         0.
 0.10645716]",1.028791400308268,1.0302236598889558,0.08722693988779999,0.12494862523054946,0.12534519887836085,0.13445412541131013,0.0,0.059170392164052954,0.090303298507568,0.13593142413107134,0.1361628313550697,0.0,0.0,0.10645716443421765,0.0
7,2014-02-25,"[0.         0.08629907 0.12464602 0.12479932 0.13415623 0.
 0.06061828 0.09205315 0.13559584 0.13584913 0.         0.
 0.10598296]",1.0203334139678013,1.0236890697500314,0.08629907449936698,0.1246460222337815,0.12479931531969396,0.13415622586612996,0.0,0.06061828122019099,0.09205315281761084,0.13559583841672956,0.13584912953600345,0.0,0.0,0.10598296009049273,0.0
8,2014-02-26,"[0.         0.07009551 0.12512134 0.11161137 0.13553479 0.
 0.07850513 0.10553619 0.13757971 0.13878654 0.         0.
 0.09722942]",1.0316287701757894,1.0336023905268166,0.07009551242069366,0.12512134074146042,0.11161137275623556,0.135534788504327,0.0,0.07850513003103897,0.10553618976018907,0.13757971041119968,0.1387865390940381,0.0,0.0,0.09722941628081772,0.0
9,2014-02-27,"[0.         0.07795911 0.12529402 0.10792485 0.12950789 0.
 0.05481018 0.09698551 0.13493913 0.13518652 0.         0.04404282
 0.09334997]",1.0210534915348322,1.0279888999857492,0.07795910959163155,0.12529401903422516,0.10792485215959825,0.12950788638052715,0.0,0.05481017818265357,0.09698550754049388,0.13493913275765526,0.1351865224310356,0.0,0.04404282202429735,0.09334996989788216,0.0
