,Date,Weights,Profit,Base Profit,Volume,TTNP,NBIX,BCRX,TECH,JKHY,STRM,UIS,EBIX,FMC,OLN,BCPC,GRA,cash
0,2014-01-06,"[0.07219611 0.07529864 0.07485318 0.07782446 0.07421234 0.07705408
 0.07855078 0.07804435 0.07868959 0.07732038 0.07776153 0.07914032
 0.07905421]",0.9998144317745087,0.9998000000000002,0.9278038814663887,0.07529864460229874,0.07485318183898926,0.07782445847988129,0.07421234250068665,0.07705408334732056,0.0785507783293724,0.0780443549156189,0.0786895900964737,0.07732038199901581,0.07776153087615967,0.0791403204202652,0.07905421406030655,0.0721961110830307
1,2014-01-07,"[0.07275993 0.07563927 0.07477741 0.07655597 0.07506549 0.07768115
 0.07730626 0.07895099 0.07826087 0.07773847 0.07833178 0.07936707
 0.07756534]",1.0114084290320164,1.0123457026689753,0.008447374523966034,0.0756392702460289,0.07477740943431854,0.07655596733093262,0.0750654935836792,0.07768114656209946,0.07730626314878464,0.07895099371671677,0.0782608687877655,0.07773847132921219,0.07833178341388702,0.07936707139015198,0.07756534218788147,0.07275993376970291
2,2014-01-08,"[0.07271732 0.07561893 0.07471511 0.07664819 0.07510108 0.07761583
 0.0773486  0.07886867 0.07822338 0.07767899 0.07844491 0.07944192
 0.07757709]",1.058019023996581,1.064437935685544,0.009198149804395423,0.0756189301609993,0.07471510767936707,0.07664819061756134,0.07510107755661011,0.07761583477258682,0.07734860479831696,0.07886867225170135,0.07822337746620178,0.07767898589372635,0.07844491302967072,0.07944191992282867,0.07757709175348282,0.07271731644868851
3,2014-01-09,"[0.07249813 0.07558709 0.07456518 0.07646526 0.07515676 0.07761608
 0.07728298 0.07899312 0.07852388 0.077763   0.07828698 0.07914557
 0.07811597]",1.0681940484078007,1.0827161665777776,0.08317635679380854,0.07558708637952805,0.07456517964601517,0.07646525651216507,0.07515675574541092,0.07761608064174652,0.07728298008441925,0.07899311929941177,0.07852388173341751,0.07776299864053726,0.07828697562217712,0.07914557307958603,0.07811596989631653,0.0724981278181076
4,2014-01-10,"[0.07246165 0.0755555  0.07445285 0.07649929 0.0752413  0.07754387
 0.07716236 0.07887924 0.07859002 0.07774536 0.0784008  0.07924017
 0.07822761]",1.0820993270877552,1.097587366648159,0.025966527499735104,0.07555550336837769,0.07445284724235535,0.07649929076433182,0.07524130493402481,0.07754386961460114,0.07716236263513565,0.07887923717498779,0.0785900205373764,0.07774536311626434,0.07840079814195633,0.07924016565084457,0.07822760939598083,0.07246164977550507
5,2014-01-13,"[0.07241065 0.07553847 0.07435806 0.0765378  0.0753625  0.07730864
 0.07727627 0.0787181  0.07859825 0.07767908 0.07842138 0.07940726
 0.07838356]",1.0829749812971885,1.1005094671055906,0.013509171654924605,0.07553847134113312,0.07435806095600128,0.07653780281543732,0.07536249607801437,0.07730863988399506,0.07727626711130142,0.07871810346841812,0.07859824597835541,0.07767908275127411,0.07842138409614563,0.07940725982189178,0.07838355749845505,0.07241065055131912
6,2014-01-14,"[0.07239426 0.07557729 0.07437185 0.07649843 0.07528079 0.07743796
 0.07713908 0.07879693 0.0786712  0.07771853 0.07845612 0.07927146
 0.07838611]",1.0813444400050753,1.102135551555046,0.015254991959872712,0.07557728886604309,0.07437185198068619,0.07649843394756317,0.07528078556060791,0.07743795961141586,0.07713907957077026,0.07879693061113358,0.07867120206356049,0.07771852612495422,0.07845611870288849,0.07927145808935165,0.0783861055970192,0.07239425927400589
7,2014-01-15,"[0.0724238  0.07565915 0.07442684 0.07653201 0.07524687 0.0772481
 0.07731522 0.07878449 0.07863496 0.07773504 0.07832354 0.07935182
 0.07831816]",1.0770283511397312,1.09761570048016,0.018055268437846633,0.07565914839506149,0.07442684471607208,0.07653200626373291,0.07524687051773071,0.07724809646606445,0.07731521874666214,0.07878448814153671,0.07863496243953705,0.077735036611557,0.07832353562116623,0.07935182005167007,0.07831816375255585,0.07242380082607269
8,2014-01-16,"[0.07241538 0.07566681 0.0743155  0.07645732 0.07529959 0.07718237
 0.07726153 0.07877701 0.07874867 0.07775249 0.07828663 0.07935523
 0.07848147]",1.1088467845870231,1.1354072347477446,0.013648516461356567,0.07566680759191513,0.07431550323963165,0.07645732164382935,0.07529959082603455,0.07718236744403839,0.0772615298628807,0.0787770077586174,0.0787486657500267,0.0777524933218956,0.07828662544488907,0.07935523241758347,0.07848146557807922,0.07241538166999817
9,2014-01-17,"[0.07239062 0.07557346 0.07429789 0.07645568 0.07543395 0.07715092
 0.07735403 0.07872067 0.07858984 0.07766198 0.07838152 0.07947169
 0.07851775]",1.0944743547327342,1.116691759533903,0.02099573883551539,0.07557345926761627,0.07429789006710052,0.07645567506551743,0.07543394714593887,0.07715091854333878,0.07735402882099152,0.07872067391872406,0.07858984172344208,0.07766198366880417,0.07838151603937149,0.07947169244289398,0.07851774990558624,0.07239062339067459
10,2014-01-21,"[0.0724279  0.07559107 0.07436682 0.07645288 0.07540809 0.0772268
 0.07730699 0.07869861 0.07859602 0.07770222 0.07838618 0.07936696
 0.07846949]",1.0984847621026468,1.1222449737453644,0.018565905125317816,0.0755910724401474,0.07436681538820267,0.07645288109779358,0.07540808618068695,0.07722679525613785,0.07730699330568314,0.07869861274957657,0.07859601825475693,0.07770221680402756,0.07838618010282516,0.07936695963144302,0.07846949249505997,0.072427898645401
