,Date,Weights,Profit,Base Profit,IEX,FLS,GGG,ITT,SANM,FLEX,CTS,IEC,ANDE,UVV,STKL,PYX,cash
0,2014-01-06,"[0.04658224 0.10263457 0.10480035 0.11297044 0.10617672 0.04783515
 0.05631163 0.06421502 0.0954175  0.09906467 0.         0.08144919
 0.0825425 ]",0.9999999999904658,0.9999999999917246,0.1026345735463447,0.1048003549273617,0.1129704441668525,0.10617672399423589,0.047835154244055336,0.05631163370488578,0.06421501907287311,0.09541750363444526,0.09906467401898725,0.0,0.08144918596244807,0.08254249547082125,0.046582237256689175
1,2014-01-07,"[0.         0.10882658 0.11123223 0.12071569 0.11285778 0.04780952
 0.05734962 0.06580418 0.10022166 0.10468651 0.         0.08455544
 0.08594079]",1.00743642596283,1.006942746394673,0.10882657568986219,0.11123223313021142,0.12071569490996469,0.11285777888474165,0.04780952478416844,0.0573496230967859,0.06580417557228031,0.10022166379771862,0.10468650625769298,0.0,0.08455543818043408,0.0859407856961396,0.0
2,2014-01-08,"[0.         0.1100429  0.11188711 0.12192608 0.11314849 0.04851275
 0.05400808 0.06434295 0.10113627 0.10502589 0.         0.0856731
 0.08429637]",0.9972971136236143,0.9982298520191989,0.11004290263786684,0.11188711119811641,0.12192608472512954,0.11314848649948495,0.048512749543942524,0.05400808495177519,0.0643429498721562,0.10113626820846248,0.10502588674573905,0.0,0.08567310122316993,0.08429637439415703,0.0
3,2014-01-09,"[0.         0.11132758 0.11215745 0.12259102 0.11326469 0.04954808
 0.05167221 0.06306458 0.101883   0.10517835 0.         0.08671295
 0.0826001 ]",0.9975543759684904,0.998953755866746,0.11132757853543701,0.11215744841880317,0.12259101978531874,0.11326468613922074,0.0495480840648689,0.05167220744265296,0.06306457953087488,0.10188299898044935,0.10517835006840215,0.0,0.08671294933940916,0.08260009769456311,0.0
4,2014-01-10,"[0.         0.1128629  0.11223463 0.12332232 0.11348089 0.05103951
 0.04942051 0.06123968 0.10254216 0.10558877 0.         0.08776879
 0.08049984]",0.9976392055128815,1.000534863827744,0.11286290281571824,0.1122346258894062,0.12332232061472616,0.11348088507316692,0.051039507813713775,0.04942051003518107,0.06123967700580436,0.1025421596029104,0.10558877372895367,0.0,0.08776879361476539,0.08049984380565368,0.0
5,2014-01-13,"[0.         0.11470978 0.11216171 0.12431941 0.11380307 0.05367112
 0.04691126 0.05844758 0.10325043 0.10615555 0.         0.08864554
 0.07792455]",0.9999074185348192,1.001598279563747,0.1147097815987124,0.11216171303135457,0.12431940509899773,0.11380306785567806,0.053671120945934306,0.04691126430350212,0.0584475794080908,0.10325042679097492,0.10615554833749517,0.0,0.08864554447864319,0.07792454815061668,0.0
6,2014-01-14,"[0.         0.11641094 0.11176213 0.12519152 0.114105   0.05656697
 0.04512623 0.0556775  0.10367114 0.106778   0.         0.08905694
 0.07565363]",0.9904187913464484,0.9926133834673433,0.11641093880875361,0.11176213460948622,0.1251915235914268,0.11410499890355276,0.05656696712783265,0.0451262316693313,0.05567749786641999,0.10367114073532678,0.10677800001953586,0.0,0.08905693720336953,0.07565362946496447,0.0
7,2014-01-15,"[0.         0.11787392 0.11109849 0.12631563 0.11443478 0.06008776
 0.04346952 0.05280259 0.10399769 0.10744434 0.         0.08903655
 0.07343874]",0.9815434307755841,0.9858880689027552,0.11787391962477992,0.11109848689209086,0.12631562961894427,0.11443477909676428,0.06008775771941973,0.0434695242362237,0.05280258834323163,0.10399768845843767,0.10744434326728107,0.0,0.08903654616985465,0.07343873657297208,0.0
8,2014-01-16,"[0.         0.12455149 0.11387906 0.13377685 0.11966483 0.06720094
 0.         0.0533574  0.10978438 0.11257026 0.         0.09249377
 0.07272102]",0.986686732238409,0.9893742058064866,0.12455148823224113,0.11387906492828329,0.13377684597664055,0.11966483324425742,0.06720093586463184,0.0,0.05335739535240256,0.10978438482883547,0.11257026486919396,0.0,0.09249376920219667,0.0727210175013172,0.0
9,2014-01-17,"[0.         0.1228074  0.11090243 0.13809833 0.11928264 0.0704398
 0.         0.05436391 0.11248014 0.11445275 0.         0.09165885
 0.06551374]",0.9947278746253848,0.996873117065215,0.1228074035928894,0.11090242610360014,0.1380983294874487,0.11928264171893176,0.07043979599071858,0.0,0.05436391427570106,0.11248014239066066,0.11445275023332893,0.0,0.09165885415562865,0.06551374205109213,0.0
10,2014-01-21,"[0.         0.06519662 0.05457786 0.13527516 0.11431944 0.
 0.05209131 0.09491757 0.11949357 0.10761033 0.10644418 0.06782329
 0.08225066]",0.9951317837520909,0.9964912023280337,0.06519662308436268,0.054577856291855686,0.13527515818896635,0.11431944093538084,0.0,0.05209131286348369,0.09491757108271259,0.11949357080288808,0.10761032891588203,0.10644418443385747,0.06782329172717469,0.08225066167343599,0.0
11,2014-01-22,"[0.         0.07126053 0.06423618 0.12275041 0.11524126 0.
 0.05686426 0.09192042 0.11390118 0.10325461 0.10937145 0.07122322
 0.07997648]",0.9941464995484961,0.9966738462683871,0.07126053060811263,0.06423618027453035,0.12275040626518656,0.1152412604532728,0.0,0.056864256150258766,0.09192041511100701,0.11390118116415313,0.1032546092339963,0.10937145495937411,0.07122322300116617,0.07997648277894212,0.0
12,2014-01-23,"[0.         0.07495593 0.06996481 0.11862332 0.11616625 0.
 0.06164991 0.09024709 0.11037618 0.10129091 0.10407817 0.06992178
 0.08272565]",0.9948552441437585,0.9969185697752928,0.07495592524404456,0.0699648069861945,0.11862331644077422,0.11616625331305805,0.0,0.0616499123107205,0.09024708542667537,0.11037618172935085,0.10129091174427349,0.10407817441120934,0.06992178190963487,0.08272565048406413,0.0
