,Date,Weights,Profit,Base Profit,TTNP,NBIX,BCRX,TECH,JKHY,STRM,UIS,EBIX,FMC,OLN,BCPC,GRA,cash
0,2014-01-06,"[0.09991076 0.         0.         0.11106854 0.1837037  0.
 0.         0.         0.1079966  0.         0.20207049 0.09606333
 0.19918659]",0.9999999999909991,0.9999999999917246,0.0,0.0,0.1110685389590786,0.18370369537931963,0.0,0.0,0.0,0.10799659605253002,0.0,0.20207049405714542,0.09606333324373505,0.19918658594323665,0.09991075636495457
1,2014-01-07,"[0.         0.         0.         0.11569119 0.20533479 0.
 0.         0.         0.11191075 0.         0.23477024 0.09997983
 0.2323132 ]",1.0090872404538,1.010384054238838,0.0,0.0,0.11569119204851229,0.20533479278312836,0.0,0.0,0.0,0.11191075243160224,0.0,0.23477023663515845,0.09997982941185775,0.23231319668974093,0.0
2,2014-01-08,"[0.         0.         0.         0.11359181 0.20499925 0.
 0.         0.         0.10988306 0.         0.237658   0.09839752
 0.23547037]",1.0071876099024746,1.0535006964684521,0.0,0.0,0.11359180716339222,0.20499924596819652,0.0,0.0,0.0,0.1098830565144591,0.0,0.2376579993142662,0.09839751733794136,0.2354703737017447,0.0
3,2014-01-09,"[0.         0.         0.         0.11348186 0.20507012 0.
 0.         0.         0.10969167 0.         0.23799182 0.0983679
 0.23539662]",1.0039813560021351,1.0686295534272245,0.0,0.0,0.11348186217724658,0.2050701197974802,0.0,0.0,0.0,0.10969167411889733,0.0,0.23799182445086278,0.0983678955267689,0.2353966239287443,0.0
4,2014-01-10,"[0.         0.         0.         0.11357438 0.20542277 0.
 0.         0.         0.10964538 0.         0.23789565 0.09845247
 0.23500935]",1.0232031616945594,1.0809384174522263,0.0,0.0,0.11357438364186212,0.20542277257685926,0.0,0.0,0.0,0.10964537791718731,0.0,0.23789565362262877,0.09845246692649692,0.23500934531496556,0.0
5,2014-01-13,"[0.         0.         0.         0.11356183 0.20553475 0.
 0.         0.         0.10957434 0.         0.23782438 0.0986285
 0.2348762 ]",1.0257080602676365,1.08335703444532,0.0,0.0,0.11356183098864359,0.2055347501123669,0.0,0.0,0.0,0.10957434276413418,0.0,0.2378243814225509,0.09862849765948044,0.234876197052824,0.0
6,2014-01-14,"[0.         0.         0.         0.11346063 0.2050615  0.
 0.         0.         0.10946962 0.         0.23823807 0.09858656
 0.23518362]",1.02283453271694,1.0847029414526086,0.0,0.0,0.11346063464948117,0.20506149782371125,0.0,0.0,0.0,0.1094696221117099,0.0,0.23823806539855596,0.09858656255892587,0.23518361745761604,0.0
7,2014-01-15,"[0.         0.         0.         0.11316964 0.20422816 0.
 0.         0.         0.10915944 0.         0.23864651 0.09873082
 0.23606543]",1.019330305996202,1.0809618693111052,0.0,0.0,0.11316964065844977,0.2042281637552102,0.0,0.0,0.0,0.10915944039334492,0.0,0.23864650793442777,0.09873081728712993,0.2360654299714374,0.0
8,2014-01-16,"[0.         0.         0.         0.11318866 0.20434467 0.
 0.         0.         0.10913871 0.         0.23840051 0.09902625
 0.23590121]",1.051237052216625,1.1122418503747962,0.0,0.0,0.11318865581099193,0.2043446710461624,0.0,0.0,0.0,0.10913871171816625,0.0,0.2384005068533202,0.09902624648985536,0.23590120808150378,0.0
9,2014-01-17,"[0.         0.         0.         0.11349264 0.20514697 0.
 0.         0.         0.10962687 0.         0.23798913 0.09869829
 0.23504609]",1.035001109001145,1.0967510871223212,0.0,0.0,0.11349263945441368,0.2051469694704374,0.0,0.0,0.0,0.10962687399350277,0.0,0.2379891322034887,0.09869829324062813,0.23504609163752938,0.0
10,2014-01-21,"[0.         0.         0.         0.11348169 0.20514958 0.
 0.         0.         0.10970381 0.         0.23801638 0.09857738
 0.23507116]",1.037679617380148,1.1013474719673295,0.0,0.0,0.11348168747959317,0.20514958334205816,0.0,0.0,0.0,0.10970380891928068,0.0,0.2380163795226727,0.09857738475505673,0.23507115598133863,0.0
11,2014-01-22,"[0.         0.         0.         0.11343085 0.20499541 0.
 0.         0.         0.10974273 0.         0.23811392 0.09849594
 0.23522116]",1.0486801279300344,1.1095673258985037,0.0,0.0,0.11343084963523208,0.20499540520189277,0.0,0.0,0.0,0.1097427312339558,0.0,0.23811391714215832,0.09849594136886425,0.23522115541789662,0.0
12,2014-01-23,"[0.         0.         0.         0.11345634 0.20492675 0.
 0.         0.         0.10974365 0.         0.23813416 0.09858618
 0.23515293]",1.0443873038162734,1.1100545592281326,0.0,0.0,0.11345633608440042,0.20492674697485283,0.0,0.0,0.0,0.1097436510988156,0.0,0.23813415718146483,0.09858617733816492,0.2351529313223015,0.0
13,2014-01-24,"[0.         0.         0.         0.1135013  0.20483648 0.
 0.         0.         0.10985697 0.         0.23823495 0.09846313
 0.23510718]",1.046338299067506,1.1188145162507905,0.0,0.0,0.11350129611209311,0.20483647794013082,0.0,0.0,0.0,0.10985696727212765,0.0,0.2382349491287699,0.09846313122610406,0.23510717832077446,0.0
14,2014-01-27,"[0.         0.         0.         0.11320116 0.20390788 0.
 0.         0.         0.10965839 0.         0.23879147 0.09847112
 0.23596998]",1.0287281669562411,1.1088246598795135,0.0,0.0,0.11320115970958836,0.203907878391772,0.0,0.0,0.0,0.10965838839284572,0.0,0.23879147095889897,0.09847112401650279,0.2359699785303922,0.0
