,Date,Weights,Profit,Base Profit,Volume,FMC,GRA,OLN,BCPC,XLNX,KOPN,MXIM,INTC,COHR,WAT,BIO,PKI,cash
0,2014-01-06,"[0.07316003 0.07807589 0.07529368 0.07747202 0.07836798 0.07739621
 0.07843476 0.07562662 0.07713421 0.07491447 0.07987595 0.0757435
 0.07850469]",0.9998146320059895,0.9998000000000002,0.9268399700522423,0.07807589322328568,0.07529367506504059,0.0774720162153244,0.07836797833442688,0.0773962065577507,0.07843475788831711,0.07562661916017532,0.07713421434164047,0.07491447031497955,0.07987594604492188,0.07574350386857986,0.07850468903779984,0.07316002994775772
1,2014-01-07,"[0.07444028 0.07747977 0.07629279 0.07722843 0.07840766 0.07606608
 0.07647232 0.07570968 0.0772321  0.07634526 0.08047468 0.07471079
 0.07914016]",1.0065466216174501,1.007088586740152,0.009048043533543729,0.0774797722697258,0.07629279047250748,0.07722842693328857,0.0784076601266861,0.07606607675552368,0.07647231966257095,0.07570967823266983,0.07723210006952286,0.07634525746107101,0.08047468215227127,0.07471079379320145,0.07914015650749207,0.07444027811288834
2,2014-01-08,"[0.07462689 0.07735893 0.07617138 0.07718558 0.07825387 0.07618707
 0.0763688  0.07583196 0.07722669 0.0764403  0.08049361 0.07474937
 0.07910556]",1.0008894103651715,1.0008594696744133,0.009641316801828295,0.07735893130302429,0.0761713832616806,0.07718557864427567,0.0782538652420044,0.07618706673383713,0.0763688012957573,0.07583196461200714,0.07722669094800949,0.07644029706716537,0.08049361407756805,0.07474936544895172,0.07910555601119995,0.07462688535451889
3,2014-01-09,"[0.07465588 0.07730173 0.0761334  0.07714038 0.07838319 0.07624852
 0.07633731 0.075852   0.0771438  0.07646867 0.08050728 0.07478728
 0.07904058]",1.0008598714226509,1.0008049611576102,0.007399351059720673,0.07730173319578171,0.07613340020179749,0.07714037597179413,0.0783831924200058,0.07624851912260056,0.0763373076915741,0.07585199922323227,0.07714380323886871,0.07646866887807846,0.08050727844238281,0.07478728145360947,0.07904057949781418,0.07465587556362152
4,2014-01-10,"[0.07486827 0.07720293 0.07619014 0.07710545 0.0783248  0.07625991
 0.0762366  0.07588013 0.07708196 0.07648978 0.08051135 0.07477084
 0.07907788]",1.005237566859654,1.0055197350167524,0.008227352541267018,0.0772029310464859,0.07619013637304306,0.07710544764995575,0.0783248022198677,0.07625991106033325,0.07623659819364548,0.07588012516498566,0.07708195596933365,0.07648978382349014,0.08051134645938873,0.07477083802223206,0.07907788455486298,0.07486826926469803
5,2014-01-13,"[0.07501268 0.07708161 0.07621096 0.07707458 0.07842446 0.07627659
 0.07618371 0.0759148  0.07697479 0.07653034 0.08047511 0.07482882
 0.07901156]",1.00507300219976,1.0054385816701616,0.006354821888462653,0.07708161324262619,0.07621096074581146,0.0770745798945427,0.07842446118593216,0.07627659291028976,0.07618370652198792,0.07591480016708374,0.0769747942686081,0.0765303373336792,0.08047511428594589,0.07482881844043732,0.07901155948638916,0.0750126764178276
6,2014-01-14,"[0.07498397 0.07711364 0.07628507 0.07710209 0.07856975 0.07623462
 0.07625745 0.07584606 0.07687864 0.07644882 0.08045121 0.07486051
 0.07896814]",1.0045299761712436,1.0049299605420599,0.009241176491129594,0.07711363583803177,0.07628507167100906,0.07710209488868713,0.07856974750757217,0.0762346163392067,0.07625745236873627,0.07584606111049652,0.0768786370754242,0.07644882053136826,0.08045120537281036,0.07486051321029663,0.07896813750267029,0.07498396933078766
7,2014-01-15,"[0.07511711 0.07712009 0.07629628 0.07710622 0.07846969 0.07617044
 0.07615975 0.07580069 0.07700215 0.07647    0.08045526 0.07475954
 0.07907277]",0.9990597394883215,0.9987543781930103,0.0062001248553475215,0.0771200880408287,0.07629628479480743,0.07710622251033783,0.07846969366073608,0.07617044448852539,0.07615974545478821,0.07580068707466125,0.0770021453499794,0.07646999508142471,0.08045525848865509,0.07475954294204712,0.07907276600599289,0.07511711120605469
8,2014-01-16,"[0.07479609 0.07725688 0.07642445 0.0771075  0.07866514 0.07610517
 0.07636256 0.07568726 0.0769752  0.07634187 0.08043293 0.07476078
 0.07908416]",1.018148975350075,1.0192678984180374,0.008836466669467165,0.07725688070058823,0.07642444968223572,0.0771075040102005,0.07866513729095459,0.07610516995191574,0.07636255770921707,0.07568725943565369,0.07697519659996033,0.07634187489748001,0.08043292909860611,0.07476077973842621,0.07908415794372559,0.07479608803987503
9,2014-01-17,"[0.07471091 0.07729296 0.07646021 0.07707915 0.07874218 0.07613316
 0.07629028 0.07571106 0.07698561 0.07641725 0.08044872 0.07469083
 0.07903769]",1.023026990964634,1.0245562628908587,0.006411126976167407,0.07729296386241913,0.07646020501852036,0.0770791545510292,0.07874217629432678,0.07613316178321838,0.07629027962684631,0.07571106404066086,0.07698561251163483,0.07641725242137909,0.08044872432947159,0.07469083368778229,0.07903768867254257,0.074710913002491
10,2014-01-21,"[0.0748946  0.07720903 0.07642408 0.07702117 0.07866707 0.07616267
 0.07622606 0.07571901 0.07699171 0.07642132 0.08046082 0.07467046
 0.079132  ]",1.0191600716261888,1.0201392986208095,0.008956277524279741,0.07720902562141418,0.07642408460378647,0.07702117413282394,0.07866707444190979,0.0761626660823822,0.07622606307268143,0.07571901381015778,0.07699170708656311,0.07642132043838501,0.08046082407236099,0.0746704638004303,0.07913199812173843,0.07489459961652756
