,Date,Weights,Profit,Base Profit,SUP,MOD,STRT,DORM,EAT,MCD,PZZA,JACK,MXIM,KOPN,XLNX,INTC,cash
0,2014-01-06,"[0.13280844 0.         0.         0.         0.12366373 0.
 0.         0.14542779 0.1238249  0.         0.18822462 0.28605051
 0.        ]",0.999999999991328,0.9999999999917246,0.0,0.0,0.0,0.12366373415644039,0.0,0.0,0.14542778787048524,0.1238249035919908,0.0,0.18822462447157243,0.28605050963698925,0.0,0.13280844027252184
1,2014-01-07,"[0.         0.         0.         0.         0.13181681 0.
 0.         0.15934342 0.13372202 0.         0.21320881 0.36190894
 0.        ]",1.0092517386685187,1.001999590853312,0.0,0.0,0.0,0.13181681363745096,0.0,0.0,0.15934341932561416,0.13372201847096352,0.0,0.2132088087532335,0.36190893981273786,0.0,0.0
2,2014-01-08,"[0.         0.         0.         0.         0.12854862 0.
 0.         0.15579978 0.13003833 0.         0.21007017 0.37554311
 0.        ]",0.9909812892796345,0.993002455351998,0.0,0.0,0.0,0.12854862046803453,0.0,0.0,0.1557997774996243,0.1300383265580612,0.0,0.21007016932919645,0.3755431061450835,0.0,0.0
3,2014-01-09,"[0.         0.         0.         0.         0.12770608 0.
 0.         0.15471676 0.1292289  0.         0.20871625 0.37963201
 0.        ]",0.9878028966783485,0.9935557511568607,0.0,0.0,0.0,0.12770608062990854,0.0,0.0,0.15471675578232985,0.12922889939397936,0.0,0.20871625235152935,0.37963201184225287,0.0,0.0
4,2014-01-10,"[0.         0.         0.         0.         0.12746388 0.
 0.         0.15438564 0.12897662 0.         0.20833305 0.3808408
 0.        ]",0.9949803385528204,0.9952970695010533,0.0,0.0,0.0,0.1274638839553641,0.0,0.0,0.15438563953894152,0.12897662475055585,0.0,0.20833304950781426,0.3808408022473243,0.0,0.0
5,2014-01-13,"[0.         0.         0.         0.         0.12787282 0.
 0.         0.15448044 0.128815   0.         0.20803504 0.38079669
 0.        ]",0.9869604816817943,0.9892397213820673,0.0,0.0,0.0,0.1278728203988706,0.0,0.0,0.15448044007738349,0.1288150048867161,0.0,0.20803504164586734,0.3807966929911625,0.0,0.0
6,2014-01-14,"[0.         0.         0.         0.         0.12748313 0.
 0.         0.15441668 0.12880632 0.         0.20819744 0.38109643
 0.        ]",0.9843584110661255,0.9889771870272601,0.0,0.0,0.0,0.12748313466486458,0.0,0.0,0.15441667942068873,0.12880632033976677,0.0,0.20819743667381013,0.38109642890086964,0.0,0.0
7,2014-01-15,"[0.         0.         0.         0.         0.12788234 0.
 0.         0.15447997 0.12889795 0.         0.20772478 0.38101496
 0.        ]",0.9838066947408031,0.9896003517818804,0.0,0.0,0.0,0.1278823376510593,0.0,0.0,0.15447997126757645,0.12889795004501112,0.0,0.20772477922111102,0.38101496181524214,0.0,0.0
8,2014-01-16,"[0.         0.         0.         0.         0.12740787 0.
 0.         0.15414115 0.1291346  0.         0.20768843 0.38162795
 0.        ]",1.0079573838842637,1.0006141347859785,0.0,0.0,0.0,0.12740786560721526,0.0,0.0,0.1541411479366217,0.129134599454931,0.0,0.20768843220469774,0.3816279547965343,0.0,0.0
9,2014-01-17,"[0.         0.         0.         0.         0.12731606 0.
 0.         0.15397676 0.12937487 0.         0.20726363 0.38206868
 0.        ]",1.0224745036529348,1.003229934335318,0.0,0.0,0.0,0.1273160569691058,0.0,0.0,0.15397676401140864,0.1293748655664658,0.0,0.20726363062327083,0.3820686828297488,0.0,0.0
10,2014-01-21,"[0.         0.         0.         0.         0.12757442 0.
 0.         0.15403235 0.12927879 0.         0.20722608 0.38188835
 0.        ]",1.0136754648450959,0.998066265444816,0.0,0.0,0.0,0.12757442387912563,0.0,0.0,0.15403235331943765,0.12927879000568662,0.0,0.20722608196752926,0.3818883508282208,0.0,0.0
