,Date,Weights,Profit,Base Profit,BKTI,MSI,VSAT,SCON,OLN,FMC,BCPC,GRA,CLB,RES,HLX,ENSV,cash
0,2014-01-06,"[0.074292   0.07617878 0.07871543 0.         0.15979217 0.10734495
 0.14606087 0.         0.09047565 0.14442018 0.12271996 0.
 0.        ]",0.999999999990743,0.9999999999917246,0.07617878447984396,0.07871543223390487,0.0,0.15979216613223418,0.10734495061787905,0.14606087169697962,0.0,0.0904756543466521,0.14442017800199586,0.1227199591839646,0.0,0.0,0.0742920033065456
1,2014-01-07,"[0.         0.07955852 0.08118165 0.         0.178208   0.11343292
 0.16091982 0.         0.09422549 0.15963572 0.13283789 0.
 0.        ]",1.0049169491557277,1.0058893336003976,0.07955852062777077,0.08118164985560258,0.0,0.17820799677996,0.11343292295021787,0.16091981819894127,0.0,0.0942254884878015,0.15963571573009125,0.13283788736961474,0.0,0.0,0.0
2,2014-01-08,"[0.         0.07825911 0.08053546 0.         0.17981492 0.11311101
 0.16184491 0.         0.09390712 0.16032389 0.13220358 0.
 0.        ]",1.0526235972840607,1.0245431702190768,0.07825911138456103,0.08053546315976884,0.0,0.17981492304775637,0.1131110123293695,0.16184490627972234,0.0,0.09390711656407286,0.16032388965155267,0.13220357758319623,0.0,0.0,0.0
3,2014-01-09,"[0.         0.07800662 0.08037834 0.         0.18008442 0.11305788
 0.16201898 0.         0.09392026 0.16039011 0.13214339 0.
 0.        ]",1.0310958594905422,1.0141800571653354,0.07800661963805532,0.08037833720288448,0.0,0.18008442441372283,0.11305788054384817,0.16201897850661082,0.0,0.09392025565738679,0.16039011021893976,0.1321433938185519,0.0,0.0,0.0
4,2014-01-10,"[0.         0.07764828 0.08033319 0.         0.18026317 0.11315072
 0.16220302 0.         0.09408245 0.16037535 0.13194382 0.
 0.        ]",1.0490625650936023,1.028389369410929,0.07764827881713526,0.08033319106134502,0.0,0.18026317378271717,0.11315072298069444,0.16220301701829784,0.0,0.09408244624966461,0.16037535115457027,0.1319438189355753,0.0,0.0,0.0
5,2014-01-13,"[0.         0.07784293 0.08034595 0.         0.18020338 0.11310734
 0.16211466 0.         0.09398406 0.16037875 0.13202293 0.
 0.        ]",1.0349827927841,1.0168516390120246,0.07784292993432977,0.08034594757852706,0.0,0.18020338394927765,0.1131073425805528,0.16211465704359607,0.0,0.09398405695534989,0.16037875293356543,0.13202292902480128,0.0,0.0,0.0
6,2014-01-14,"[0.         0.07799109 0.08037291 0.         0.18013696 0.11306993
 0.16202084 0.         0.09391555 0.16040007 0.13209265 0.
 0.        ]",1.0349906332976175,1.0177369666624891,0.07799108916911462,0.08037290584877363,0.0,0.18013696359348028,0.11306993440330114,0.16202083626255262,0.0,0.09391554946644204,0.16040007354996638,0.1320926477063693,0.0,0.0,0.0
7,2014-01-15,"[0.         0.07795137 0.08028037 0.         0.18006276 0.11298338
 0.16210633 0.         0.09400583 0.16049174 0.13211822 0.
 0.        ]",1.025442669022651,1.0173381836111903,0.07795136863211866,0.08028037050650408,0.0,0.18006276295539705,0.11298337906274135,0.1621063262458927,0.0,0.09400583399685442,0.16049173686452592,0.1321182217359659,0.0,0.0,0.0
8,2014-01-16,"[0.         0.07847632 0.08037272 0.         0.17990561 0.11287139
 0.16181779 0.         0.09370142 0.16046603 0.13238872 0.
 0.        ]",1.046646948007192,1.0264611211927364,0.07847631901140922,0.08037272344300678,0.0,0.17990560669800784,0.11287139486972497,0.16181778572034985,0.0,0.09370141969154473,0.16046602941439667,0.13238872115155986,0.0,0.0,0.0
9,2014-01-17,"[0.         0.07779667 0.08035861 0.         0.18024169 0.11314345
 0.16211378 0.         0.09395383 0.16031486 0.13207712 0.
 0.        ]",1.0637494997354362,1.0355389227608969,0.07779666801284728,0.08035861078567456,0.0,0.18024169216502595,0.11314344560070037,0.16211377818742564,0.0,0.09395382614624996,0.16031485669304754,0.13207712240902877,0.0,0.0,0.0
10,2014-01-21,"[0.         0.07646237 0.08014226 0.         0.18075881 0.11347257
 0.16286816 0.         0.09461393 0.16018172 0.13150018 0.
 0.        ]",1.066830338969676,1.0442769018059304,0.07646237091436095,0.0801422626369417,0.0,0.18075880693473553,0.1134725707241989,0.16286816215956534,0.0,0.09461392792625012,0.16018171972394618,0.1315001789800012,0.0,0.0,0.0
11,2014-01-22,"[0.         0.07708063 0.08023698 0.         0.18057735 0.11335127
 0.16255689 0.         0.09427447 0.16017139 0.13175101 0.
 0.        ]",1.0679773807462751,1.0450144887923352,0.07708062917204316,0.08023697762052193,0.0,0.18057735422688467,0.11335127134635306,0.1625568878728179,0.0,0.09427447280444956,0.1601713944177146,0.13175101253921506,0.0,0.0,0.0
