,Date,Weights,Profit,Base Profit,ENSV,CLB,HLX,RES,MMM,ATRI,CRY,TFX,STKL,PYX,UVV,ANDE,cash
0,2014-01-06,"[0.0599646  0.11034147 0.10893751 0.09801599 0.         0.
 0.09968032 0.07667757 0.1229792  0.11176766 0.         0.11315923
 0.09847644]",0.9999999999905996,0.9999999999917246,0.11034146831548428,0.1089375097376916,0.09801599341143186,0.0,0.0,0.09968031950334254,0.07667757302861457,0.12297920387999813,0.11176766435748652,0.0,0.11315922724586955,0.09847644442148618,0.05996459609859457
1,2014-01-07,"[0.         0.11749018 0.11635194 0.10308136 0.         0.
 0.10503351 0.07960752 0.13329881 0.11980705 0.         0.12126164
 0.10406799]",1.0011563032170046,1.006011068502694,0.11749017703950507,0.11635193641476035,0.10308136130699116,0.0,0.0,0.10503350952473045,0.0796075229570488,0.13329881215711772,0.11980705323872519,0.0,0.12126163766128842,0.10406798969983265,0.0
2,2014-01-08,"[0.         0.11753195 0.11638616 0.10290282 0.         0.
 0.10488839 0.07925888 0.13376756 0.11996497 0.         0.1213884
 0.10391088]",0.9997832277885346,0.999210409210256,0.11753194908322957,0.11638615833477649,0.10290282147357445,0.0,0.0,0.10488838569878399,0.07925888184354475,0.13376755844976082,0.11996496733041175,0.0,0.12138840147359072,0.10391087631232757,0.0
3,2014-01-09,"[0.         0.11737296 0.11649868 0.10324232 0.         0.
 0.10529533 0.07918188 0.13360131 0.11966884 0.         0.12156949
 0.10356919]",1.003844877119642,0.9988748590070248,0.11737296467622571,0.11649868187194141,0.10324232304389286,0.0,0.0,0.10529532764071854,0.07918188037711886,0.13360130718157343,0.11966883770531234,0.0,0.12156948559432901,0.10356919190888783,0.0
4,2014-01-10,"[0.         0.11723792 0.11663559 0.10344387 0.         0.
 0.10566043 0.07931621 0.13330832 0.11931295 0.         0.12174912
 0.1033356 ]",1.0164792885273684,1.0031995325674061,0.11723792336702335,0.11663558631950836,0.10344386545283091,0.0,0.0,0.10566042955331632,0.07931620621626852,0.1333083202178283,0.11931294995585402,0.0,0.12174912287165522,0.10333559604571513,0.0
5,2014-01-13,"[0.         0.11720043 0.11666984 0.10315745 0.         0.
 0.10538069 0.07948371 0.13342913 0.11942422 0.         0.12171093
 0.10354359]",1.0191623721521081,1.005242153243566,0.11720042888774881,0.11666984413559302,0.10315745409529957,0.0,0.0,0.10538068806310324,0.07948371326776363,0.13342913228859204,0.11942421554052868,0.0,0.12171092872624574,0.10354359499512525,0.0
6,2014-01-14,"[0.         0.11735977 0.11653408 0.10302243 0.         0.
 0.10520839 0.07951514 0.13348848 0.1194773  0.         0.12164934
 0.10374507]",1.0192977437307202,1.0040959113709325,0.11735977058529723,0.11653408277655913,0.10302242631573512,0.0,0.0,0.10520838565083178,0.07951513967177566,0.13348848422832957,0.1194773010428467,0.0,0.12164934241050855,0.10374506731811625,0.0
7,2014-01-15,"[0.         0.11752807 0.11639376 0.10316255 0.         0.
 0.10537106 0.07939409 0.13342237 0.1193948  0.         0.12163153
 0.10370176]",1.014117802191292,1.000211074300917,0.117528073849279,0.11639375881150804,0.10316254552768699,0.0,0.0,0.10537106304862383,0.07939409369085036,0.13342237448618863,0.11939479922914097,0.0,0.12163152886244477,0.10370176249427744,0.0
8,2014-01-16,"[0.         0.11758769 0.11633327 0.10277533 0.         0.
 0.104885   0.07945909 0.13371965 0.11975328 0.         0.12146563
 0.10402107]",1.0100300347908957,1.0000440384920912,0.11758769019352902,0.1163332731194887,0.10277532509549792,0.0,0.0,0.10488499938401183,0.07945909247889112,0.13371964959557286,0.11975327631858515,0.0,0.12146562591592432,0.10402106789849908,0.0
9,2014-01-17,"[0.         0.11754149 0.11636668 0.10271203 0.         0.
 0.10484479 0.07955145 0.13371941 0.1197234  0.         0.12148425
 0.10405648]",1.0168028239313516,1.0054740990332292,0.11754148553526296,0.11636668124893824,0.10271203124771981,0.0,0.0,0.10484479227036472,0.07955145379778522,0.13371941489500477,0.11972340351105339,0.0,0.12148425358210681,0.10405648391176398,0.0
