,Date,Weights,Profit,Base Profit,Volume,DGX,LH,AMS,PMD,INTC,XLNX,MXIM,KOPN,C,UMBF,TCF,JPM,cash
0,2014-01-06,"[0.         0.08548849 0.07684492 0.08361378 0.08368112 0.0839356
 0.08627253 0.08492772 0.08160674 0.08312157 0.0860126  0.08096356
 0.0835314 ]",0.9998000372380018,0.9998000000000002,1.000000037252903,0.08548849076032639,0.07684491574764252,0.08361378312110901,0.083681121468544,0.08393560349941254,0.08627253025770187,0.08492772281169891,0.08160673826932907,0.08312156796455383,0.08601260185241699,0.08096355944871902,0.08353140205144882,0.0
1,2014-01-07,"[0.         0.08115672 0.08053391 0.0860496  0.08719251 0.08429059
 0.08741336 0.08136959 0.07968123 0.08188321 0.0848262  0.08136622
 0.08423687]",1.0139558758294192,1.0140469538512535,0.024475408886550483,0.08115672320127487,0.08053391426801682,0.08604960143566132,0.08719250559806824,0.08429058641195297,0.08741336315870285,0.08136959373950958,0.07968123257160187,0.08188321441411972,0.08482620120048523,0.08136621862649918,0.08423686772584915,0.0
2,2014-01-08,"[0.         0.08076207 0.08079433 0.08611634 0.08711421 0.08465818
 0.0879263  0.08141262 0.07923929 0.08251791 0.08414058 0.08077114
 0.08454703]",1.0115210165872723,1.0113662360243796,0.010655162257578253,0.08076206594705582,0.0807943344116211,0.08611633628606796,0.08711420744657516,0.0846581757068634,0.08792629837989807,0.08141262084245682,0.07923928648233414,0.08251791447401047,0.08414057642221451,0.08077114075422287,0.0845470279455185,0.0
3,2014-01-09,"[0.         0.08080689 0.08075598 0.08606128 0.08700459 0.08463806
 0.08776436 0.08143745 0.07932347 0.08253583 0.0842538  0.08093755
 0.08448069]",1.0127628969814824,1.012552870670464,0.013569163148864794,0.08080688863992691,0.08075597882270813,0.0860612764954567,0.08700459450483322,0.08463805913925171,0.08776436001062393,0.08143745362758636,0.07932347059249878,0.08253583312034607,0.08425380289554596,0.08093754947185516,0.08448068797588348,0.0
4,2014-01-10,"[0.         0.08075107 0.08079723 0.08609355 0.08704703 0.08461154
 0.08776651 0.08141915 0.07936116 0.08253094 0.0842541  0.08091775
 0.08444996]",1.011652922682419,1.01131586288981,0.011339038634301453,0.08075106889009476,0.0807972326874733,0.08609355241060257,0.0870470255613327,0.08461154252290726,0.08776650577783585,0.08141914755105972,0.07936115562915802,0.08253093808889389,0.08425410091876984,0.08091774582862854,0.08444996178150177,0.0
5,2014-01-13,"[0.         0.08073747 0.0808019  0.08604267 0.08698046 0.08460437
 0.08759516 0.08144612 0.07944495 0.08255705 0.08433994 0.08110878
 0.08434115]",1.0086547228586153,1.0082937437815487,0.010097217804841753,0.08073747158050537,0.08080190420150757,0.08604267239570618,0.08698046207427979,0.08460436761379242,0.08759515732526779,0.08144611865282059,0.07944495230913162,0.08255705237388611,0.084339939057827,0.08110877871513367,0.0843411460518837,0.0
6,2014-01-14,"[0.         0.08094058 0.08061773 0.08602057 0.08706912 0.0845669
 0.08759477 0.08127307 0.07960463 0.0822084  0.08448217 0.0812417
 0.08438034]",1.0087115954270072,1.0082054693665536,0.009554039919361676,0.08094058185815811,0.08061772584915161,0.0860205665230751,0.08706911653280258,0.08456689864397049,0.08759476989507675,0.08127307146787643,0.0796046331524849,0.08220840245485306,0.08448217064142227,0.08124169707298279,0.08438033610582352,0.0
7,2014-01-15,"[0.         0.08090284 0.08057906 0.08600213 0.0871334  0.08467891
 0.08774268 0.08120826 0.07954092 0.08215557 0.08439057 0.08117714
 0.08448856]",1.0160386274339819,1.0154245581203258,0.00823418763925876,0.0809028372168541,0.08057906478643417,0.08600212633609772,0.08713340014219284,0.08467891067266464,0.08774267882108688,0.0812082588672638,0.0795409232378006,0.08215557038784027,0.08439057320356369,0.08117713779211044,0.08448855578899384,0.0
8,2014-01-16,"[0.         0.08116189 0.08037227 0.08590724 0.08727412 0.08449155
 0.08778057 0.08107515 0.07957512 0.08181617 0.08467525 0.08125534
 0.08461531]",1.0301900226633482,1.0295852588852539,0.013663966596856003,0.08116189390420914,0.08037227392196655,0.08590724319219589,0.08727411925792694,0.0844915509223938,0.08778057247400284,0.08107515424489975,0.07957512140274048,0.0818161740899086,0.08467525243759155,0.08125533908605576,0.0846153050661087,0.0
9,2014-01-17,"[0.         0.08141565 0.08022965 0.08582833 0.08734586 0.0840665
 0.08739251 0.08111057 0.07996219 0.08132564 0.08528961 0.08169338
 0.08434013]",1.0302382102572256,1.0291815137516993,0.012927431964076586,0.08141564577817917,0.08022964745759964,0.08582833409309387,0.08734586089849472,0.08406650274991989,0.08739250898361206,0.08111057430505753,0.07996219396591187,0.08132564276456833,0.0852896124124527,0.0816933810710907,0.08434013277292252,0.0
10,2014-01-21,"[0.         0.08110768 0.0804737  0.08593502 0.08728494 0.08426309
 0.08756614 0.08119198 0.07978734 0.08168214 0.08492557 0.08141502
 0.08436737]",1.0239231587034996,1.0228305315675112,0.014680712860260072,0.08110767602920532,0.08047369867563248,0.08593501895666122,0.08728494495153427,0.08426308631896973,0.08756613731384277,0.08119197934865952,0.07978733628988266,0.08168213814496994,0.0849255695939064,0.08141501992940903,0.08436737209558487,0.0
