,Date,Weights,Profit,Base Profit,WLFC,KAMN,HDSN,LAWS,PMD,AMS,LH,DGX,AVX,IIN,HUBB,MRCY,cash
0,2014-01-06,"[0.14737572 0.         0.         0.33477294 0.         0.
 0.         0.15551482 0.         0.         0.36233652 0.
 0.        ]",0.9999999999914737,0.9999999999917246,0.0,0.0,0.33477293868259195,0.0,0.0,0.0,0.1555148213191127,0.0,0.0,0.3623365157183208,0.0,0.0,0.14737572427997447
1,2014-01-07,"[0.         0.         0.         0.39970596 0.         0.
 0.         0.15553661 0.         0.         0.44475743 0.
 0.        ]",1.02427777396948,1.0127026023125762,0.0,0.0,0.39970596327822067,0.0,0.0,0.0,0.15553660734311384,0.0,0.0,0.4447574293786655,0.0,0.0,0.0
2,2014-01-08,"[0.         0.         0.         0.40046283 0.         0.
 0.         0.14604107 0.         0.         0.4534961  0.
 0.        ]",1.0370702217525494,1.014987495429887,0.0,0.0,0.4004628344274916,0.0,0.0,0.0,0.14604106897243718,0.0,0.0,0.45349609660007123,0.0,0.0,0.0
3,2014-01-09,"[0.         0.         0.         0.39968415 0.         0.
 0.         0.144269   0.         0.         0.45604686 0.
 0.        ]",1.03596060337146,1.017277061744261,0.0,0.0,0.3996841450710267,0.0,0.0,0.0,0.14426899781465682,0.0,0.0,0.45604685711431653,0.0,0.0,0.0
4,2014-01-10,"[0.         0.         0.         0.39920338 0.         0.
 0.         0.14391771 0.         0.         0.45687891 0.
 0.        ]",1.0204618424739162,1.0174600056051968,0.0,0.0,0.3992033776973595,0.0,0.0,0.0,0.14391771229163697,0.0,0.0,0.45687891001100356,0.0,0.0,0.0
5,2014-01-13,"[0.         0.         0.         0.39915811 0.         0.
 0.         0.14378049 0.         0.         0.4570614  0.
 0.        ]",1.0151068266305678,1.0217297973478048,0.0,0.0,0.3991581087202518,0.0,0.0,0.0,0.14378049370788323,0.0,0.0,0.457061397571865,0.0,0.0,0.0
6,2014-01-14,"[0.         0.         0.         0.39917112 0.         0.
 0.         0.14368807 0.         0.         0.45714081 0.
 0.        ]",1.029217555240611,1.0269951644423796,0.0,0.0,0.3991711171099314,0.0,0.0,0.0,0.14368806856107466,0.0,0.0,0.45714081432899395,0.0,0.0,0.0
7,2014-01-15,"[0.         0.         0.         0.39925242 0.         0.
 0.         0.14362971 0.         0.         0.45711787 0.
 0.        ]",1.0077113051294289,1.0310480849123045,0.0,0.0,0.3992524211731515,0.0,0.0,0.0,0.14362970594514596,0.0,0.0,0.4571178728817024,0.0,0.0,0.0
8,2014-01-16,"[0.         0.         0.         0.39925184 0.         0.
 0.         0.14361777 0.         0.         0.45713039 0.
 0.        ]",1.0447602658949002,1.0414150206817943,0.0,0.0,0.3992518363765657,0.0,0.0,0.0,0.14361777151455077,0.0,0.0,0.45713039210888357,0.0,0.0,0.0
9,2014-01-17,"[0.         0.         0.         0.39926172 0.         0.
 0.         0.14353782 0.         0.         0.45720046 0.
 0.        ]",1.03549109564848,1.0473380404427708,0.0,0.0,0.39926172412210614,0.0,0.0,0.0,0.14353781676955055,0.0,0.0,0.4572004591083433,0.0,0.0,0.0
