,Date,Weights,Profit,Base Profit,Volume,MRCY,IIN,HUBB,AVX,VECO,ASYS,TRT,IVAC,LECO,PFIN,SPXC,CVR,cash
0,2014-01-06,"[0.07211953 0.07387388 0.08005764 0.07555077 0.07432333 0.07918003
 0.07863455 0.0777706  0.07805193 0.07800956 0.0766161  0.08229276
 0.07351933]",0.9998144313530208,0.9998000000000002,0.9278804808855057,0.07387388497591019,0.08005763590335846,0.07555077224969864,0.07432332634925842,0.0791800320148468,0.07863455265760422,0.07777059823274612,0.07805193215608597,0.07800956070423126,0.07661610096693039,0.08229275792837143,0.07351932674646378,0.07211952656507492
1,2014-01-07,"[0.0721738  0.07333099 0.07820926 0.07531375 0.07578005 0.07851601
 0.07939815 0.07700842 0.07812411 0.07650628 0.07837097 0.08123602
 0.07603218]",1.0122249957882439,1.012997886555292,0.013172281509209481,0.07333099097013474,0.07820925861597061,0.0753137543797493,0.07578004896640778,0.07851601392030716,0.07939814776182175,0.07700841873884201,0.07812411338090897,0.07650627940893173,0.07837097346782684,0.08123601973056793,0.07603217661380768,0.07217380404472351
2,2014-01-08,"[0.07221988 0.07338969 0.07822447 0.07521782 0.07585681 0.07866374
 0.07945041 0.07721994 0.07793677 0.07648508 0.07827052 0.08113694
 0.07592792]",1.0091672203874216,1.009849593722659,0.014541768659562311,0.0733896940946579,0.07822447270154953,0.0752178207039833,0.07585681229829788,0.07866373658180237,0.07945040613412857,0.07721994072198868,0.07793676853179932,0.07648508250713348,0.07827051728963852,0.08113694190979004,0.07592792063951492,0.07221987843513489
3,2014-01-09,"[0.07222667 0.07353997 0.07818652 0.07525874 0.07588625 0.07860666
 0.0792743  0.07714745 0.07812699 0.07630643 0.07823513 0.08121652
 0.0759884 ]",1.0243281768629295,1.026150876054486,0.010266034715013308,0.07353997230529785,0.0781865194439888,0.07525873929262161,0.07588624954223633,0.07860665768384933,0.07927430421113968,0.07714744657278061,0.07812698930501938,0.07630642503499985,0.07823513448238373,0.08121652156114578,0.07598839700222015,0.07222666591405869
4,2014-01-10,"[0.07224599 0.07352365 0.07828064 0.07536766 0.07593446 0.07864199
 0.07921593 0.07700297 0.07828745 0.07612597 0.07808662 0.08130743
 0.07597922]",1.039607089833107,1.04235502765138,0.01820762755053501,0.07352364808320999,0.07828063517808914,0.07536765933036804,0.07593446224927902,0.07864198833703995,0.07921592891216278,0.07700297236442566,0.07828744500875473,0.07612597197294235,0.07808662205934525,0.08130743354558945,0.07597921788692474,0.07224598526954651
5,2014-01-13,"[0.07228709 0.07369166 0.07830734 0.07524955 0.07605875 0.07866713
 0.07900681 0.07708344 0.07835615 0.07593721 0.07794686 0.08143763
 0.0759704 ]",1.0457390589482451,1.0499761595230632,0.026240504197800597,0.07369165867567062,0.07830733805894852,0.07524954527616501,0.0760587528347969,0.07866712659597397,0.07900681346654892,0.07708343863487244,0.07835614681243896,0.07593721151351929,0.07794685661792755,0.08143763244152069,0.07597039639949799,0.07228709012269974
6,2014-01-14,"[0.07225446 0.07370579 0.0782425  0.07511818 0.07611914 0.078722
 0.07907002 0.07731344 0.07815737 0.07598485 0.07800119 0.08135052
 0.07596052]",1.0463686901831637,1.0498708508232195,0.023576394380797644,0.07370579242706299,0.07824249565601349,0.07511818408966064,0.07611913979053497,0.07872200012207031,0.07907002419233322,0.07731343805789948,0.07815737277269363,0.07598485052585602,0.07800118625164032,0.08135052025318146,0.07596051692962646,0.07225445657968521
7,2014-01-15,"[0.07228474 0.07358138 0.07826085 0.07524221 0.07601022 0.07870302
 0.07913563 0.07714928 0.07824557 0.0760124  0.07801301 0.08137716
 0.07598452]",1.03211038880524,1.0339056955416743,0.01295881783474275,0.07358137518167496,0.07826085388660431,0.07524221390485764,0.07601021975278854,0.07870301604270935,0.07913563400506973,0.07714927941560745,0.07824557274580002,0.07601239532232285,0.07801301032304764,0.08137716352939606,0.07598451524972916,0.0722847431898117
8,2014-01-16,"[0.07224675 0.07357484 0.07825823 0.07530969 0.0759975  0.07861986
 0.07914407 0.07706758 0.07833198 0.07598788 0.0780449  0.08138748
 0.07602926]",1.063659164216978,1.0668202888990146,0.016094400431490692,0.07357484102249146,0.07825823128223419,0.07530968636274338,0.0759975016117096,0.07861986011266708,0.07914406806230545,0.07706757634878159,0.07833198457956314,0.07598787546157837,0.07804489880800247,0.0813874751329422,0.07602926343679428,0.0722467452287674
9,2014-01-17,"[0.07220105 0.07375372 0.07820426 0.07530439 0.07609649 0.07860202
 0.07909197 0.0769963  0.07839174 0.07589614 0.0780718  0.0813609
 0.07602919]",1.0722383045592296,1.0763685914796361,0.030460092255774403,0.073753722012043,0.07820425927639008,0.07530438899993896,0.07609649002552032,0.07860202342271805,0.07909197360277176,0.07699630409479141,0.07839173823595047,0.07589614391326904,0.07807179540395737,0.08136089891195297,0.07602918893098831,0.07220105081796646
10,2014-01-21,"[0.07218494 0.07364337 0.07823379 0.07532371 0.07611181 0.07863055
 0.07917887 0.07701301 0.07836104 0.0758869  0.07806142 0.08133237
 0.0760382 ]",1.0728300497673458,1.07784034650499,0.015235928249998849,0.07364337146282196,0.07823379337787628,0.07532370835542679,0.0761118084192276,0.07863055169582367,0.07917886972427368,0.07701300829648972,0.07836104184389114,0.07588689774274826,0.07806141674518585,0.08133237063884735,0.07603820413351059,0.07218493521213531
