,Date,Weights,Profit,Base Profit,Volume,TRC,FRPH,CIGI,CTO,DORM,MOD,STRT,SUP,AAME,FFG,CIA,GL,cash
0,2014-01-06,"[0.07266916 0.07752739 0.0764484  0.0779065  0.0763071  0.07720108
 0.07632188 0.07852503 0.07728518 0.07800542 0.07758524 0.07689239
 0.07732522]",0.9998145189372519,0.9998000000000002,0.9273308217525482,0.07752738893032074,0.07644839584827423,0.07790650427341461,0.07630709558725357,0.07720108330249786,0.07632187753915787,0.07852502912282944,0.07728517800569534,0.07800541818141937,0.07758524268865585,0.07689239084720612,0.07732521742582321,0.07266916334629059
1,2014-01-07,"[0.07239335 0.07806006 0.07668912 0.07715143 0.07706244 0.07639965
 0.07635606 0.07934158 0.07677223 0.07808073 0.0773555  0.07684353
 0.07749434]",1.001064234650481,1.0010968492271595,0.004971049102811253,0.07806006073951721,0.07668911665678024,0.07715142518281937,0.07706243544816971,0.07639964669942856,0.07635606080293655,0.0793415829539299,0.07677222788333893,0.07808072865009308,0.07735549658536911,0.07684352993965149,0.07749433815479279,0.07239335030317307
2,2014-01-08,"[0.07239715 0.07809629 0.07669659 0.07715588 0.07713933 0.07638785
 0.07637442 0.07927265 0.07672107 0.07802521 0.07740386 0.07684815
 0.07748153]",0.9908323562707386,0.9899999716830704,0.008418958290065382,0.07809629291296005,0.07669658958911896,0.07715588063001633,0.07713932543992996,0.07638785243034363,0.07637441903352737,0.07927265018224716,0.07672107219696045,0.0780252143740654,0.07740385830402374,0.07684814929962158,0.07748153060674667,0.0723971500992775
3,2014-01-09,"[0.07239462 0.07810475 0.07673386 0.07715916 0.07713988 0.07637621
 0.07636198 0.0792377  0.07668573 0.077994   0.07743346 0.07686072
 0.0775179 ]",0.9935371276527004,0.9930079961712677,0.006569412709089678,0.07810474932193756,0.07673385739326477,0.07715915888547897,0.07713988423347473,0.07637621462345123,0.07636198401451111,0.07923769950866699,0.07668573409318924,0.07799399644136429,0.07743345946073532,0.07686071842908859,0.07751790434122086,0.07239461690187454
4,2014-01-10,"[0.07242905 0.07817235 0.07674755 0.07717747 0.07719352 0.07635973
 0.07638594 0.07919499 0.07665797 0.07795492 0.07743388 0.0768171
 0.07747555]",0.9926371937781664,0.9919846546693716,0.009073534931314053,0.07817234843969345,0.07674755156040192,0.07717747241258621,0.07719352096319199,0.07635973393917084,0.07638593763113022,0.07919498533010483,0.0766579732298851,0.07795491814613342,0.07743388414382935,0.0768170952796936,0.07747554779052734,0.07242904603481293
5,2014-01-13,"[0.07249071 0.07825349 0.0767549  0.07721806 0.07726769 0.07633819
 0.07640342 0.07909205 0.07664152 0.07791157 0.07742715 0.076772
 0.07742926]",0.9877493164924014,0.9867725915823158,0.006580010676269131,0.07825348526239395,0.07675489783287048,0.07721806317567825,0.07726769149303436,0.07633818686008453,0.0764034166932106,0.07909204810857773,0.0766415223479271,0.07791157066822052,0.07742714881896973,0.07677200436592102,0.07742925733327866,0.07249071449041367
6,2014-01-14,"[0.07250393 0.07824148 0.07675811 0.077186   0.07728596 0.07629097
 0.07638721 0.07911073 0.07663555 0.0779416  0.07743315 0.07679344
 0.07743188]",0.9799859416109797,0.9783294989448816,0.006798843958479514,0.07824148237705231,0.07675810903310776,0.07718599587678909,0.07728596031665802,0.07629097253084183,0.07638721168041229,0.07911073416471481,0.07663554698228836,0.07794159650802612,0.07743314653635025,0.07679343968629837,0.07743187993764877,0.07250393182039261
7,2014-01-15,"[0.07251059 0.07828791 0.07681909 0.077246   0.07740297 0.07628023
 0.07641458 0.07905917 0.07659433 0.07786086 0.07744876 0.07671857
 0.07735694]",0.973780486854347,0.971609539019444,0.008951549269067863,0.07828791439533234,0.07681909203529358,0.07724599540233612,0.07740297168493271,0.07628022879362106,0.0764145776629448,0.0790591686964035,0.07659433037042618,0.07786086201667786,0.0774487555027008,0.07671856880187988,0.07735694199800491,0.07251058518886566
8,2014-01-16,"[0.07252035 0.07832849 0.07677774 0.07720245 0.07737064 0.07629887
 0.07641634 0.07906108 0.07661259 0.07789274 0.07742846 0.07673055
 0.07735966]",0.9750139074271886,0.9726420536261253,0.011612271761249864,0.07832849025726318,0.07677774131298065,0.0772024542093277,0.07737063616514206,0.07629887014627457,0.07641634345054626,0.07906108349561691,0.07661259174346924,0.0778927356004715,0.07742846012115479,0.07673054933547974,0.07735966145992279,0.07252035290002823
9,2014-01-17,"[0.07253131 0.07832258 0.07673114 0.07717668 0.07731777 0.07629924
 0.07640937 0.07905869 0.07661353 0.07791305 0.07744366 0.07677629
 0.07740667]",0.978970061528898,0.976911125803795,0.00942874313194561,0.07832258194684982,0.0767311379313469,0.07717667520046234,0.07731777429580688,0.07629924267530441,0.07640936970710754,0.0790586918592453,0.07661353051662445,0.07791304588317871,0.07744365930557251,0.07677628844976425,0.07740667462348938,0.0725313127040863
10,2014-01-21,"[0.07260254 0.0784262  0.07672943 0.07719468 0.0774123  0.07627908
 0.07643722 0.07901061 0.07660269 0.07787292 0.07742473 0.07668707
 0.07732051]",0.9738892265695097,0.9716286821913911,0.01283383624775798,0.07842620462179184,0.0767294317483902,0.07719467580318451,0.07741229981184006,0.07627908140420914,0.07643721997737885,0.07901060581207275,0.07660268992185593,0.07787291705608368,0.07742473483085632,0.07668706774711609,0.07732050865888596,0.0726025402545929
