,Date,Weights,Profit,Base Profit,SCON,VSAT,MSI,BKTI,PYX,STKL,ANDE,UVV,CIGI,FRPH,CTO,TRC,cash
0,2014-01-06,"[0.06688638 0.08211166 0.         0.09275331 0.         0.10909137
 0.10511035 0.14832053 0.09139102 0.0922052  0.11356789 0.0985623
 0.        ]",0.9999999999906689,0.9999999999917246,0.08211165575147093,0.0,0.09275330707363574,0.0,0.10909136795242858,0.1051103488446908,0.14832052641583537,0.09139102223401183,0.09220520100247986,0.11356789412644103,0.09856229987747066,0.0,0.06688637672153518
1,2014-01-07,"[0.         0.08587386 0.         0.10121176 0.         0.11620734
 0.11505661 0.16509798 0.09709636 0.09424224 0.12135539 0.10385847
 0.        ]",1.0099205937705014,1.0101105942685766,0.08587385791565634,0.0,0.10121176317508836,0.0,0.11620733557605967,0.11505661313130086,0.16509798135735151,0.09709635615917112,0.09424223954292857,0.12135538524062842,0.10385846790181505,0.0,0.0
2,2014-01-08,"[0.         0.08379527 0.         0.10146037 0.         0.1167947
 0.11605984 0.16718269 0.09620788 0.09426671 0.12047104 0.1037615
 0.        ]",1.021474382316967,1.020092105303707,0.08379526564662287,0.0,0.10146036712334885,0.0,0.11679470462915165,0.11605984495533563,0.16718268853390517,0.09620788356847808,0.09426671113625511,0.12047103763317506,0.10376149677372758,0.0,0.0
3,2014-01-09,"[0.         0.08389257 0.         0.10193424 0.         0.11634449
 0.11614109 0.16733039 0.09667092 0.0940356  0.120444   0.1032067
 0.        ]",1.018546943901405,1.0142303219523894,0.08389257241013875,0.0,0.10193424350988677,0.0,0.11634449365170496,0.1161410877247721,0.16733038535160571,0.09667091768347541,0.09403560250339559,0.12044399654821993,0.10320670061680082,0.0,0.0
4,2014-01-10,"[0.         0.0846223  0.         0.10201987 0.         0.11634975
 0.11607882 0.1673496  0.09673874 0.09335868 0.12069689 0.10278534
 0.        ]",1.0216680632870632,1.0233304618294117,0.08462230210169033,0.0,0.10201987251161075,0.0,0.11634975392231726,0.11607882117231465,0.1673496032948327,0.09673873895470966,0.09335868459019782,0.12069688527561488,0.10278533817671201,0.0,0.0
5,2014-01-13,"[0.         0.08509634 0.         0.10263941 0.         0.11578299
 0.11611653 0.16719426 0.0972582  0.09310841 0.12064062 0.10216325
 0.        ]",1.0161596760720173,1.0133198909204895,0.08509634219490089,0.0,0.10263940895500866,0.0,0.11578299074530775,0.11611652580663573,0.16719425548372263,0.09725819745085397,0.09310841025983786,0.12064061975101667,0.10216324935271578,0.0,0.0
6,2014-01-14,"[0.         0.08471796 0.         0.10242099 0.         0.11575915
 0.1158991  0.1672322  0.09685964 0.0935276  0.12093018 0.10265317
 0.        ]",1.0019340517435589,1.0027932704603355,0.08471795723433066,0.0,0.10242099342040005,0.0,0.1157591490109636,0.11589910449707237,0.16723219693630312,0.09685964485289264,0.09352760221955393,0.12093017940643573,0.10265317242204779,0.0,0.0
7,2014-01-15,"[0.         0.08433201 0.         0.10285408 0.         0.11533739
 0.11605605 0.16702839 0.09700572 0.09365309 0.12092428 0.102809
 0.        ]",0.9855029767017728,0.9955282941588242,0.08433200644214518,0.0,0.10285408439623998,0.0,0.11533738628420553,0.11605604713691835,0.1670283893531212,0.09700571686923018,0.0936530875627174,0.12092427922124747,0.10280900273417462,0.0,0.0
8,2014-01-16,"[0.         0.08469821 0.         0.102848   0.         0.11551767
 0.11615769 0.16694301 0.09668741 0.09344841 0.1209227  0.10277692
 0.        ]",0.9885903844160412,0.9990874241464126,0.08469820671830633,0.0,0.10284800028500302,0.0,0.11551766666538574,0.11615768552755464,0.16694300813906374,0.0966874077923104,0.09344840882896628,0.12092270076466934,0.1027769152787405,0.0,0.0
9,2014-01-17,"[0.         0.08422758 0.         0.10280606 0.         0.11579767
 0.11628264 0.16713919 0.09629183 0.09385636 0.12080325 0.10279543
 0.        ]",1.0094652208842185,1.0168341156255691,0.08422757825981621,0.0,0.10280605958410079,0.0,0.11579767036457057,0.11628263776760592,0.1671391903958489,0.0962918284734738,0.09385635547421485,0.12080325180325394,0.10279542787711499,0.0,0.0
10,2014-01-21,"[0.         0.08468705 0.         0.1033527  0.         0.11554203
 0.11658705 0.16699944 0.0966577  0.09330401 0.12061481 0.10225521
 0.        ]",1.011558096045144,1.0204657114973472,0.08468704976089299,0.0,0.10335270270766021,0.0,0.1155420256665265,0.11658704882632408,0.16699944298741837,0.09665770147713608,0.09330401010219663,0.12061480554336006,0.10225521292848508,0.0,0.0
11,2014-01-22,"[0.         0.08472446 0.         0.10355541 0.         0.11525118
 0.11656013 0.16691159 0.09677115 0.0933516  0.12069375 0.10218074
 0.        ]",1.0081409136852109,1.0161887107076086,0.08472445684477112,0.0,0.10355540583945272,0.0,0.11525118474007959,0.11656012780207523,0.16691158569725356,0.0967711476270517,0.09335160267075908,0.12069374915032657,0.10218073962823043,0.0,0.0
12,2014-01-23,"[0.         0.0845282  0.         0.10366864 0.         0.11535068
 0.11669935 0.16703014 0.09681252 0.09338208 0.1204856  0.10204278
 0.        ]",1.0092077294906856,1.0159516984479346,0.08452820065093881,0.0,0.10366864169725264,0.0,0.11535067919493021,0.11669934957633694,0.16703014420106949,0.09681252497507227,0.09338207836116727,0.12048560191081585,0.10204277943241659,0.0,0.0
