,Date,Weights,Profit,Base Profit,GRA,BCPC,OLN,FMC,HLX,RES,ENSV,CLB,GGG,ITT,FLS,IEX,cash
0,2014-01-06,"[0.1176912  0.1281942  0.         0.18687637 0.         0.15738061
 0.         0.         0.         0.13507578 0.         0.14673778
 0.12804405]",0.999999999991177,0.9999999999917246,0.12819420497808162,0.0,0.18687636562619994,0.0,0.15738061052614588,0.0,0.0,0.0,0.13507578084348187,0.0,0.14673777965308965,0.1280440543172936,0.11769120405570742
1,2014-01-07,"[0.         0.1423044  0.         0.21858889 0.         0.17977179
 0.         0.         0.         0.15134582 0.         0.16557702
 0.14241208]",1.0038819877902299,1.0059474943074316,0.14230439745224782,0.0,0.2185888917252213,0.0,0.1797717936277047,0.0,0.0,0.0,0.15134581926893764,0.0,0.16557701876633651,0.1424120791595521,0.0
2,2014-01-08,"[0.         0.14173275 0.         0.22037381 0.         0.18060191
 0.         0.         0.         0.15058629 0.         0.16510142
 0.14160382]",0.9950145021645196,1.0007432010832873,0.1417327503282252,0.0,0.2203738128952389,0.0,0.18060191091291417,0.0,0.0,0.0,0.1505862935284461,0.0,0.16510141710105067,0.1416038152341249,0.0
3,2014-01-09,"[0.         0.14178759 0.         0.22020926 0.         0.18104378
 0.         0.         0.         0.15061265 0.         0.16495093
 0.14139578]",0.9935185190843419,0.9996449895538415,0.14178759275212674,0.0,0.22020926395763443,0.0,0.18104378380643016,0.0,0.0,0.0,0.15061265152590042,0.0,0.16495093176756034,0.14139577619034785,0.0
4,2014-01-10,"[0.         0.14169603 0.         0.22003392 0.         0.18155977
 0.         0.         0.         0.15082047 0.         0.1644928
 0.141397  ]",0.992232252262085,1.0053712504354355,0.14169603007127726,0.0,0.22003392227572185,0.0,0.18155977296100842,0.0,0.0,0.0,0.1508204664706795,0.0,0.16449280326011861,0.1413970049611944,0.0
5,2014-01-13,"[0.         0.14168165 0.         0.22011752 0.         0.18147018
 0.         0.         0.         0.15080123 0.         0.16456995
 0.14135947]",0.9984840312719253,1.0045543332167883,0.14168164713087197,0.0,0.22011751676843094,0.0,0.18147018332998247,0.0,0.0,0.0,0.15080122573092292,0.0,0.16456995218422257,0.14135947485556927,0.0
6,2014-01-14,"[0.         0.14163276 0.         0.22014423 0.         0.18116138
 0.         0.         0.         0.15084575 0.         0.16480161
 0.14141427]",0.9989605914839143,1.0079832033942697,0.14163276371124184,0.0,0.2201442293224729,0.0,0.1811613803825368,0.0,0.0,0.0,0.15084574628082426,0.0,0.1648016131016444,0.14141426720127986,0.0
7,2014-01-15,"[0.         0.14177892 0.         0.21938257 0.         0.18211666
 0.         0.         0.         0.15114604 0.         0.16417347
 0.14140234]",0.987747045094346,1.0067027162274922,0.14177892469244144,0.0,0.21938257339655834,0.0,0.18211665650498932,0.0,0.0,0.0,0.1511460374819802,0.0,0.16417346656732848,0.14140234135670215,0.0
8,2014-01-16,"[0.         0.14136674 0.         0.22036638 0.         0.18107654
 0.         0.         0.         0.15106302 0.         0.164639
 0.14148832]",0.9987514527395154,1.0142871955106791,0.14136673878506967,0.0,0.22036638484117102,0.0,0.18107654136428494,0.0,0.0,0.0,0.15106301531255542,0.0,0.1646389968728558,0.1414883228240631,0.0
9,2014-01-17,"[0.         0.14134662 0.         0.22043845 0.         0.18094727
 0.         0.         0.         0.15111656 0.         0.16474757
 0.14140352]",1.0001191360765576,1.016610007434797,0.14134662493588934,0.0,0.2204384471670074,0.0,0.18094727214596557,0.0,0.0,0.0,0.1511165601923126,0.0,0.1647475733733753,0.14140352218544958,0.0
10,2014-01-21,"[0.         0.14186477 0.         0.21836238 0.         0.18263109
 0.         0.         0.         0.15197556 0.         0.1639791
 0.1411871 ]",0.997966383888588,1.022566712970201,0.14186477005595013,0.0,0.21836238052132614,0.0,0.18263108682677598,0.0,0.0,0.0,0.15197556138408164,0.0,0.1639791002205825,0.14118710099128357,0.0
11,2014-01-22,"[0.         0.14176799 0.         0.21878071 0.         0.1816707
 0.         0.         0.         0.15184711 0.         0.16465153
 0.14128197]",1.0064442348143299,1.0282635939284466,0.14176798534248397,0.0,0.21878070540875846,0.0,0.18167069520309584,0.0,0.0,0.0,0.15184711482293697,0.0,0.16465152549731907,0.14128197372540557,0.0
12,2014-01-23,"[0.         0.14202776 0.         0.21803686 0.         0.18226789
 0.         0.         0.         0.15200518 0.         0.16449473
 0.14116759]",1.0023268378869419,1.0275533329523838,0.14202776463909167,0.0,0.21803685849268553,0.0,0.18226788535046165,0.0,0.0,0.0,0.15200517904763053,0.0,0.16449472540659743,0.1411675870635331,0.0
