,Date,Weights,Profit,Base Profit,Volume,TCF,JPM,UMBF,C,CVR,LECO,SPXC,PFIN,PHM,BZH,MTH,NVR,cash
0,2014-01-06,"[0.07297932 0.0761667  0.07548767 0.0780304  0.07570504 0.08119269
 0.07814384 0.07645525 0.07769956 0.07564124 0.07797099 0.0773294
 0.07719794]",0.9998146331017687,0.9998000000000002,0.9270207211375237,0.07616670429706573,0.0754876658320427,0.07803039997816086,0.07570504397153854,0.08119269460439682,0.07814384251832962,0.0764552503824234,0.07769955694675446,0.07564123719930649,0.07797098904848099,0.07732939720153809,0.07719793915748596,0.07297931611537933
1,2014-01-07,"[0.07331303 0.07640089 0.07518861 0.07808257 0.07491794 0.08058447
 0.07813297 0.07683411 0.07861209 0.07659797 0.07824118 0.07709426
 0.07599992]",1.00619417754415,1.006686334393083,0.005941980507098344,0.07640089094638824,0.07518860697746277,0.07808256894350052,0.07491794228553772,0.08058446645736694,0.07813297212123871,0.07683411240577698,0.07861208915710449,0.07659797370433807,0.07824117690324783,0.07709426432847977,0.0759999230504036,0.07331302762031555
2,2014-01-08,"[0.07332526 0.0764009  0.07511178 0.07809699 0.07484175 0.08056442
 0.07809456 0.07686795 0.07872918 0.07666593 0.07829981 0.0770852
 0.07591628]",1.0054207694311865,1.005940707312857,0.00868179175063731,0.07640089839696884,0.07511177659034729,0.07809699326753616,0.07484174519777298,0.08056442439556122,0.07809455692768097,0.07686794549226761,0.07872917503118515,0.07666593044996262,0.07829980552196503,0.07708520442247391,0.07591627538204193,0.0733252614736557
3,2014-01-09,"[0.07330405 0.07641093 0.07508272 0.0781012  0.07480305 0.08058533
 0.07807758 0.07691191 0.07877249 0.07669644 0.07832097 0.07707828
 0.07585504]",1.001405052459149,1.0017114451816922,0.01018455297138433,0.0764109268784523,0.07508271932601929,0.07810119539499283,0.07480305433273315,0.08058533072471619,0.07807757705450058,0.07691191136837006,0.07877248525619507,0.07669644057750702,0.07832096517086029,0.07707827538251877,0.07585503906011581,0.07330404967069626
4,2014-01-10,"[0.0733351  0.07640553 0.07505493 0.07812373 0.07476499 0.0805703
 0.07806581 0.07693034 0.07881316 0.07671081 0.07832365 0.07707734
 0.07582432]",1.0089884939941118,1.0098096966628862,0.014869889288778936,0.07640552520751953,0.07505492866039276,0.07812372595071793,0.07476498931646347,0.08057030290365219,0.07806581258773804,0.07693034410476685,0.07881315797567368,0.07671080529689789,0.07832364737987518,0.07707733660936356,0.0758243203163147,0.07333509624004364
5,2014-01-13,"[0.07331009 0.07639937 0.07501151 0.07813843 0.07472858 0.08057319
 0.07806024 0.07700048 0.07885546 0.07675363 0.07833006 0.07709917
 0.0757398 ]",1.0084187663723572,1.0092462901239028,0.0072138874082136265,0.07639937102794647,0.07501151412725449,0.07813843339681625,0.0747285783290863,0.0805731862783432,0.07806023955345154,0.07700048387050629,0.07885546237230301,0.076753631234169,0.07833006232976913,0.07709917426109314,0.0757398009300232,0.07331009209156036
6,2014-01-14,"[0.07332063 0.07638812 0.07504222 0.07809081 0.07476901 0.08061636
 0.07807343 0.07697269 0.07880314 0.07671899 0.07832945 0.07708444
 0.07579072]",1.0024627650344813,1.0025074129479847,0.008070523859154938,0.07638812065124512,0.07504221796989441,0.07809080928564072,0.07476900517940521,0.08061636239290237,0.0780734270811081,0.07697268575429916,0.07880313694477081,0.07671898603439331,0.07832945138216019,0.07708444446325302,0.07579071819782257,0.07332063466310501
7,2014-01-15,"[0.07331698 0.0763978  0.07507306 0.07806557 0.07480316 0.08060439
 0.07806513 0.0769032  0.07878055 0.07670734 0.07835015 0.07706256
 0.07587013]",0.9868048145977308,0.9856966167817616,0.009818413746235377,0.07639779895544052,0.07507305592298508,0.07806556671857834,0.07480315864086151,0.08060438930988312,0.07806512713432312,0.07690320163965225,0.07878054678440094,0.07670734077692032,0.07835014909505844,0.07706256210803986,0.07587013393640518,0.07331698387861252
8,2014-01-16,"[0.07327067 0.0763735  0.07507433 0.07805827 0.07481339 0.08062005
 0.07804211 0.07692623 0.07875697 0.07672004 0.07838482 0.07708605
 0.07587358]",1.0071662157851198,1.0065683075075897,0.017964677806568047,0.07637350261211395,0.07507432997226715,0.07805827260017395,0.07481338828802109,0.08062005043029785,0.07804211229085922,0.07692623138427734,0.07875696569681168,0.07672004401683807,0.07838481664657593,0.07708604633808136,0.07587357610464096,0.07327067106962204
9,2014-01-17,"[0.07325481 0.07639257 0.07503898 0.07807603 0.07475735 0.08063098
 0.07803992 0.07697509 0.07882132 0.07674944 0.0783981  0.07707583
 0.07578955]",1.0054794046638207,1.0045057096582681,0.025128839313871706,0.07639256864786148,0.07503898441791534,0.07807603478431702,0.07475734502077103,0.08063098043203354,0.07803992182016373,0.07697509229183197,0.0788213238120079,0.07674943655729294,0.07839810103178024,0.07707583159208298,0.07578954845666885,0.07325480878353119
10,2014-01-21,"[0.07324663 0.07636759 0.07504072 0.07805318 0.07477945 0.08065065
 0.07803889 0.07697511 0.0787758  0.07674812 0.078417   0.07708723
 0.07581964]",1.0058535986305959,1.0048534685251187,0.009478908683978408,0.07636758685112,0.07504072040319443,0.07805317640304565,0.0747794508934021,0.08065064996480942,0.07803889364004135,0.07697511464357376,0.0787758007645607,0.07674811780452728,0.07841700315475464,0.07708723098039627,0.07581964135169983,0.07324662804603577
