,Date,Weights,Profit,Base Profit,Volume,C,JPM,TCF,UMBF,MTH,BZH,PHM,NVR,ENSV,RES,CLB,HLX,cash
0,2014-01-06,"[0.         0.         0.         0.13998204 0.         0.
 0.         0.13931835 0.         0.15861206 0.16316271 0.20648068
 0.19244416]",0.99999999999,0.9999999999900002,1.0,0.0,0.0,0.13998204469680786,0.0,0.0,0.0,0.1393183469772339,0.0,0.15861205756664276,0.1631627082824707,0.20648068189620972,0.19244416058063507,0.0
1,2014-01-07,"[0.         0.         0.         0.13995183 0.         0.
 0.         0.1397368  0.         0.15781754 0.1635259  0.20583993
 0.19312799]",1.005119587379568,1.0048160661132457,0.0029309540986721676,0.0,0.0,0.13995182514190674,0.0,0.0,0.0,0.13973680138587952,0.0,0.157817542552948,0.16352589428424835,0.20583993196487427,0.19312798976898193,0.0
2,2014-01-08,"[0.         0.         0.         0.13996954 0.         0.
 0.         0.13978493 0.         0.15787898 0.16342488 0.20586164
 0.19308005]",1.0033108130783017,1.0042796308954491,0.011498107199051182,0.0,0.0,0.13996954262256622,0.0,0.0,0.0,0.13978493213653564,0.0,0.15787898004055023,0.16342487931251526,0.2058616429567337,0.19308005273342133,0.0
3,2014-01-09,"[0.         0.         0.         0.13997763 0.         0.
 0.         0.13973095 0.         0.15803571 0.16329634 0.20597981
 0.19297959]",1.000394476794957,0.9953232273648477,0.013098409348876261,0.0,0.0,0.13997763395309448,0.0,0.0,0.0,0.13973094522953033,0.0,0.15803571045398712,0.16329634189605713,0.20597980916500092,0.1929795891046524,0.0
4,2014-01-10,"[0.         0.         0.         0.13995777 0.         0.
 0.         0.13970193 0.         0.15803292 0.16321254 0.20600605
 0.19308878]",1.0096419929834708,1.0059734147096426,0.00954659101003399,0.0,0.0,0.13995777070522308,0.0,0.0,0.0,0.1397019326686859,0.0,0.15803292393684387,0.16321253776550293,0.20600605010986328,0.19308878481388092,0.0
5,2014-01-13,"[0.         0.         0.         0.13998035 0.         0.
 0.         0.1397487  0.         0.15797642 0.16327402 0.20594251
 0.19307803]",1.0047251034540978,1.0019925899773052,0.028092312778538606,0.0,0.0,0.13998034596443176,0.0,0.0,0.0,0.1397487074136734,0.0,0.1579764187335968,0.16327401995658875,0.20594251155853271,0.19307802617549896,0.0
6,2014-01-14,"[0.         0.         0.         0.13999227 0.         0.
 0.         0.13966282 0.         0.15808278 0.16320935 0.20601921
 0.1930336 ]",1.0144003922469422,1.0030304118566662,0.013900567363080237,0.0,0.0,0.13999226689338684,0.0,0.0,0.0,0.13966281712055206,0.0,0.1580827832221985,0.16320934891700745,0.20601920783519745,0.1930336058139801,0.0
7,2014-01-15,"[0.         0.         0.         0.14001836 0.         0.
 0.         0.13958059 0.         0.15837577 0.16290814 0.20621604
 0.1929011 ]",1.0158300710476194,0.9982298733125672,0.008202083667650354,0.0,0.0,0.14001835882663727,0.0,0.0,0.0,0.1395805925130844,0.0,0.15837576985359192,0.162908136844635,0.20621603727340698,0.1929011046886444,0.0
8,2014-01-16,"[0.         0.         0.         0.1400017  0.         0.
 0.         0.1395818  0.         0.15828782 0.16305454 0.2061736
 0.19290052]",1.0175843275965366,1.0011339183255055,0.019811282208506854,0.0,0.0,0.14000169932842255,0.0,0.0,0.0,0.1395817995071411,0.0,0.15828782320022583,0.16305454075336456,0.2061735987663269,0.19290052354335785,0.0
9,2014-01-17,"[0.         0.         0.         0.14000642 0.         0.
 0.         0.13953903 0.         0.15833747 0.1630211  0.2062128
 0.19288321]",1.0194346083392916,1.0025812256859759,0.014692657459006284,0.0,0.0,0.140006422996521,0.0,0.0,0.0,0.13953903317451477,0.0,0.15833747386932373,0.16302110254764557,0.20621280372142792,0.1928832083940506,0.0
10,2014-01-21,"[0.         0.         0.         0.13997822 0.         0.
 0.         0.13932368 0.         0.15858491 0.1628203  0.20647454
 0.19281837]",1.0340522219612995,1.0110666380482072,0.006995262142182427,0.0,0.0,0.13997821509838104,0.0,0.0,0.0,0.13932368159294128,0.0,0.15858490765094757,0.16282029449939728,0.20647454261779785,0.19281837344169617,0.0
11,2014-01-22,"[0.         0.         0.         0.13998893 0.         0.
 0.         0.13933372 0.         0.1585607  0.1629187  0.20643978
 0.19275816]",1.0425847766927852,1.0165661484552813,0.02510772500645708,0.0,0.0,0.13998892903327942,0.0,0.0,0.0,0.13933372497558594,0.0,0.15856069326400757,0.16291870176792145,0.2064397782087326,0.19275815784931183,0.0
12,2014-01-23,"[0.         0.         0.         0.14000212 0.         0.
 0.         0.13923441 0.         0.15861067 0.16293025 0.20648287
 0.19273965]",1.0478104768832193,1.0189771473164135,0.015312350232953957,0.0,0.0,0.14000211656093597,0.0,0.0,0.0,0.13923440873622894,0.0,0.15861067175865173,0.16293025016784668,0.2064828723669052,0.19273965060710907,0.0
13,2014-01-24,"[0.         0.         0.         0.14000642 0.         0.
 0.         0.13910471 0.         0.15864936 0.16295503 0.20655265
 0.19273181]",1.0619869611350266,1.0299296487538994,0.010924184572585318,0.0,0.0,0.140006422996521,0.0,0.0,0.0,0.1391047090291977,0.0,0.15864935517311096,0.16295503079891205,0.206552654504776,0.1927318125963211,0.0
14,2014-01-27,"[0.         0.         0.         0.14000629 0.         0.
 0.         0.13912454 0.         0.15865242 0.16286117 0.2065578
 0.19279775]",1.0428310457538488,1.0161022173315268,0.02112955369462712,0.0,0.0,0.14000628888607025,0.0,0.0,0.0,0.1391245424747467,0.0,0.1586524248123169,0.162861168384552,0.20655779540538788,0.19279775023460388,0.0
