,Date,Weights,Profit,Base Profit,Volume,TECH,TTNP,BCRX,NBIX,PMD,DGX,AMS,LH,BCPC,GRA,OLN,FMC,cash
0,2014-01-06,"[0.         0.15436475 0.11743576 0.         0.13922282 0.
 0.11571656 0.20011008 0.13482912 0.         0.13832088 0.
 0.        ]",0.9997999627619982,0.9998000000000002,0.999999962747097,0.15436474978923798,0.1174357607960701,0.0,0.13922281563282013,0.0,0.11571656167507172,0.2001100778579712,0.13482911884784698,0.0,0.13832087814807892,0.0,0.0,0.0
1,2014-01-07,"[0.         0.15456352 0.11726753 0.         0.13908319 0.
 0.11591433 0.2001231  0.13474637 0.         0.13830194 0.
 0.        ]",1.0131242141339598,1.0159731010911943,0.0008189402992459533,0.1545635163784027,0.11726752668619156,0.0,0.13908319175243378,0.0,0.11591432988643646,0.20012310147285461,0.13474637269973755,0.0,0.13830193877220154,0.0,0.0,0.0
2,2014-01-08,"[0.         0.15452455 0.1174092  0.         0.13917574 0.
 0.11578512 0.2001408  0.1347014  0.         0.13826323 0.
 0.        ]",1.1054705244708047,1.069936146939091,0.009352763847422084,0.1545245498418808,0.11740919947624207,0.0,0.13917574286460876,0.0,0.11578512191772461,0.2001408040523529,0.13470140099525452,0.0,0.13826322555541992,0.0,0.0,0.0
3,2014-01-09,"[0.         0.15447566 0.11746022 0.         0.13944013 0.
 0.11558162 0.20028906 0.1348105  0.         0.13794276 0.
 0.        ]",1.1238411932340089,1.086887711649823,0.14720650734891066,0.15447565913200378,0.1174602210521698,0.0,0.1394401341676712,0.0,0.11558162420988083,0.2002890557050705,0.13481050729751587,0.0,0.13794276118278503,0.0,0.0,0.0
4,2014-01-10,"[0.         0.15456712 0.11746044 0.         0.13934967 0.
 0.11557075 0.20032069 0.13473773 0.         0.1379936  0.
 0.        ]",1.1186069724254926,1.095457546475157,0.04293367655904779,0.15456712245941162,0.11746043711900711,0.0,0.13934966921806335,0.0,0.11557075381278992,0.20032069087028503,0.13473773002624512,0.0,0.13799360394477844,0.0,0.0,0.0
5,2014-01-13,"[0.         0.1545646  0.11749471 0.         0.13933915 0.
 0.11555076 0.2003401  0.13475214 0.         0.13795853 0.
 0.        ]",1.1185732767165335,1.1011118495105976,0.012957436638589982,0.15456460416316986,0.11749470978975296,0.0,0.1393391489982605,0.0,0.11555076390504837,0.20034010708332062,0.13475213944911957,0.0,0.13795852661132812,0.0,0.0,0.0
6,2014-01-14,"[0.         0.1545394  0.1174465  0.         0.13934809 0.
 0.11554449 0.20034721 0.13476199 0.         0.13801229 0.
 0.        ]",1.1370339961046285,1.1136363401874048,0.01078884775194796,0.15453940629959106,0.11744649708271027,0.0,0.1393480896949768,0.0,0.11554449051618576,0.20034721493721008,0.1347619891166687,0.0,0.13801229000091553,0.0,0.0,0.0
7,2014-01-15,"[0.         0.15453269 0.11725967 0.         0.13933389 0.
 0.1156473  0.20028095 0.13477793 0.         0.1381676  0.
 0.        ]",1.1450179552131112,1.11748586619898,0.0233825057300104,0.15453268587589264,0.1172596663236618,0.0,0.13933388888835907,0.0,0.11564730107784271,0.20028094947338104,0.13477793335914612,0.0,0.138167604804039,0.0,0.0,0.0
8,2014-01-16,"[0.         0.15459499 0.11709001 0.         0.13916998 0.
 0.11573696 0.2003174  0.13479932 0.         0.13829139 0.
 0.        ]",1.1690411196987862,1.153389197619828,0.03099786154601591,0.15459498763084412,0.11709000915288925,0.0,0.13916997611522675,0.0,0.1157369613647461,0.2003173977136612,0.1347993165254593,0.0,0.1382913887500763,0.0,0.0,0.0
9,2014-01-17,"[0.         0.15462254 0.11740828 0.         0.13930652 0.
 0.11550446 0.20036784 0.13473912 0.         0.13805124 0.
 0.        ]",1.1530486330592322,1.133623212938832,0.011865179579550467,0.15462253987789154,0.11740828305482864,0.0,0.13930651545524597,0.0,0.11550445854663849,0.20036783814430237,0.13473911583423615,0.0,0.13805124163627625,0.0,0.0,0.0
10,2014-01-21,"[0.         0.15463118 0.11740483 0.         0.13931619 0.
 0.11552569 0.20035659 0.13472325 0.         0.13804226 0.
 0.        ]",1.1601593216096826,1.1387435922901914,0.0180277434916899,0.15463118255138397,0.11740483343601227,0.0,0.13931618630886078,0.0,0.11552568525075912,0.200356587767601,0.1347232460975647,0.0,0.13804225623607635,0.0,0.0,0.0
11,2014-01-22,"[0.         0.15455401 0.11750307 0.         0.13939697 0.
 0.11547063 0.2003502  0.13475554 0.         0.13796958 0.
 0.        ]",1.1614911580526868,1.147974957553232,0.004480900624017963,0.15455400943756104,0.11750306934118271,0.0,0.13939696550369263,0.0,0.11547062546014786,0.20035019516944885,0.13475553691387177,0.0,0.13796958327293396,0.0,0.0,0.0
12,2014-01-23,"[0.         0.15463698 0.11730766 0.         0.13926488 0.
 0.11559533 0.20033959 0.1347172  0.         0.13813838 0.
 0.        ]",1.1690573791698695,1.1526574538922847,0.010330740693957079,0.15463697910308838,0.11730766296386719,0.0,0.13926488161087036,0.0,0.11559533327817917,0.20033958554267883,0.13471719622612,0.0,0.13813838362693787,0.0,0.0,0.0
13,2014-01-24,"[0.         0.15462564 0.1173218  0.         0.1392773  0.
 0.1155468  0.20033836 0.13468942 0.         0.13820073 0.
 0.        ]",1.1758597677547802,1.1612705783307864,0.02666789971735856,0.15462563931941986,0.11732180416584015,0.0,0.13927729427814484,0.0,0.1155468001961708,0.20033836364746094,0.13468942046165466,0.0,0.13820073008537292,0.0,0.0,0.0
