,Date,Weights,Profit,Base Profit,Volume,BCRX,TTNP,NBIX,TECH,BIO,PKI,COHR,WAT,EBIX,JKHY,UIS,STRM,cash
0,2014-01-06,"[0.07782654 0.07626262 0.07755132 0.07610947 0.07595954 0.07508031
 0.0807617  0.07466801 0.07149573 0.08106587 0.07579856 0.08109678
 0.07632354]",0.9998155429657796,0.9998000000000002,0.9221734330058098,0.07626262307167053,0.07755132019519806,0.07610946893692017,0.07595954090356827,0.07508030533790588,0.08076170086860657,0.07466800510883331,0.07149572670459747,0.08106587082147598,0.07579855620861053,0.08109677582979202,0.07632353901863098,0.07782654464244843
1,2014-01-07,"[0.07737486 0.07598589 0.07770076 0.07633838 0.07571888 0.07455245
 0.08036918 0.07479525 0.07201284 0.08118232 0.07537008 0.08105484
 0.07754428]",1.0114497707823793,1.0123740212045529,0.004267292891826189,0.07598589360713959,0.07770076394081116,0.07633838057518005,0.07571887969970703,0.07455244660377502,0.08036918193101883,0.07479524612426758,0.07201284170150757,0.0811823159456253,0.07537008076906204,0.08105483651161194,0.07754427939653397,0.07737486064434052
2,2014-01-08,"[0.07745305 0.07600465 0.0777073  0.07653879 0.07564777 0.07452557
 0.08030863 0.07478884 0.07208732 0.08114783 0.07530625 0.08097447
 0.07750953]",1.062716160023308,1.0682364128906214,0.010493815111897687,0.07600464671850204,0.07770729809999466,0.07653878629207611,0.07564777135848999,0.07452557235956192,0.08030863106250763,0.07478883862495422,0.07208731770515442,0.08114783465862274,0.0753062516450882,0.08097446709871292,0.07750952988862991,0.07745304703712463
3,2014-01-09,"[0.07721112 0.07601452 0.07761225 0.07594515 0.07586543 0.07449958
 0.08054776 0.07481262 0.07188024 0.08133748 0.07543381 0.08137435
 0.07746565]",1.0791785980222672,1.092657239238374,0.08495530401372879,0.07601451873779297,0.0776122510433197,0.07594515383243561,0.07586543262004852,0.07449957728385925,0.0805477648973465,0.0748126208782196,0.07188024371862411,0.08133748173713684,0.07543380558490753,0.08137434720993042,0.07746565341949463,0.07721111923456192
4,2014-01-10,"[0.07742148 0.07601169 0.07763769 0.07618385 0.07579155 0.07445068
 0.08044074 0.07477877 0.07193995 0.0813052  0.07544287 0.0812232
 0.07737235]",1.0936370904968185,1.1080429952701194,0.02335925986050908,0.07601168751716614,0.0776376947760582,0.07618384808301926,0.07579155266284943,0.07445067912340164,0.08044074475765228,0.07477877289056778,0.07193995267152786,0.08130519837141037,0.07544286549091339,0.08122320473194122,0.07737234979867935,0.07742147892713547
5,2014-01-13,"[0.07729211 0.0759511  0.07758431 0.07596429 0.07582673 0.07463426
 0.08048636 0.07473934 0.071853   0.08128478 0.07543999 0.08129279
 0.07765096]",1.0968826519084427,1.1135984172601743,0.013926318499403338,0.07595109939575195,0.07758431136608124,0.0759642943739891,0.0758267268538475,0.07463426142930984,0.08048636466264725,0.07473934441804886,0.07185299694538116,0.0812847837805748,0.07543998956680298,0.08129279315471649,0.07765095680952072,0.07729210704565048
6,2014-01-14,"[0.07714564 0.07590505 0.0775583  0.07556391 0.07595726 0.07473742
 0.08052195 0.07472655 0.07175847 0.08125424 0.07553114 0.08140997
 0.07793014]",1.0972535010021518,1.1173843303353643,0.019148309660346034,0.07590505480766296,0.07755830138921738,0.07556390762329102,0.07595726102590561,0.07473742216825485,0.08052194863557816,0.07472655177116394,0.07175847142934799,0.08125424385070801,0.07553113996982574,0.08140996843576431,0.07793013751506805,0.07714563608169556
7,2014-01-15,"[0.07735537 0.07591547 0.07754263 0.07559519 0.07589415 0.07468577
 0.08049764 0.07468635 0.07174525 0.08125698 0.0754723  0.08138161
 0.07797124]",1.090518234103753,1.1103448039565929,0.02067807114425974,0.07591547071933746,0.07754263281822205,0.0755951926112175,0.07589415460824966,0.07468576729297638,0.08049764484167099,0.07468634843826294,0.07174524664878845,0.08125697821378708,0.07547230273485184,0.08138161152601242,0.07797124236822128,0.07735536992549896
8,2014-01-16,"[0.0771311  0.07591955 0.0775663  0.07549796 0.07597616 0.07469213
 0.0804925  0.07475054 0.07180218 0.08121786 0.07558321 0.08142368
 0.07794682]",1.1214058103436315,1.1470683097017629,0.012346493318979315,0.07591955363750458,0.07756629586219788,0.07549795508384705,0.07597615569829941,0.07469213008880615,0.08049250394105911,0.07475054264068604,0.07180218398571014,0.08121786266565323,0.07558321207761765,0.08142367750406265,0.07794681936502457,0.07713109999895096
9,2014-01-17,"[0.07693782 0.07586164 0.07756257 0.07542657 0.07598363 0.07481518
 0.08055713 0.07478315 0.07182582 0.08126941 0.07547581 0.08145059
 0.0780507 ]",1.108718779035447,1.1303730355053498,0.021865937237286165,0.07586164027452469,0.07756257057189941,0.07542657107114792,0.07598362863063812,0.07481517642736435,0.08055713027715683,0.07478315383195877,0.07182581722736359,0.08126941323280334,0.07547581195831299,0.08145058900117874,0.07805069535970688,0.07693781703710556
10,2014-01-21,"[0.0770288  0.0758913  0.07752054 0.07543384 0.07596724 0.07474156
 0.08059978 0.07478547 0.07184538 0.08128471 0.07547819 0.08146953
 0.07795363]",1.1123127977827756,1.135402340778621,0.020019180165718627,0.07589130103588104,0.07752054184675217,0.07543384283781052,0.07596723735332489,0.07474156469106674,0.08059977740049362,0.07478547096252441,0.07184538245201111,0.08128470927476883,0.07547818869352341,0.08146952837705612,0.07795362919569016,0.0770287960767746
