,Date,Weights,Profit,Base Profit,Volume,PHM,BZH,MTH,NVR,CIGI,TRC,FRPH,CTO,SUP,DORM,STRT,MOD,cash
0,2014-01-06,"[0.07527084 0.07562461 0.07630079 0.076504   0.07799461 0.07851923
 0.07593197 0.0798969  0.07401802 0.07586097 0.07910931 0.07888224
 0.07608649]",0.9998150541678071,0.9998000000000002,0.924729160964489,0.07562461495399475,0.07630079239606857,0.07650399953126907,0.07799460738897324,0.07851923257112503,0.07593197375535965,0.07989690452814102,0.07401802390813828,0.07586096972227097,0.0791093111038208,0.07888223975896835,0.07608649134635925,0.07527083903551102
1,2014-01-07,"[0.07570325 0.07563972 0.07624037 0.0761971  0.07794007 0.07866499
 0.07637027 0.0800563  0.07378373 0.07563397 0.07899794 0.07851581
 0.0762565 ]",1.0004348205161864,1.0004426397564086,0.002289095277007238,0.07563971728086472,0.07624036818742752,0.07619710266590118,0.07794006913900375,0.07866498827934265,0.07637026906013489,0.08005630224943161,0.07378372550010681,0.07563396543264389,0.07899793982505798,0.07851581275463104,0.07625649869441986,0.07570324838161469
2,2014-01-08,"[0.07574707 0.07564873 0.07624421 0.0761463  0.07792319 0.07867314
 0.07637091 0.08016603 0.0737219  0.0756577  0.07898092 0.07840899
 0.07631087]",0.9918216056568196,0.9910801571132173,0.007579827915154759,0.075648732483387,0.07624421268701553,0.07614629715681076,0.07792319357395172,0.07867313921451569,0.07637090981006622,0.0801660344004631,0.07372190058231354,0.07565770298242569,0.07898092269897461,0.07840898633003235,0.07631087303161621,0.07574707269668579
3,2014-01-09,"[0.07576673 0.07566668 0.0762302  0.07614987 0.07794761 0.07869845
 0.07640997 0.08014753 0.07369205 0.07568898 0.07896626 0.07834443
 0.07629124]",0.9886775231798284,0.987614989549282,0.00866201987347706,0.07566668093204498,0.07623019814491272,0.07614987343549728,0.07794760912656784,0.07869844883680344,0.0764099732041359,0.08014752715826035,0.07369204610586166,0.07568898051977158,0.07896625995635986,0.07834442704916,0.07629124075174332,0.07576672732830048
4,2014-01-10,"[0.07570507 0.07568426 0.07624459 0.07619071 0.07794942 0.07866708
 0.07639351 0.08007249 0.07368211 0.07567225 0.07899022 0.07848469
 0.07626361]",0.9919949261492149,0.9911668723238459,0.014110748889198416,0.07568425685167313,0.07624458521604538,0.07619071006774902,0.0779494196176529,0.07866708189249039,0.0763935074210167,0.08007249236106873,0.07368210703134537,0.07567225396633148,0.07899022102355957,0.07848469167947769,0.07626361399888992,0.07570506632328033
5,2014-01-13,"[0.07578512 0.07566784 0.07626598 0.0760933  0.07792458 0.0786801
 0.07639479 0.08025268 0.07363795 0.07565495 0.07899082 0.07832064
 0.07633124]",0.9855103979524062,0.9842015098326157,0.009475643431774214,0.0756678432226181,0.07626597583293915,0.07609330117702484,0.07792457938194275,0.07868009805679321,0.07639478892087936,0.08025267720222473,0.073637954890728,0.07565494626760483,0.07899081707000732,0.07832063734531403,0.0763312354683876,0.07578512281179428
6,2014-01-14,"[0.07578843 0.07564083 0.07631086 0.07601445 0.07787706 0.07870644
 0.07641775 0.08029603 0.07365441 0.07566476 0.07899588 0.07824116
 0.07639193]",0.9803884962223183,0.9786287878127491,0.004967094052266389,0.07564082741737366,0.07631085813045502,0.0760144516825676,0.07787705957889557,0.07870643585920334,0.07641775161027908,0.08029603213071823,0.073654405772686,0.07566475868225098,0.07899587601423264,0.07824116200208664,0.07639192789793015,0.07578843086957932
7,2014-01-15,"[0.07582422 0.07564443 0.07631143 0.0759557  0.07788374 0.07874271
 0.07641542 0.08036716 0.0736577  0.07569011 0.07899197 0.07808743
 0.07642804]",0.9686810248033746,0.9662172381443755,0.009273883408947522,0.07564442604780197,0.07631143182516098,0.07595569640398026,0.07788373529911041,0.07874270528554916,0.07641541957855225,0.08036715537309647,0.07365769892930984,0.07569010555744171,0.07899197190999985,0.07808743417263031,0.07642804086208344,0.07582421600818634
8,2014-01-16,"[0.07582036 0.07564192 0.07630754 0.07598203 0.07788377 0.0786965
 0.07638294 0.08039661 0.07364255 0.07566304 0.07900432 0.07816415
 0.07641426]",0.9715094010359355,0.9688943169132791,0.012603194837472801,0.07564191520214081,0.07630754262208939,0.07598202675580978,0.0778837651014328,0.07869650423526764,0.07638294249773026,0.0803966149687767,0.0736425518989563,0.07566303759813309,0.07900432497262955,0.07816414535045624,0.07641425728797913,0.07582035660743713
9,2014-01-17,"[0.07584112 0.07564563 0.07631354 0.07595599 0.07785816 0.0786896
 0.07638966 0.0804893  0.07360908 0.07565486 0.07896519 0.07812705
 0.07646084]",0.9755817848086472,0.9732221307106755,0.008558222078110368,0.07564563304185867,0.07631354033946991,0.07595598697662354,0.07785815745592117,0.07868960499763489,0.07638965547084808,0.08048930019140244,0.07360907644033432,0.07565486431121826,0.0789651945233345,0.07812704890966415,0.0764608383178711,0.07584112137556076
10,2014-01-21,"[0.07583877 0.07563907 0.07632641 0.07592677 0.07785986 0.07866841
 0.07636563 0.08054072 0.0735902  0.07563874 0.07901084 0.0781293
 0.07646526]",0.9769591650315983,0.9749385929201471,0.010836349224731773,0.07563906908035278,0.0763264149427414,0.0759267657995224,0.07785985618829727,0.07866840809583664,0.076365627348423,0.0805407240986824,0.07359019666910172,0.07563874125480652,0.07901084423065186,0.07812929898500443,0.07646526396274567,0.07583876699209213
