,Date,Weights,Profit,Base Profit,Volume,ASYS,VECO,TRT,IVAC,CTS,SANM,FLEX,IEC,EAT,MCD,JACK,PZZA,cash
1245,2018-12-14,"[0.11831635 0.         0.11850283 0.1262978  0.         0.0965091
 0.12816769 0.09681358 0.10298409 0.0973737  0.         0.
 0.11503489]",1.0172119144490748,1.138188900794969,0.013979785364852481,0.0,0.11850282549858093,0.12629780173301697,0.0,0.09650909900665283,0.12816768884658813,0.09681358188390732,0.10298409312963486,0.09737370163202286,0.0,0.0,0.11503489315509796,0.11831635236740112
1246,2018-12-17,"[0.1183463  0.         0.1185531  0.12620805 0.         0.09661756
 0.12812333 0.09691013 0.10306609 0.09721597 0.         0.
 0.11495945]",0.9966562335271685,1.118045760260137,0.017815456556680636,0.0,0.11855310201644897,0.12620805203914642,0.0,0.09661756455898285,0.12812332808971405,0.09691012650728226,0.103066086769104,0.09721596539020538,0.0,0.0,0.11495944857597351,0.11834630370140076
1247,2018-12-18,"[0.11841282 0.         0.11854413 0.1261348  0.         0.09666874
 0.12804142 0.09700424 0.10305963 0.09718294 0.         0.
 0.11495129]",0.9834951004664604,1.104918771931679,0.015255798767275994,0.0,0.11854413151741028,0.12613479793071747,0.0,0.09666874259710312,0.12804141640663147,0.0970042422413826,0.10305963456630707,0.09718293696641922,0.0,0.0,0.11495129019021988,0.1184128150343895
1248,2018-12-19,"[0.11819319 0.         0.11850036 0.12591164 0.         0.09681343
 0.12802674 0.09716989 0.10292061 0.09745808 0.         0.
 0.11500606]",0.9722732265884803,1.0972997245331124,0.007248059878447074,0.0,0.11850035935640335,0.1259116381406784,0.0,0.09681343287229538,0.12802673876285553,0.097169890999794,0.10292061418294907,0.09745807945728302,0.0,0.0,0.11500605940818787,0.11819319427013397
1249,2018-12-20,"[0.11814725 0.         0.11840797 0.125912   0.         0.0967992
 0.12793185 0.09729022 0.10291698 0.09756168 0.         0.
 0.11503284]",0.9745616889495422,1.094028753261219,0.018419444854544095,0.0,0.1184079721570015,0.12591199576854706,0.0,0.09679920226335526,0.1279318481683731,0.09729021787643433,0.10291697829961777,0.09756167978048325,0.0,0.0,0.11503283679485321,0.11814724653959274
1250,2018-12-21,"[0.11834807 0.         0.11854576 0.12573035 0.         0.09689412
 0.12796548 0.09726769 0.10292224 0.0974184  0.         0.
 0.11490783]",0.9379531623779694,1.0602727825384233,0.010367810943573495,0.0,0.118545763194561,0.12573035061359406,0.0,0.09689412266016006,0.12796548008918762,0.09726769477128983,0.1029222384095192,0.0974183976650238,0.0,0.0,0.11490783095359802,0.11834806948900223
1251,2018-12-24,"[0.11826669 0.         0.11843987 0.1256979  0.         0.09692529
 0.1278783  0.09744372 0.10284825 0.09751397 0.         0.
 0.11498597]",0.9414742493818438,1.0543681806677625,0.019152960907696828,0.0,0.11843986809253693,0.12569789588451385,0.0,0.096925288438797,0.12787829339504242,0.09744372218847275,0.10284825414419174,0.09751397371292114,0.0,0.0,0.11498596519231796,0.11826669424772263
1252,2018-12-26,"[0.11850705 0.         0.11864875 0.12525791 0.         0.09717089
 0.12786452 0.09756742 0.10292975 0.09725987 0.         0.
 0.11479381]",0.9115078110497797,1.02981823844827,0.021321885523877548,0.0,0.11864875257015228,0.12525790929794312,0.0,0.097170889377594,0.1278645247220993,0.09756741672754288,0.1029297485947609,0.09725987166166306,0.0,0.0,0.1147938147187233,0.11850704997777939
1253,2018-12-27,"[0.11863072 0.         0.1186482  0.12506229 0.         0.09728773
 0.1277104  0.09786095 0.10292704 0.097179   0.         0.
 0.11469367]",0.9085443192689333,1.0193051664462092,0.01764221943130413,0.0,0.11864820122718811,0.12506228685379028,0.0,0.09728772938251495,0.12771040201187134,0.09786095470190048,0.10292703658342361,0.09717899560928345,0.0,0.0,0.11469367146492004,0.11863072216510773
1254,2018-12-28,"[0.1186064  0.         0.11855394 0.12474516 0.         0.09744714
 0.12762965 0.09813872 0.10301486 0.09726796 0.         0.
 0.11459614]",0.9206082541601577,1.0364288344199293,0.016953558993234186,0.0,0.11855393648147583,0.12474516034126282,0.0,0.09744714200496674,0.12762965261936188,0.0981387197971344,0.10301486402750015,0.09726796299219131,0.0,0.0,0.11459614336490631,0.11860640347003937
