,Date,Weights,Profit,Base Profit,Volume,ITT,IEX,GGG,FLS,HDSN,KAMN,WLFC,LAWS,JNJ,BMY,PFE,ABT,cash
0,2014-01-06,"[0.0736699  0.07905824 0.0753438  0.07691439 0.08460746 0.08378707
 0.07802398 0.07659893 0.07558301 0.0777318  0.07453226 0.07128593
 0.07286323]",0.9998147339805961,0.9998000000000002,0.9263300970196724,0.07905823737382889,0.07534380257129669,0.07691439241170883,0.08460745960474014,0.08378706872463226,0.07802397757768631,0.07659892737865448,0.07558301091194153,0.07773180305957794,0.07453225553035736,0.07128593325614929,0.07286322861909866,0.0736699029803276
1,2014-01-07,"[0.07862737 0.08508826 0.08162558 0.08226988 0.09235592 0.08972998
 0.08482035 0.08240167 0.08086532 0.08397694 0.08045413 0.
 0.07778464]",1.009685617425316,1.0108434338562509,0.13758893371956696,0.08508826047182083,0.08162558078765869,0.08226988464593887,0.09235592186450958,0.08972997963428497,0.08482034504413605,0.08240167051553726,0.08086531609296799,0.08397693932056427,0.08045412600040436,0.0,0.07778463512659073,0.07862737029790878
2,2014-01-08,"[0.07870765 0.08522483 0.08145764 0.08231091 0.09241925 0.08983617
 0.08472454 0.08230069 0.08086458 0.08392272 0.08051094 0.
 0.07772008]",1.0074310750736393,1.0089005258732626,0.005635440976702152,0.08522482961416245,0.08145764470100403,0.08231091499328613,0.09241925179958344,0.08983616530895233,0.0847245380282402,0.08230068534612656,0.08086457848548889,0.08392272144556046,0.0805109441280365,0.0,0.07772008329629898,0.07870765030384064
3,2014-01-09,"[0.0787284  0.08519476 0.08146626 0.08238654 0.09220898 0.08975042
 0.08470774 0.08235727 0.08093363 0.08388523 0.08055168 0.
 0.07782909]",1.0096089027214432,1.010647263723683,0.010138218554231682,0.08519475907087326,0.08146625757217407,0.08238653838634491,0.09220898151397705,0.08975042402744293,0.08470774441957474,0.0823572650551796,0.08093363046646118,0.08388523012399673,0.08055168390274048,0.0,0.07782909274101257,0.07872840017080307
4,2014-01-10,"[0.07871611 0.08516559 0.08145446 0.08246622 0.09212564 0.08979566
 0.08469635 0.08236068 0.08095522 0.08387481 0.08053846 0.
 0.07785081]",1.0169571572407121,1.0190523265702975,0.004432836221806658,0.0851655900478363,0.08145445585250854,0.08246622234582901,0.09212563931941986,0.08979565650224686,0.08469635248184204,0.08236067742109299,0.08095522224903107,0.08387480676174164,0.08053845912218094,0.0,0.0778508111834526,0.07871610671281815
5,2014-01-13,"[0.07312144 0.0789998  0.07562997 0.07679621 0.08516947 0.0833967
 0.07860694 0.07656574 0.07527321 0.07785186 0.07479901 0.07131428
 0.07247538]",1.0233376707753763,1.0264082021118237,0.13993608815420533,0.07899979501962662,0.07562997192144394,0.07679621130228043,0.0851694718003273,0.08339669555425644,0.07860694080591202,0.07656574249267578,0.07527320832014084,0.07785186171531677,0.07479900866746902,0.07131428271532059,0.0724753811955452,0.07312143594026566
6,2014-01-14,"[0.07309611 0.07880816 0.0757288  0.07693304 0.08493492 0.08347728
 0.07860579 0.07665431 0.07529737 0.07789627 0.07465561 0.07136139
 0.07255091]",1.0239797187755404,1.0273104630363314,0.013509134444186156,0.07880815863609314,0.07572879642248154,0.07693304121494293,0.08493492007255554,0.08347728103399277,0.07860579341650009,0.07665431499481201,0.07529737055301666,0.07789627462625504,0.07465561479330063,0.07136139273643494,0.07255090773105621,0.07309611141681671
7,2014-01-15,"[0.07315677 0.07873715 0.07560994 0.07709669 0.08478886 0.08362611
 0.07853222 0.0766727  0.0753345  0.07788764 0.07460658 0.07134707
 0.07260378]",1.020964342675199,1.0243992747159523,0.004819363813592135,0.07873715460300446,0.07560993731021881,0.07709669321775436,0.08478885889053345,0.08362611383199692,0.07853221893310547,0.07667269557714462,0.07533450424671173,0.0778876394033432,0.07460657507181168,0.07134707272052765,0.07260378450155258,0.07315677404403687
8,2014-01-16,"[0.0730869  0.07879741 0.07577379 0.07690167 0.08495671 0.08345897
 0.07861596 0.07666799 0.07526444 0.07793614 0.07463557 0.07135466
 0.07254982]",1.0274355334166292,1.0304757810560259,0.009231469090625805,0.07879741489887238,0.07577379047870636,0.07690167427062988,0.08495670557022095,0.08345896750688553,0.0786159560084343,0.07666799426078796,0.07526443898677826,0.07793613523244858,0.0746355727314949,0.07135465741157532,0.07254981994628906,0.07308689504861832
9,2014-01-17,"[0.07308058 0.07878617 0.07578196 0.07689377 0.08493544 0.08343392
 0.07864004 0.07667498 0.07527674 0.07796123 0.07462806 0.07135775
 0.07254938]",1.0316873078161615,1.035776597213808,0.011117482179396768,0.07878617197275162,0.07578195631504059,0.07689376920461655,0.08493544161319733,0.08343391865491867,0.07864004373550415,0.07667498290538788,0.07527673989534378,0.07796122878789902,0.07462805509567261,0.07135774940252304,0.07254938036203384,0.07308057695627213
10,2014-01-21,"[0.07304912 0.07870833 0.07586236 0.07699328 0.08463342 0.08339965
 0.07858487 0.07674982 0.0752773  0.07790019 0.07463723 0.07149854
 0.07270592]",1.0307823073536015,1.035422590699717,0.01336551296969206,0.07870832830667496,0.075862355530262,0.07699327915906906,0.08463342487812042,0.08339964598417282,0.07858487218618393,0.07674981653690338,0.07527729868888855,0.07790019363164902,0.07463722676038742,0.07149854302406311,0.07270592451095581,0.07304912060499191
