,Date,Weights,Profit,Base Profit,Volume,PCAR,F,SPAR,OSK,TTNP,NBIX,TECH,BCRX,COHR,BIO,WAT,PKI,cash
0,2014-01-06,"[0.18900898 0.14954327 0.10562906 0.         0.         0.
 0.13154933 0.         0.         0.10448572 0.09527858 0.11334403
 0.111161  ]",0.9998377645567879,0.9998000000000002,0.8109909817576408,0.14954327046871185,0.10562905669212341,0.0,0.0,0.0,0.13154932856559753,0.0,0.0,0.10448572039604187,0.09527857601642609,0.11334402859210968,0.1111610010266304,0.18900898098945618
1,2014-01-07,"[0.18947226 0.14958952 0.10548329 0.         0.         0.
 0.13070738 0.         0.         0.10369374 0.09578141 0.11398594
 0.11128647]",1.0076364564713454,1.012982974810543,0.0030956562103994427,0.14958952367305756,0.1054832860827446,0.0,0.0,0.0,0.13070738315582275,0.0,0.0,0.10369373857975006,0.09578140825033188,0.11398594081401825,0.1112864688038826,0.1894722580909729
2,2014-01-08,"[0.18943828 0.14959127 0.10546879 0.         0.         0.
 0.13074104 0.         0.         0.10372398 0.09577479 0.11395997
 0.11130182]",1.088571630648244,1.0672515904733555,0.007245158918221743,0.14959126710891724,0.10546879470348358,0.0,0.0,0.0,0.13074104487895966,0.0,0.0,0.10372398048639297,0.09577479213476181,0.11395996809005737,0.11130182445049286,0.18943828344345093
3,2014-01-09,"[0.18956673 0.14911856 0.10552523 0.         0.         0.
 0.13004509 0.         0.         0.10416022 0.09597375 0.11417802
 0.11143239]",1.1133583284532589,1.0883053493827068,0.12697829747349906,0.1491185575723648,0.10552522540092468,0.0,0.0,0.0,0.130045086145401,0.0,0.0,0.10416021943092346,0.09597375243902206,0.11417801678180695,0.11143238842487335,0.1895667314529419
4,2014-01-10,"[0.18954937 0.14912651 0.10556479 0.         0.         0.
 0.13015266 0.         0.         0.10415144 0.09586534 0.11421809
 0.11137185]",1.1182076761061803,1.1032150293686651,0.02991878194595268,0.14912651479244232,0.10556478798389435,0.0,0.0,0.0,0.1301526576280594,0.0,0.0,0.10415143519639969,0.09586533904075623,0.1142180860042572,0.11137184500694275,0.18954937160015106
5,2014-01-13,"[0.18955415 0.14913608 0.10549685 0.         0.         0.
 0.13018744 0.         0.         0.10424345 0.09581884 0.11422512
 0.1113381 ]",1.126175304459312,1.1142712023846741,0.006648510621568493,0.14913608133792877,0.105496846139431,0.0,0.0,0.0,0.13018743693828583,0.0,0.0,0.1042434498667717,0.09581883996725082,0.1142251193523407,0.11133810132741928,0.1895541548728943
6,2014-01-14,"[0.18959567 0.14906015 0.10553353 0.         0.         0.
 0.13022834 0.         0.         0.10429618 0.09575982 0.11421238
 0.11131392]",1.134422556140976,1.1292547508563553,0.00938771850139934,0.14906014502048492,0.10553353279829025,0.0,0.0,0.0,0.13022834062576294,0.0,0.0,0.10429617762565613,0.09575982391834259,0.11421237885951996,0.11131392419338226,0.18959566950798035
7,2014-01-15,"[0.18958405 0.149082   0.10549966 0.         0.         0.
 0.13000332 0.         0.         0.10419165 0.09586617 0.11439662
 0.1113765 ]",1.1242337790280006,1.1192217547166954,0.013393668374987303,0.1490820050239563,0.10549966245889664,0.0,0.0,0.0,0.13000331819057465,0.0,0.0,0.10419165343046188,0.09586617350578308,0.11439661681652069,0.11137650161981583,0.18958404660224915
8,2014-01-16,"[0.18957281 0.14903861 0.10552474 0.         0.         0.
 0.12994967 0.         0.         0.10418961 0.09581166 0.11453079
 0.11138211]",1.1382609061553657,1.1545091508010763,0.004211074443708249,0.14903861284255981,0.10552474111318588,0.0,0.0,0.0,0.1299496740102768,0.0,0.0,0.10418961197137833,0.09581165760755539,0.1145307868719101,0.11138211190700531,0.18957281112670898
9,2014-01-17,"[0.18953376 0.14905673 0.10550702 0.         0.         0.
 0.1298304  0.         0.         0.10416238 0.09587349 0.11460388
 0.11143232]",1.1422606796818933,1.1436862395262333,0.008941840545928947,0.14905673265457153,0.1055070236325264,0.0,0.0,0.0,0.12983040511608124,0.0,0.0,0.10416238009929657,0.09587348997592926,0.11460388451814651,0.11143232136964798,0.1895337551832199
10,2014-01-21,"[0.18952665 0.14902551 0.10556737 0.         0.         0.
 0.12983435 0.         0.         0.10413022 0.09586138 0.11463976
 0.11141473]",1.147360052154231,1.1498622557926195,0.00713862918497492,0.14902551472187042,0.10556736588478088,0.0,0.0,0.0,0.1298343539237976,0.0,0.0,0.10413021594285965,0.09586138278245926,0.1146397590637207,0.11141473054885864,0.18952664732933044
11,2014-01-22,"[0.18953708 0.14902203 0.10556712 0.         0.         0.
 0.12994099 0.         0.         0.10415473 0.0958548  0.11451038
 0.11141292]",1.15325279910755,1.1623079141926025,0.006478586328477431,0.14902202785015106,0.10556712001562119,0.0,0.0,0.0,0.12994098663330078,0.0,0.0,0.10415472835302353,0.09585480391979218,0.11451037973165512,0.11141292005777359,0.18953707814216614
12,2014-01-23,"[0.18945988 0.14899404 0.10565407 0.         0.         0.
 0.13006075 0.         0.         0.10411661 0.09575172 0.11451456
 0.11144838]",1.147422447840788,1.1637312043833212,0.007021747403472908,0.14899404346942902,0.10565406829118729,0.0,0.0,0.0,0.13006074726581573,0.0,0.0,0.10411661118268967,0.09575171768665314,0.11451455950737,0.11144838482141495,0.1894598752260208
